Running Update Time,Itration,Real Det Return,Running Forward KL,Running Env Steps,Reward Loss,Real Sto Return,Running Reverse KL
0,0,271.03,37.3513,0,77.07129669189453,255.82,16.9525
1,1,242.46,37.9007,5000,80.4305419921875,240.8,36.2627
2,2,223.33,36.7836,10000,45.425655364990234,293.99,19.443
3,3,296.13,37.2778,15000,52.467647552490234,288.92,30.7657
4,4,359.99,36.8351,20000,47.69499588012695,355.25,17.6832
5,5,320.74,37.6691,25000,32.13665008544922,326.02,17.4931
6,6,351.54,36.5815,30000,-8.39406967163086,368.89,28.5045
7,7,476.75,35.6408,35000,-3.0467100143432617,460.0,29.6227
8,8,692.16,31.9556,40000,-8.368517875671387,677.57,25.4906
9,9,656.37,32.8244,45000,-13.487968444824219,697.54,24.9011
10,10,558.89,31.8429,50000,-14.627315521240234,646.02,16.8489
11,11,812.1,31.9376,55000,-12.001825332641602,828.89,17.3496
12,12,941.18,31.33,60000,-22.92295265197754,757.4,18.3287
13,13,774.3,31.9193,65000,-39.22511291503906,728.07,16.3694
14,14,1095.95,29.3905,70000,-41.13821029663086,1151.39,14.8915
15,15,1004.29,29.7437,75000,-44.96336364746094,879.23,21.0183
16,16,1153.69,29.3294,80000,-44.83349609375,1106.2,20.7781
17,17,1804.91,28.9536,85000,-33.89264678955078,1917.09,17.8896
18,18,2016.63,28.514,90000,-32.413963317871094,2093.26,16.5975
19,19,1183.35,28.8097,95000,-34.702579498291016,1399.67,15.8181
20,20,2504.23,28.4084,100000,-40.69279861450195,1734.83,16.069
21,21,1681.88,27.9483,105000,-40.43044662475586,1831.09,15.6884
22,22,1601.96,27.9415,110000,-43.496253967285156,2108.85,16.0459
23,23,663.84,27.39,115000,-15.393149375915527,917.9,14.2934
24,24,1240.8,28.3269,120000,-40.21101379394531,2935.87,14.3558
25,25,3162.04,27.6173,125000,-10.908234596252441,3234.6,14.49
26,26,3173.69,27.8828,130000,-16.156654357910156,3224.32,15.2673
