Running Update Time,Running Reverse KL,Real Sto Return,Reward Loss,Running Env Steps,Real Det Return,Itration,Running Forward KL
0,11.6412,340.08,106.55915832519531,0,361.62,0,48.7317
1,14.7856,335.56,3.886699676513672,5000,422.48,1,48.3632
2,16.7352,344.3,-47.27587127685547,10000,352.77,2,49.3369
3,21.8133,363.16,-86.89800262451172,15000,372.52,3,49.7949
4,13.2075,400.23,20.291954040527344,20000,404.19,4,48.8891
5,13.1335,453.0,66.93750762939453,25000,431.74,5,48.6433
6,21.6977,802.76,-44.07289505004883,30000,848.84,6,48.0666
7,18.3791,478.64,104.69180297851562,35000,697.06,7,48.577
8,39.087,525.38,-59.6626091003418,40000,568.11,8,48.9004
9,13.4577,677.27,134.62844848632812,45000,740.95,9,47.1334
10,13.3623,704.64,134.10076904296875,50000,870.38,10,47.5761
11,12.6391,751.3,94.57525634765625,55000,865.52,11,47.2857
12,12.5129,992.58,6.917327880859375,60000,2234.96,12,47.2928
13,13.1062,896.24,26.90216827392578,65000,900.94,13,46.9143
14,12.5526,1022.24,-21.021635055541992,70000,855.31,14,46.2328
15,17.3768,1411.18,-131.75344848632812,75000,2512.23,15,46.0688
16,13.6969,1048.5,-26.704669952392578,80000,1459.24,16,46.9932
17,13.7687,1214.04,-122.40579986572266,85000,1953.43,17,46.4644
18,13.3127,1038.14,-62.90850067138672,90000,1237.57,18,46.918
19,14.6258,891.05,-36.05872344970703,95000,1072.4,19,47.1179
20,14.5065,1058.88,-70.4044418334961,100000,1206.29,20,45.6878
21,13.827,883.32,-84.95846557617188,105000,1058.51,21,47.2437
22,13.2658,1408.59,-86.04812622070312,110000,1517.92,22,46.0423
23,13.264,1385.0,-106.14434051513672,115000,1132.09,23,45.7778
24,13.4133,1454.69,-85.98255920410156,120000,1569.29,24,45.4172
25,13.6594,1008.37,-119.48236846923828,125000,1086.08,25,47.4159
26,13.6014,1851.83,-158.190673828125,130000,2153.82,26,45.5562
27,13.4536,1131.11,-135.93429565429688,135000,1445.94,27,45.9
28,12.9534,1806.7,-201.98866271972656,140000,1563.88,28,45.2396
29,12.3665,1199.3,-150.27621459960938,145000,1334.88,29,45.0735
30,15.4914,1527.36,-194.97573852539062,150000,1605.56,30,44.3064
31,12.9738,1477.08,-216.8535614013672,155000,1615.3,31,44.9309
32,14.0885,2603.27,-247.45228576660156,160000,3051.35,32,44.6461
33,15.1194,2551.88,-249.34246826171875,165000,2571.83,33,44.9285
34,14.4477,2710.37,-258.2739562988281,170000,2951.31,34,44.8472
35,14.5171,2458.5,-257.10467529296875,175000,2476.99,35,44.4467
36,15.2566,2771.1,-285.9913635253906,180000,2848.4,36,46.3176
37,15.7255,2941.27,-289.0287170410156,185000,2894.11,37,45.7961
38,15.0912,2946.75,-272.8312072753906,190000,3046.19,38,45.1148
39,15.1723,3064.24,-288.8674621582031,195000,3058.74,39,45.284
40,14.1389,2455.13,-300.77191162109375,200000,2866.34,40,44.9456
41,14.2482,3083.78,-287.5993347167969,205000,3065.91,41,44.4198
42,15.2345,3031.13,-304.1135559082031,210000,3057.55,42,45.4436
43,14.6449,2873.37,-302.9217834472656,215000,3109.08,43,44.8144
44,13.8276,3205.02,-307.3094482421875,220000,3159.52,44,44.2901
45,15.3089,2928.57,-329.88116455078125,225000,3036.86,45,45.3983
46,15.3885,3154.51,-322.5212097167969,230000,3149.04,46,45.2686
47,14.6168,2913.06,-335.7491455078125,235000,3024.63,47,44.8474
48,14.9226,3137.1,-338.230712890625,240000,3153.81,48,44.8102
49,15.6639,3086.55,-349.1441345214844,245000,3010.51,49,45.2244
50,15.1092,3059.67,-351.67889404296875,250000,3065.52,50,44.8523
51,15.2513,3100.42,-345.1011657714844,255000,3055.53,51,45.3951
52,15.2535,3239.71,-342.7706604003906,260000,3175.67,52,44.8183
53,14.6657,3276.93,-344.3226318359375,265000,3211.43,53,44.2853
54,15.1013,3191.1,-358.9384765625,270000,3235.23,54,44.8045
55,14.8486,3247.64,-360.0521240234375,275000,3201.62,55,44.3708
56,14.9044,3343.83,-378.93341064453125,280000,3302.42,56,44.1316
57,15.5087,3303.58,-357.9107360839844,285000,3226.64,57,44.2722
58,14.2421,3306.05,-362.3250732421875,290000,3292.95,58,44.1865
59,14.1663,3321.72,-346.681396484375,295000,3319.76,59,44.0448
60,13.419,3415.54,-343.1093444824219,300000,3518.27,60,43.378
61,15.3191,3420.92,-363.63067626953125,305000,3299.15,61,43.361
62,14.0284,3593.24,-361.2664489746094,310000,3639.04,62,41.8734
63,13.5882,3446.32,-360.0663146972656,315000,3444.39,63,43.1069
64,13.396,3438.47,-365.8633728027344,320000,3419.0,64,42.9252
65,14.1827,3567.47,-381.23321533203125,325000,3601.71,65,42.4898
66,13.7858,3636.28,-395.2611999511719,330000,3633.67,66,41.4985
67,15.8545,3557.24,-395.3861389160156,335000,3458.23,67,42.7306
68,13.8831,3636.32,-392.0689392089844,340000,3578.59,68,41.5285
69,14.176,3559.21,-418.5711364746094,345000,3504.07,69,42.2347
70,13.4376,3610.3,-387.6631164550781,350000,3590.84,70,41.7373
71,14.3133,3644.88,-408.4640808105469,355000,3586.03,71,42.2409
72,13.892,3654.62,-394.0397644042969,360000,3672.01,72,42.2645
73,14.2542,3674.87,-407.76763916015625,365000,3647.95,73,41.2801
74,13.6643,3700.22,-406.1748962402344,370000,3673.3,74,41.3503
75,14.056,3656.55,-430.2015380859375,375000,3621.53,75,41.3191
76,13.742,3652.97,-440.055419921875,380000,3547.21,76,41.5051
77,14.3034,3796.79,-403.8044128417969,385000,3831.64,77,40.9249
