Running Reverse KL,Running Env Steps,Real Sto Return,Itration,Running Forward KL,Reward Loss,Real Det Return,Running Update Time
11.703,0,-185.33,0,158.684,29.600078582763672,-13.11,0
12.0055,5000,-60.89,1,158.4187,-200.6160888671875,22.51,1
12.9673,10000,183.25,2,158.2969,-441.75408935546875,733.41,2
13.857,15000,391.98,3,158.2088,-730.3302001953125,803.52,3
14.3348,20000,499.3,4,158.3932,-1025.3848876953125,863.94,4
14.5057,25000,649.32,5,158.4811,-1312.0203857421875,968.54,5
14.8435,30000,689.3,6,158.3929,-1528.35986328125,1007.98,6
15.3774,35000,842.66,7,158.1039,-1780.025146484375,1109.0,7
15.638,40000,912.69,8,158.1411,-2015.8388671875,1294.73,8
15.802,45000,1013.77,9,158.1973,-2198.250732421875,1383.5,9
16.1922,50000,1081.22,10,158.0819,-2408.209228515625,1478.1,10
16.3322,55000,1179.06,11,157.8964,-2604.25,1552.2,11
16.3027,60000,1178.0,12,158.1364,-2794.63134765625,1511.38,12
16.3898,65000,1208.4,13,158.1457,-2981.33349609375,1591.09,13
16.6334,70000,1289.61,14,158.0967,-3148.648193359375,1661.4,14
16.3694,75000,1288.83,15,158.0931,-3364.31298828125,1698.9,15
16.5681,80000,1341.03,16,157.7895,-3566.252197265625,1762.78,16
16.7403,85000,1412.32,17,157.7627,-3708.987060546875,1814.68,17
16.6204,90000,1426.99,18,157.9946,-3854.53369140625,1838.47,18
16.7766,95000,1459.87,19,157.6986,-3998.01513671875,1836.05,19
16.862,100000,1462.26,20,157.8028,-4227.431640625,1840.57,20
16.8492,105000,1509.75,21,157.7858,-4374.50244140625,1879.96,21
16.6328,110000,1464.92,22,157.8688,-4638.2529296875,1839.09,22
16.7408,115000,1530.45,23,157.7533,-4799.04052734375,1872.55,23
16.798,120000,1576.3,24,157.5414,-4923.796875,1910.59,24
16.6252,125000,1589.92,25,157.5979,-5179.24755859375,1937.38,25
16.8341,130000,1579.4,26,157.4942,-5346.50830078125,1961.6,26
17.2787,135000,1638.78,27,157.8176,-5475.7099609375,1995.47,27
16.7151,140000,1597.4,28,157.5625,-5638.302734375,1979.87,28
16.6752,145000,1585.88,29,157.6509,-5849.51806640625,1979.77,29
16.8334,150000,1652.65,30,157.642,-6005.591796875,2017.07,30
16.5259,155000,1589.45,31,157.7019,-6227.3193359375,1979.66,31
16.61,160000,1640.57,32,157.6247,-6439.63427734375,1995.65,32
16.4749,165000,1592.15,33,157.5633,-6614.1318359375,1959.9,33
16.4232,170000,1635.71,34,157.3536,-6772.080078125,2015.1,34
16.5548,175000,1644.67,35,157.4482,-6899.46435546875,2029.64,35
16.1856,180000,1651.97,36,157.2658,-7139.31298828125,1984.73,36
16.227,185000,1658.96,37,157.255,-7284.693359375,2033.08,37
16.6029,190000,1654.82,38,157.6386,-7513.15380859375,1981.33,38
16.6823,195000,1683.41,39,157.377,-7697.34814453125,2046.59,39
16.5592,200000,1668.07,40,157.2396,-7827.54296875,2062.19,40
16.0848,205000,1642.87,41,157.0966,-8036.54736328125,1995.45,41
16.1152,210000,1632.3,42,157.3747,-8214.228515625,2019.59,42
16.239,215000,1695.43,43,157.2807,-8429.830078125,2040.94,43
16.4304,220000,1731.66,44,157.3395,-8612.6923828125,2060.13,44
16.0476,225000,1637.26,45,157.2523,-8802.6591796875,2011.96,45
16.3237,230000,1691.52,46,157.3374,-8940.4775390625,2059.66,46
15.9142,235000,1679.74,47,157.2094,-9127.119140625,2041.65,47
16.3057,240000,1726.84,48,157.0681,-9325.8876953125,2097.1,48
16.3598,245000,1718.15,49,157.1712,-9546.5908203125,2106.76,49
16.0208,250000,1713.22,50,156.9443,-9697.8701171875,2054.61,50
15.963,255000,1702.91,51,157.136,-9915.515625,2070.33,51
