Real Det Return,Itration,Real Sto Return,Reward Loss,Running Update Time,Running Reverse KL,Running Forward KL,Running Env Steps
201.04,0,194.85,-1350.16162109375,0,18.0794,31.8216,0
187.9,1,212.55,-1221.9747314453125,1,16.5824,31.1871,5000
332.92,2,325.96,-1119.5452880859375,2,65.7531,31.2643,10000
297.81,3,301.89,-1262.1783447265625,3,24.7654,30.5185,15000
378.38,4,383.86,-1526.9083251953125,4,33.312,29.6202,20000
52.4,5,141.69,-1015.2889404296875,5,73.9566,29.0426,25000
462.5,6,454.03,-831.5325927734375,6,54.4569,27.4814,30000
537.64,7,509.56,-1437.1539306640625,7,64.616,28.2431,35000
780.77,8,770.12,-1336.3135986328125,8,52.5227,26.9912,40000
706.3,9,661.41,-1336.8201904296875,9,72.7026,27.494,45000
735.98,10,693.89,-1534.7381591796875,10,62.1256,26.9113,50000
728.57,11,675.44,-1490.978759765625,11,35.9835,27.4379,55000
779.07,12,663.91,-1629.971923828125,12,41.9297,28.4851,60000
231.56,13,201.19,-1564.066650390625,13,20.9462,26.0069,65000
1066.33,14,870.44,-1587.4755859375,14,29.975,27.0451,70000
478.95,15,1162.36,-1318.064453125,15,22.7623,26.1486,75000
2562.55,16,2252.27,-1003.1013793945312,16,20.2005,26.7306,80000
3034.57,17,1625.83,-1056.4041748046875,17,56.9831,26.4602,85000
2836.07,18,2037.89,-986.8721923828125,18,29.638,26.126,90000
828.61,19,851.97,-1647.803466796875,19,84.4356,26.632,95000
632.02,20,614.05,-2049.400146484375,20,18.3198,28.3188,100000
657.59,21,653.41,-2028.576904296875,21,28.2925,28.0037,105000
846.12,22,631.09,-1701.9920654296875,22,18.9695,26.9966,110000
35.4,23,34.7,-2785.899169921875,23,32.783,37.7063,115000
998.14,24,994.69,-2717.521484375,24,48.4235,38.6632,120000
1022.38,25,1022.22,-2617.837646484375,25,39.7472,37.7955,125000
961.98,26,592.29,-2826.453857421875,26,26.195,36.6046,130000
991.06,27,991.75,-2851.732421875,27,43.2298,38.6014,135000
166.18,28,181.27,-1982.1685791015625,28,24.1709,32.6315,140000
2.08,29,2.05,-3319.613037109375,29,165.2631,36.8109,145000
233.1,30,232.3,-3059.6474609375,30,19.6934,32.7221,150000
995.53,31,995.53,-3043.10546875,31,68.5053,37.1827,155000
196.46,32,205.83,-2571.737060546875,32,20.0633,30.9443,160000
1783.4,33,1930.48,-1376.2677001953125,33,43.6809,28.2736,165000
272.47,34,272.81,-3289.377685546875,34,35.5542,34.2445,170000
734.65,35,741.21,-2713.509521484375,35,25.9083,28.7595,175000
345.88,36,341.48,-3645.71435546875,36,102.166,31.1291,180000
259.96,37,258.87,-3704.9013671875,37,71.5785,34.9447,185000
289.98,38,286.71,-2964.9912109375,38,43.5795,32.066,190000
479.02,39,569.49,-2577.765380859375,39,26.8997,31.9511,195000
77.77,40,77.93,-1940.93896484375,40,74.6695,28.8332,200000
1016.41,41,1016.17,-3380.55224609375,41,48.2086,38.2824,205000
1043.5,42,1043.88,-3634.086181640625,42,28.4976,38.6781,210000
1015.42,43,1015.12,-3564.533203125,43,61.7295,37.7763,215000
259.23,44,257.11,-3399.14892578125,44,45.3924,33.4604,220000
408.05,45,453.39,-3498.026611328125,45,59.1933,35.0878,225000
342.58,46,346.17,-3224.042724609375,46,56.1611,33.0295,230000
1061.38,47,1061.42,-3790.719970703125,47,34.3811,35.8718,235000
1059.0,48,1059.08,-3836.18115234375,48,32.1264,35.3878,240000
730.78,49,765.32,-3651.765869140625,49,39.6329,33.6211,245000
1064.43,50,1065.04,-3900.123046875,50,24.9049,35.9377,250000
1069.15,51,1068.71,-3536.05126953125,51,24.6952,35.4489,255000
978.03,52,978.1,-4150.88720703125,52,80.7693,38.4616,260000
1110.6,53,1110.95,-3829.28857421875,53,26.9449,35.3983,265000
504.61,54,516.01,-4762.89697265625,54,136.4774,31.6898,270000
452.99,55,400.35,-4555.74560546875,55,142.9466,30.2773,275000
1038.21,56,1038.12,-3909.74462890625,56,29.8945,34.8336,280000
168.8,57,167.94,-5377.90380859375,57,228.4634,35.8844,285000
