Running Update Time,Reward Loss,Real Sto Return,Itration,Real Det Return,Running Forward KL,Running Reverse KL,Running Env Steps
0,-281.0662536621094,-194.91,0,-65.11,158.6151,11.9051,0
1,-293.5399475097656,-79.67,1,391.21,158.1447,11.3848,5000
2,-403.9643249511719,18.69,2,225.93,158.1292,11.2749,10000
3,-518.1834716796875,133.41,3,713.72,158.152,12.1706,15000
4,-536.21435546875,145.18,4,614.89,157.7395,11.551,20000
5,-593.982666015625,307.94,5,720.16,157.9725,12.4292,25000
6,-685.4658203125,468.91,6,984.94,157.9139,13.4309,30000
7,-762.7498168945312,611.18,7,1142.02,158.1984,14.0023,35000
8,-843.9029541015625,893.86,8,1300.34,157.9024,14.6235,40000
9,-896.7197875976562,908.87,9,1306.38,157.8296,15.791,45000
10,-905.5755004882812,1001.48,10,1418.12,157.8247,15.6937,50000
11,-940.0156860351562,1058.47,11,1547.69,157.7365,15.832,55000
12,-984.3928833007812,1140.81,12,1595.52,157.6804,16.204,60000
13,-1020.5776977539062,1153.02,13,1570.04,157.7659,16.2133,65000
14,-1071.19677734375,1193.07,14,1650.34,157.7285,16.0557,70000
15,-1098.0128173828125,1244.68,15,1693.41,157.573,16.2726,75000
16,-1129.413330078125,1235.27,16,1676.47,157.7654,16.2412,80000
17,-1168.330810546875,1289.25,17,1681.92,157.8139,16.3186,85000
18,-1214.456787109375,1285.34,18,1707.72,157.8733,16.2823,90000
19,-1244.6434326171875,1341.79,19,1757.84,157.6794,16.1701,95000
20,-1292.6812744140625,1370.46,20,1786.55,157.6858,16.2407,100000
21,-1316.1788330078125,1417.56,21,1824.31,157.8598,16.1267,105000
22,-1343.7664794921875,1387.23,22,1826.9,157.6367,16.0914,110000
23,-1376.264404296875,1448.23,23,1820.16,157.7291,16.1969,115000
24,-1434.42724609375,1460.95,24,1868.34,157.7043,16.4603,120000
25,-1472.9251708984375,1507.28,25,1939.62,157.8824,16.5942,125000
26,-1476.667724609375,1506.3,26,1868.48,157.6311,16.329,130000
27,-1521.177490234375,1534.81,27,1900.48,157.6175,16.2391,135000
