Itration,Real Det Return,Real Sto Return,Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL,Running Update Time
0,203.35,-47.62,74.3211,81.08184051513672,0,25.9836,0
1,539.39,-110.03,74.3413,65.66361999511719,5000,27.7141,1
2,404.34,-66.32,73.3697,51.91402053833008,10000,25.8322,2
3,527.87,3.53,72.5782,40.18804168701172,15000,25.4707,3
4,595.28,16.13,71.4699,21.14704132080078,20000,26.3565,4
5,672.49,47.88,69.9743,7.664829254150391,25000,27.0807,5
6,651.32,30.57,71.0961,-5.582034587860107,30000,27.4924,6
7,838.54,108.79,70.0341,-20.450454711914062,35000,27.1834,7
8,360.68,93.33,71.5163,-32.5726203918457,40000,27.6884,8
9,810.15,143.12,68.3125,-47.22789001464844,45000,27.6348,9
10,506.7,97.51,68.9698,-59.2137565612793,50000,27.9073,10
11,531.79,130.63,69.188,-76.78587341308594,55000,29.0053,11
12,768.15,197.42,68.2335,-91.17855834960938,60000,28.8145,12
13,648.43,185.77,68.4094,-106.17475128173828,65000,29.7737,13
14,672.28,155.81,69.4208,-117.61186981201172,70000,28.2215,14
15,906.36,220.74,64.4811,-123.43744659423828,75000,26.5394,15
16,964.95,251.54,67.0609,-144.45016479492188,80000,28.5818,16
17,649.78,208.02,67.2684,-157.5896759033203,85000,27.2053,17
18,941.25,307.06,69.2507,-174.51451110839844,90000,29.3834,18
19,824.23,150.64,67.5862,-187.00607299804688,95000,27.8036,19
20,926.35,244.01,68.8811,-203.81732177734375,100000,29.2438,20
21,826.79,162.91,67.6853,-210.63739013671875,105000,27.7294,21
22,893.86,200.13,65.8445,-224.4402313232422,110000,27.74,22
23,1150.96,257.22,67.0043,-243.36898803710938,115000,28.2382,23
24,908.63,243.09,65.8514,-257.1177673339844,120000,27.2257,24
25,1008.77,333.96,62.7094,-264.48028564453125,125000,26.0118,25
26,1080.07,347.6,66.3637,-284.73358154296875,130000,27.8549,26
27,972.18,346.82,66.2772,-297.5854797363281,135000,28.223,27
28,819.42,307.88,65.9553,-319.0517578125,140000,28.3752,28
29,1304.78,364.54,63.9394,-317.20263671875,145000,26.8149,29
30,1383.06,578.18,62.3142,-326.1271057128906,150000,25.6013,30
31,1122.2,346.35,62.3474,-344.8932800292969,155000,25.8576,31
32,826.14,285.06,64.7134,-372.1557312011719,160000,27.0682,32
33,707.8,196.04,63.6303,-379.36956787109375,165000,26.3966,33
34,1078.53,326.54,60.8407,-377.8832702636719,170000,25.1784,34
35,1048.92,505.64,61.1983,-401.25262451171875,175000,25.7071,35
36,882.85,381.58,64.8938,-435.6444091796875,180000,27.1552,36
37,886.28,344.6,60.7533,-428.3148193359375,185000,24.7806,37
38,1397.24,360.47,57.9822,-433.9208679199219,190000,24.8452,38
39,1039.73,591.95,59.1585,-434.876953125,195000,24.5616,39
40,1814.88,939.55,55.8561,-406.18701171875,200000,24.5249,40
41,1241.67,517.43,60.5257,-480.3652038574219,205000,25.6175,41
42,943.66,459.71,63.5134,-511.67755126953125,210000,26.015,42
43,899.42,346.72,63.7051,-534.2642211914062,215000,26.0342,43
44,1105.25,428.21,61.9904,-540.9784545898438,220000,26.0371,44
45,1356.58,790.54,58.5962,-492.3053283691406,225000,23.4456,45
46,1039.85,445.39,60.6867,-547.2451782226562,230000,24.4672,46
47,1934.87,896.14,54.3378,-520.0524291992188,235000,22.1591,47
48,1286.77,529.83,61.6612,-591.2599487304688,240000,24.4232,48
49,1153.98,597.52,60.5984,-608.4408569335938,245000,24.912,49
50,1246.05,868.33,60.505,-593.2044677734375,250000,24.6793,50
51,1697.03,933.79,57.5026,-578.5990600585938,255000,23.551,51
52,1142.17,682.4,59.3593,-629.8660888671875,260000,24.2993,52
53,1622.95,803.56,56.0009,-566.1549682617188,265000,22.1331,53
54,1248.2,775.47,60.0973,-667.2847900390625,270000,24.1053,54
55,2011.6,925.41,54.662,-612.2784423828125,275000,21.3337,55
56,1315.88,797.52,58.0079,-660.3353271484375,280000,22.9599,56
57,1036.03,626.74,60.6756,-715.8670043945312,285000,24.6813,57
58,2279.92,1230.23,55.235,-630.94677734375,290000,22.5307,58
59,1974.55,1179.06,54.2426,-653.9801635742188,295000,21.5172,59
60,1660.02,1474.06,52.7614,-604.2218017578125,300000,21.9431,60
61,1748.41,1076.75,56.1447,-667.0006103515625,305000,22.5484,61
62,2070.73,894.19,60.5653,-795.3875122070312,310000,25.3614,62
63,1680.92,682.52,59.9739,-811.9300537109375,315000,23.9885,63
64,2179.62,1359.74,60.2892,-801.1998291015625,320000,24.2081,64
65,2101.97,1053.09,57.8249,-719.7797241210938,325000,24.7815,65
66,1814.4,1094.34,55.8185,-774.2265625,330000,21.6767,66
67,2169.12,1661.63,57.2491,-678.6369018554688,335000,29.7404,67
68,1700.69,1111.0,59.2961,-838.7349853515625,340000,23.1341,68
69,1793.76,1051.51,58.968,-903.3928833007812,345000,23.3742,69
70,2372.48,1055.9,55.2675,-734.2379150390625,350000,23.3766,70
71,2779.93,1354.97,52.3655,-686.986328125,355000,25.4017,71
72,2571.38,1285.1,54.527,-676.2405395507812,360000,25.7597,72
73,2719.39,1600.73,53.2456,-766.2412109375,365000,22.7283,73
74,2541.78,1563.47,53.9065,-758.5430908203125,370000,23.5175,74
75,2358.6,1452.16,57.5915,-912.6769409179688,375000,22.7187,75
76,2664.45,1734.49,55.4092,-710.978271484375,380000,28.2539,76
77,1473.73,944.02,58.4086,-958.0777587890625,385000,23.0119,77
78,2348.06,1474.36,55.7708,-854.9288330078125,390000,24.9845,78
79,2138.92,1318.82,56.599,-884.628662109375,395000,24.2627,79
80,2738.43,2246.65,54.7543,-742.0986938476562,400000,29.9677,80
81,2658.74,1580.35,55.9697,-996.2274780273438,405000,22.7864,81
82,2717.02,1597.0,54.3983,-831.099853515625,410000,27.2828,82
83,1585.53,925.72,57.1788,-1003.9373779296875,415000,23.3631,83
84,2789.07,1840.02,55.9621,-782.1990966796875,420000,29.4104,84
85,2536.72,1431.8,52.3166,-826.1669921875,425000,22.2133,85
86,2312.58,1181.9,59.8112,-1140.4683837890625,430000,24.3472,86
87,2226.25,1842.92,54.1666,-876.278564453125,435000,24.2039,87
88,1544.97,1126.93,54.2913,-1014.5342407226562,440000,21.0185,88
89,1514.41,1462.94,59.0781,-1111.9520263671875,445000,23.8235,89
90,3229.92,1584.52,54.3904,-979.494384765625,450000,24.9039,90
91,2186.02,1316.68,58.3507,-1183.1112060546875,455000,21.881,91
92,2676.59,2163.16,56.8234,-967.5179443359375,460000,29.7817,92
93,2952.96,2430.38,57.8602,-943.954345703125,465000,34.7429,93
94,3045.46,2279.15,55.6445,-956.9706420898438,470000,30.0223,94
95,2586.06,1578.78,56.3377,-1127.4427490234375,475000,24.0105,95
96,2967.5,1953.86,55.4076,-1024.9371337890625,480000,28.8075,96
97,2902.05,2041.25,56.6453,-1073.10986328125,485000,26.8623,97
98,3275.33,1932.95,55.7838,-1027.1474609375,490000,27.981,98
99,3199.95,1691.75,56.4607,-1076.7650146484375,495000,28.5775,99
100,2944.15,1772.39,55.3025,-1023.9596557617188,500000,30.8258,100
