Real Sto Return,Running Env Steps,Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Itration
3454.3,385000,3455.42,77,19.094,-801.8523559570312,13.0212,77
2376.0,390000,3449.86,78,19.6987,-1601.663330078125,20.9039,78
2405.13,395000,3504.07,79,18.9012,-1233.12548828125,14.4712,79
3433.23,400000,3520.3,80,18.1978,-480.24957275390625,12.2955,80
3155.1,405000,3529.76,81,19.2899,-671.4246826171875,13.7632,81
2280.68,410000,3538.21,82,20.113,-1672.5269775390625,20.3213,82
2988.68,415000,3567.3,83,19.9968,-1338.5618896484375,14.8158,83
3246.53,420000,3424.09,84,19.1314,-801.1682739257812,15.4635,84
3467.04,425000,3494.86,85,18.2545,-493.0942687988281,11.2662,85
3383.59,430000,3539.87,86,19.4451,-853.7266235351562,12.8982,86
2605.01,435000,3490.41,87,19.5738,-933.0582275390625,15.3913,87
2177.15,440000,3470.91,88,20.2931,-1627.10205078125,16.1363,88
2486.87,445000,3521.52,89,19.5464,-1869.7789306640625,23.3477,89
3426.04,450000,3436.75,90,18.7641,-611.9017333984375,11.4143,90
3536.87,455000,3572.53,91,19.5971,-503.9782409667969,12.8551,91
3049.89,460000,3526.12,92,19.1418,-1187.184326171875,14.6744,92
3026.24,465000,3546.13,93,19.1631,-907.90673828125,13.0976,93
3312.57,470000,3478.32,94,18.8171,-818.77099609375,12.6626,94
3250.52,475000,3519.12,95,19.0528,-559.9051513671875,11.4229,95
3504.85,480000,3523.94,96,19.2698,-591.1467895507812,12.0815,96
3402.22,485000,3575.94,97,18.8846,-884.4395141601562,11.0304,97
3492.92,490000,3517.09,98,19.4019,-658.9943237304688,11.6497,98
3329.55,495000,3571.32,99,19.0299,-915.2694702148438,15.6856,99
3433.86,500000,3542.46,100,18.6544,-726.725830078125,11.2901,100
3493.31,505000,3516.89,101,17.9429,-592.4761962890625,10.6252,101
3363.03,510000,3589.57,102,19.1459,-894.6190795898438,12.049,102
3519.95,515000,3566.38,103,19.4676,-738.2430419921875,11.9275,103
3341.46,520000,3573.8,104,18.2102,-743.6358642578125,11.7216,104
3024.67,525000,3492.06,105,18.4573,-790.3544921875,14.6632,105
3411.98,530000,3554.86,106,18.748,-971.0423583984375,11.4853,106
3502.75,535000,3542.31,107,17.7949,-557.7731323242188,11.0936,107
3491.99,540000,3534.04,108,19.4553,-1027.116943359375,12.8556,108
3370.16,545000,3535.43,109,19.2524,-965.374755859375,12.0165,109
3453.26,550000,3485.56,110,18.1116,-785.3081665039062,10.891,110
3335.29,555000,3520.8,111,18.7796,-672.5213623046875,10.7643,111
3449.99,560000,3547.23,112,17.7731,-675.0812377929688,11.0259,112
3434.15,565000,3534.59,113,18.9765,-736.341064453125,11.5291,113
3501.74,570000,3525.6,114,18.8758,-735.6854858398438,15.9835,114
3496.04,575000,3579.96,115,19.4612,-970.029296875,11.5457,115
3482.37,580000,3509.39,116,18.5284,-732.3493041992188,12.6193,116
3244.39,585000,3513.4,117,18.1163,-955.2791137695312,10.7994,117
3314.71,590000,3516.99,118,20.0361,-993.5071411132812,11.883,118
3248.67,595000,3516.08,119,18.8878,-1664.420166015625,10.7974,119
3364.68,600000,3530.33,120,18.5379,-950.6735229492188,10.8169,120
0.28,605000,0.3,121,38.9944,-4180.71875,162.6386,121
29.54,610000,27.95,122,34.2645,-4089.056884765625,48.5042,122
119.6,615000,119.99,123,36.8667,-3255.73388671875,53.0231,123
989.57,620000,990.86,124,36.2664,-3218.77587890625,43.8118,124
2338.9,625000,3145.76,125,21.188,-1171.2886962890625,12.5302,125
981.22,630000,980.8,126,37.1966,-3534.447265625,26.9656,126
1113.62,635000,991.81,127,38.1558,-3348.5791015625,47.0417,127
3435.19,640000,3466.4,128,20.6033,-823.0125732421875,12.7141,128
996.71,645000,997.62,129,40.1237,-3621.123291015625,31.6977,129
2873.4,650000,3459.15,130,20.1499,-1449.9490966796875,13.4563,130
3003.86,655000,3468.92,131,19.9021,-1550.816162109375,13.7495,131
2846.62,660000,3412.46,132,19.0478,-2300.91748046875,15.9886,132
