Itration,Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return
0,-99.16,75.2356,26.8056,599.7
1,-86.51,74.7749,26.5208,575.64
2,-44.18,73.3222,26.3537,547.49
3,-19.13,73.7229,27.4009,627.79
4,12.97,73.065,27.52,557.76
5,103.1,72.2158,28.2044,556.41
6,67.64,70.8249,27.3584,577.28
7,67.09,71.3894,29.4886,726.83
8,94.32,71.1975,29.0462,559.14
9,97.23,73.7013,29.9676,615.96
10,111.59,69.3457,28.298,707.22
11,114.72,70.6106,29.0501,519.39
12,132.84,69.2427,28.9546,643.6
13,135.42,70.8809,28.7273,742.21
14,177.53,71.5129,29.5081,672.47
15,118.0,70.8144,28.6411,673.2
16,118.09,71.9067,29.4467,772.54
17,153.33,70.4776,29.2426,719.03
18,160.4,71.2597,29.8907,592.64
19,131.13,72.1158,29.9132,875.48
20,194.62,72.9361,29.6638,910.19
21,176.34,72.1884,29.5375,672.1
22,151.14,69.3119,29.9761,763.07
23,202.19,70.6492,29.0826,772.46
24,170.55,71.0345,29.948,972.49
25,185.05,71.7339,29.7167,985.59
26,203.17,71.9399,29.7411,888.46
27,202.34,71.4721,29.4861,944.94
28,221.09,71.607,30.2806,911.11
29,226.42,72.0857,30.1437,936.93
30,202.96,72.6587,30.7754,948.16
31,181.97,71.685,30.0636,912.36
32,237.19,71.4337,30.0,840.14
33,213.51,73.5023,31.4487,1009.0
34,264.92,72.4923,30.202,873.02
35,282.7,73.2731,30.1372,823.3
36,240.13,72.483,30.3543,988.3
37,212.46,74.2808,30.7485,881.56
38,230.0,71.3003,29.7154,929.14
39,277.91,72.9065,30.7169,1008.72
40,254.59,72.682,30.2724,886.4
41,259.37,71.5341,30.4968,988.63
42,292.83,72.7202,30.856,939.91
43,241.53,74.3713,30.9396,784.35
44,267.33,72.288,30.337,1025.79
45,245.04,70.3419,30.3509,768.45
46,253.98,72.5338,30.6297,970.41
47,284.93,73.9538,30.7351,937.53
48,294.03,73.2411,31.4412,927.31
49,220.9,73.5649,31.3464,900.13
50,310.99,73.269,30.7388,908.83
51,265.62,73.9529,30.1496,1014.42
52,258.26,73.1084,30.9083,964.06
53,270.86,72.8856,30.3722,931.49
54,303.68,71.4325,29.9976,995.49
55,287.53,72.5954,30.6562,1000.97
56,272.8,71.1867,30.6692,1007.65
57,292.77,74.7606,30.6182,823.39
58,272.49,71.8024,30.8552,933.63
59,244.22,72.1534,29.8963,982.24
60,283.54,71.6279,30.9173,988.13
61,265.85,74.612,30.7221,938.47
62,245.72,72.347,30.6426,908.84
63,265.92,72.1271,30.3366,869.3
64,289.89,72.9706,30.5742,932.95
65,268.84,74.4124,30.7001,953.6
66,288.23,72.5294,30.704,984.77
67,298.03,72.9717,30.9088,987.36
68,255.25,74.5351,31.7071,941.65
69,292.41,75.2383,31.4173,974.14
70,313.4,73.9276,30.6207,986.04
71,304.37,72.0956,30.3499,1010.7
72,298.64,73.6242,30.7605,985.52
73,285.76,73.7318,30.5035,958.24
74,299.08,74.0276,30.9658,1001.9
75,282.27,72.4102,30.4221,1046.83
76,267.28,72.7702,30.7392,863.5
77,270.44,75.2765,31.2628,795.63
78,273.49,72.4481,30.2571,1018.73
79,307.64,74.2925,30.8506,971.12
80,305.86,74.2153,30.7876,1010.95
81,309.16,72.2835,30.2897,907.95
82,309.29,74.3495,30.4411,1010.47
83,286.72,74.8081,31.1381,999.62
84,280.7,74.3574,30.7614,956.6
85,315.04,70.3918,30.1119,942.75
86,263.02,70.7533,29.5796,937.2
87,293.36,74.1235,30.3984,897.99
88,234.85,73.6986,30.0067,863.64
89,278.76,74.7126,31.095,962.68
90,272.19,74.0301,30.7601,964.06
91,317.17,75.3634,31.0364,1008.16
92,264.66,71.8188,30.3599,990.17
93,255.26,73.655,30.6197,1013.99
94,302.84,75.8564,30.7395,960.3
95,335.52,74.9199,31.0233,959.94
96,309.43,74.2669,30.8635,960.26
97,292.68,73.7526,30.2074,1021.0
98,306.75,72.6564,30.5729,961.67
99,308.83,74.1319,30.3166,1005.34
100,312.23,74.6964,31.0191,907.03
101,305.05,73.6008,30.6925,940.25
102,294.6,74.4575,30.9705,1013.79
103,299.47,72.4279,30.2476,1005.02
104,251.84,73.5558,30.574,964.29
105,325.81,74.1404,30.5658,918.44
106,324.17,74.8179,30.4993,1019.14
107,334.63,74.3622,30.5348,1003.34
108,257.07,71.9732,29.789,1009.81
109,294.14,73.5305,30.3297,1013.7
110,254.08,73.4703,30.9434,1006.89
111,306.01,71.5134,29.8678,1017.12
112,295.87,75.66,31.0876,959.62
113,316.01,73.4657,30.5095,921.72
114,302.6,74.0474,30.546,975.49
115,287.36,75.0569,30.7874,1008.91
116,294.31,74.3955,30.3894,969.09
117,296.46,73.2646,30.7582,953.26
118,285.82,73.831,30.5349,976.68
119,316.18,74.787,31.2999,951.03
120,283.11,74.4948,30.6068,950.83
121,327.82,74.4646,30.4779,975.18
122,302.99,75.1019,30.9341,924.95
123,345.61,73.9296,30.9189,1021.67
124,240.14,74.7039,30.8532,1008.4
125,324.77,74.6328,30.6546,1024.82
126,305.74,73.6879,30.7181,1021.81
127,314.08,74.8196,30.5218,1019.13
128,302.73,74.2069,30.4065,967.6
129,309.2,75.0392,30.6571,924.71
130,309.7,75.1266,30.8372,988.57
131,312.33,74.8624,30.5667,1018.05
132,332.7,74.2387,30.4337,1018.25
133,274.45,74.2001,30.5847,1015.21
134,314.93,73.8403,30.9846,963.52
135,291.93,74.6291,30.426,1024.18
136,287.4,75.4149,30.8974,1018.54
137,283.09,73.0224,30.5813,1007.24
138,322.35,74.2934,30.3478,962.54
139,314.81,73.3739,30.2355,951.32
140,304.61,73.9996,30.5732,1023.18
141,294.57,73.1448,30.4086,1019.92
142,315.82,74.5163,30.5984,965.99
143,319.91,75.3771,30.5494,1025.29
144,279.44,74.3824,30.1842,1028.0
145,336.92,73.8758,30.6758,1018.86
146,304.45,73.9036,30.4076,1020.52
147,292.02,73.4043,30.5767,956.52
148,325.1,74.5806,30.8523,977.47
149,313.82,74.6772,30.7341,1012.69
150,321.91,75.352,30.7928,1014.06
151,311.79,75.6315,30.7584,959.95
152,277.84,73.8853,30.5918,923.26
153,305.38,74.1658,30.1551,1020.72
154,310.8,75.2786,30.915,1007.77
155,270.45,74.4738,30.629,1020.32
156,332.12,75.8087,30.7399,975.11
157,294.71,74.3168,30.4782,1004.83
158,304.67,74.6909,30.6633,974.1
159,280.44,74.8216,30.8073,923.17
160,323.69,72.953,30.5503,938.19
161,324.67,73.0355,30.4316,1014.04
162,302.96,74.752,31.0785,922.72
163,296.01,72.9218,30.3807,1023.89
164,324.72,73.7535,30.5677,1017.64
165,319.56,75.0201,30.4313,969.83
166,300.22,75.0764,31.3278,969.51
167,265.08,73.2796,30.1062,1014.71
168,319.91,75.8405,30.9351,1012.63
169,305.8,74.491,31.3231,1022.07
170,321.47,74.2595,30.5045,1027.64
171,332.45,75.7366,30.7077,1020.03
172,320.29,75.3472,30.8371,961.71
173,291.09,75.7539,30.8225,1023.77
174,338.65,75.1822,30.8763,918.74
175,326.45,74.5103,30.116,926.97
176,312.46,74.9749,30.8039,1014.81
177,331.82,74.5748,30.3336,1019.79
178,292.7,75.4227,30.7769,1031.31
179,308.75,75.0608,30.4279,933.54
180,278.16,75.262,30.6276,918.57
181,282.26,75.4154,30.4652,918.99
182,311.49,73.8697,30.4611,922.86
183,304.87,74.5313,30.4739,974.34
184,316.46,74.6594,30.0958,1024.68
185,317.03,74.2545,30.6812,977.89
186,314.34,75.7828,31.3601,917.61
187,308.47,75.0057,30.7144,1022.9
188,290.67,74.6364,30.0772,1011.83
189,271.41,74.1752,30.6071,1015.16
190,294.88,73.5925,30.4362,966.19
191,299.65,74.63,30.376,924.68
192,331.57,74.7129,30.415,1017.2
193,303.67,74.9932,30.7237,1013.55
194,330.17,75.9633,30.8229,912.81
195,317.81,74.9907,30.6659,1019.33
196,311.77,74.9846,30.0895,969.86
197,296.81,76.0134,31.3866,858.23
198,308.82,75.4646,30.8912,820.7
199,300.67,75.4438,30.3523,907.37
200,332.09,74.702,30.4376,1030.45
201,301.8,75.4875,30.5285,1027.68
202,322.43,72.7671,29.9095,924.1
203,296.58,73.8164,29.8324,922.14
204,324.76,74.8686,30.0878,975.62
205,335.87,74.7029,30.4722,966.77
206,330.86,73.6818,30.0027,971.14
207,244.24,75.6336,30.1517,871.76
208,270.03,75.4326,30.5071,967.39
209,317.85,75.2509,30.3514,1016.14
210,246.71,74.1076,30.4186,1022.36
211,320.85,74.285,30.1272,923.55
212,283.67,75.0968,30.3549,1019.48
213,307.35,74.9874,30.5434,973.53
214,315.32,74.4059,29.9967,973.41
215,300.38,74.0773,30.0923,1020.94
216,318.08,73.6882,30.1181,924.15
217,303.04,75.0235,30.1466,971.59
218,294.09,75.0011,29.8386,973.6
219,274.0,75.6093,29.9653,913.95
220,274.18,74.8015,30.6668,921.63
221,301.52,75.1704,30.0983,973.73
222,265.35,74.6349,30.3518,967.44
223,268.86,74.7409,29.986,922.29
224,281.75,75.6163,30.3708,958.62
225,268.12,74.4004,30.0037,973.54
226,266.49,74.6856,29.9027,924.78
227,272.2,74.8071,29.8649,967.59
228,317.74,75.6042,29.9855,972.2
229,247.89,75.2766,29.8418,1021.51
230,318.53,74.547,30.2851,915.08
231,275.23,74.2062,29.5264,968.99
232,273.84,73.6128,29.9083,966.4
233,274.54,75.1858,29.7889,970.5
234,298.22,74.0005,29.7044,971.08
235,275.58,74.3093,29.8924,916.41
236,335.98,75.3057,29.798,965.13
237,268.16,74.3986,29.7302,968.42
238,306.4,74.687,30.0407,976.92
239,256.28,74.5586,29.7,974.2
240,252.78,74.3723,29.8889,918.64
241,272.93,74.7034,29.8096,972.3
242,257.85,75.2789,30.331,962.5
243,287.14,74.6738,29.8703,920.09
244,298.16,75.0008,30.6163,819.37
245,274.69,74.5431,29.1957,1012.61
246,198.33,75.1555,29.9462,864.95
247,264.89,74.863,29.9522,962.9
248,263.72,74.8803,29.9751,914.56
249,216.73,74.314,29.4505,1017.81
250,298.82,74.6021,29.8228,973.54
251,224.43,75.6774,30.2372,974.36
252,258.96,74.4819,29.4036,966.89
253,239.83,74.3276,29.5085,1015.87
254,247.24,73.4384,29.5918,927.42
255,228.71,74.6364,29.4366,961.82
256,243.17,75.2673,29.6736,1021.96
257,277.62,74.3604,29.4901,866.31
258,306.26,74.8052,29.9533,1022.15
259,244.52,74.6407,29.987,919.08
260,235.49,73.4012,29.8697,977.86
