Real Det Return,Itration,Running Reverse KL,Running Forward KL,Real Sto Return
266.25,0,269.7478,446.4739,281.33
318.35,1,281.1631,438.1882,340.3
369.61,2,273.0529,435.2622,348.58
324.37,3,275.9278,432.5573,363.14
391.03,4,260.9782,412.097,386.12
516.49,5,254.0621,416.8427,453.68
530.95,6,263.4153,418.8643,447.01
372.8,7,300.9433,392.0405,436.31
515.88,8,279.95,407.3681,436.22
509.33,9,254.6215,407.5365,475.11
408.05,10,304.9645,413.5894,390.95
485.29,11,285.5013,410.8697,429.44
459.01,12,260.8468,400.2003,478.86
619.86,13,265.6052,396.1382,489.8
454.74,14,280.5453,391.3978,459.85
398.24,15,308.9762,394.1892,421.48
449.43,16,299.6914,382.9699,461.41
484.45,17,307.2163,381.5827,474.02
451.44,18,302.1206,385.5242,464.52
546.52,19,278.0477,378.7503,493.33
567.68,20,252.2755,375.5807,564.56
623.96,21,269.1723,376.5363,548.63
632.22,22,275.8228,376.2342,568.29
686.73,23,257.8844,363.7523,623.07
509.88,24,283.6524,375.1052,525.3
503.99,25,269.6621,367.0381,560.4
647.36,26,259.3956,363.8452,592.96
752.63,27,224.3411,357.9061,634.19
611.29,28,244.7575,354.1208,734.47
516.63,29,254.3563,365.2494,588.3
687.19,30,254.3136,382.7002,676.85
568.59,31,219.9317,352.209,617.25
850.7,32,262.445,357.418,712.4
588.8,33,221.1076,342.1833,881.47
625.25,34,244.2084,349.6916,876.87
856.98,35,223.0148,337.2592,912.84
651.26,36,235.826,350.5825,744.65
929.74,37,203.5967,335.0257,1035.87
874.88,38,231.9148,333.4411,804.02
1233.29,39,226.7075,338.0436,1144.91
772.13,40,224.9283,339.0775,1280.66
848.74,41,220.7512,341.3709,1209.43
1128.59,42,203.4865,319.8012,1678.01
1703.81,43,196.7206,327.9221,1644.14
1322.1,44,176.1482,317.4445,1734.2
2301.74,45,152.2661,291.5132,2034.59
1317.82,46,190.4196,292.1781,1541.7
2359.71,47,121.0171,294.6886,2828.13
3869.88,48,145.48,305.1261,2374.38
3376.69,49,131.8697,305.1437,1964.5
3377.06,50,157.5677,306.2697,2121.36
1600.13,51,145.1318,287.5991,2700.87
2609.59,52,156.2049,289.874,2851.27
3254.12,53,122.2287,291.0174,2341.89
3238.26,54,132.2602,296.1729,3324.64
2215.35,55,114.3554,286.0007,3672.62
