Running Forward KL,Running Env Steps,Running Reverse KL,Real Det Return,Running Update Time,Real Sto Return,Itration,Reward Loss
32.8266,0,17.5466,200.1,0,195.27,0,-175.01695251464844
32.3441,5000,16.5421,263.44,1,264.27,1,-298.73773193359375
32.5119,10000,23.5957,240.72,2,239.14,2,-381.141357421875
31.189,15000,24.6879,266.16,3,324.56,3,-282.843017578125
30.7302,20000,26.9595,326.83,4,320.62,4,-313.2354736328125
31.3628,25000,121.6614,345.11,5,338.19,5,-992.7350463867188
30.2596,30000,24.1577,384.89,6,375.77,6,-707.1871948242188
30.631,35000,17.3729,453.05,7,437.92,7,-372.1949157714844
29.7647,40000,19.646,483.12,8,455.35,8,-523.7911376953125
29.7126,45000,23.2087,505.89,9,418.02,9,-455.4219665527344
30.1008,50000,15.7783,478.29,10,460.46,10,-552.2637329101562
29.8432,55000,17.136,474.82,11,451.53,11,-468.219482421875
29.4638,60000,18.4952,465.7,12,457.9,12,-425.45904541015625
28.668,65000,17.5532,498.76,13,513.81,13,-561.0907592773438
29.7172,70000,17.6136,510.41,14,478.73,14,-564.6656494140625
29.9389,75000,18.2847,473.32,15,450.08,15,-605.6477661132812
29.3737,80000,18.6773,501.58,16,504.29,16,-635.1512451171875
28.6016,85000,17.7756,516.61,17,501.73,17,-669.5454711914062
28.1458,90000,16.785,539.4,18,530.68,18,-618.5104370117188
28.9994,95000,23.0219,537.56,19,509.16,19,-958.8623046875
27.4485,100000,20.9016,607.15,20,575.9,20,-984.7243041992188
27.4207,105000,26.8148,557.66,21,565.12,21,-1308.039794921875
28.0278,110000,18.4487,551.91,22,560.43,22,-1139.2901611328125
27.2907,115000,21.0912,587.28,23,598.47,23,-1193.251953125
27.2327,120000,18.5735,572.27,24,650.78,24,-1065.4520263671875
26.9734,125000,21.6564,627.9,25,597.61,25,-1098.2938232421875
26.7442,130000,18.9598,664.53,26,648.79,26,-1033.8121337890625
26.1424,135000,14.1547,740.52,27,681.63,27,-780.8663940429688
25.807,140000,17.3154,753.37,28,659.02,28,-904.331787109375
26.2961,145000,23.1703,677.96,29,655.94,29,-1191.0665283203125
26.5156,150000,25.4261,689.33,30,658.98,30,-1398.7464599609375
26.1589,155000,25.1233,735.65,31,696.51,31,-1091.094970703125
26.1671,160000,25.3264,732.22,32,698.11,32,-1248.8834228515625
26.8721,165000,24.3132,650.09,33,641.7,33,-1501.4134521484375
26.0649,170000,25.2491,613.95,34,636.54,34,-1609.0533447265625
26.3491,175000,23.376,742.1,35,682.86,35,-1601.9063720703125
25.3073,180000,29.1789,777.11,36,741.15,36,-1778.0712890625
25.3129,185000,15.594,1045.16,37,818.39,37,-926.3167724609375
25.9924,190000,25.4902,743.35,38,695.16,38,-1663.1158447265625
26.0178,195000,22.8029,791.49,39,776.7,39,-1615.575927734375
25.4892,200000,23.1704,802.73,40,777.83,40,-1771.5364990234375
25.778,205000,20.3531,886.91,41,844.89,41,-1778.8807373046875
25.4145,210000,18.0891,941.76,42,813.51,42,-1636.939697265625
24.7444,215000,24.7153,979.1,43,896.97,43,-1932.5716552734375
24.8171,220000,22.7454,1004.92,44,952.72,44,-2039.8865966796875
24.2827,225000,20.9456,1038.51,45,1016.5,45,-1970.7119140625
24.7243,230000,22.7267,1551.14,46,1202.94,46,-2001.9390869140625
25.1346,235000,19.8891,1067.74,47,1423.02,47,-1644.14111328125
23.0522,240000,21.0836,2321.29,48,1847.46,48,-1602.1812744140625
23.7697,245000,20.1649,2900.85,49,1972.34,49,-1424.368896484375
25.0373,250000,27.8398,834.55,50,730.81,50,-2481.257080078125
23.8311,255000,26.4294,2328.12,51,1573.08,51,-1971.04638671875
23.8967,260000,23.754,2491.9,52,2022.24,52,-1488.8341064453125
24.1299,265000,26.076,2893.93,53,1581.19,53,-1919.04638671875
24.5798,270000,26.8916,2866.11,54,1221.69,54,-1891.97265625
