Itration,Real Det Return,Real Sto Return,Running Forward KL,Running Reverse KL
0,401.61,312.45,49.2865,13.339
1,348.65,339.3,49.7816,20.2706
2,308.73,358.59,49.5362,28.5193
3,329.08,384.01,49.4646,25.6014
4,374.88,408.05,49.3192,15.2057
5,351.54,388.07,49.3462,26.5591
6,637.89,714.2,47.7557,12.4892
7,774.56,928.01,47.3428,22.4804
8,528.28,501.92,48.6219,20.8746
9,2517.65,1730.36,46.3409,25.3631
10,1142.6,1204.14,47.1584,32.2928
11,1885.06,1310.07,45.9965,18.3873
12,1147.17,973.87,47.3955,36.1247
13,2568.77,1315.68,47.5375,27.957
14,1233.5,1117.23,47.5771,42.2787
15,2146.31,1666.96,46.9807,25.8862
16,2281.55,1687.7,45.9948,37.6082
17,924.58,892.64,47.504,55.44
18,1013.55,1221.26,46.9363,30.4005
19,2266.16,1817.94,46.2778,21.9927
20,1762.8,1524.79,46.3159,25.7279
21,1558.07,1528.87,46.2653,21.4647
22,2165.33,989.39,46.0673,25.9613
23,1450.04,1054.1,46.217,35.0918
24,-4.9,100.19,55.9979,43.3212
25,315.47,595.76,48.7517,33.4176
26,1496.3,1023.35,47.4749,41.9968
27,856.12,814.58,46.7122,22.765
28,1167.26,1324.34,47.0231,31.1179
29,1590.41,1234.33,47.0337,22.4235
30,640.64,966.31,49.2147,38.0073
31,116.05,373.55,50.9411,32.1623
32,889.13,556.31,48.686,24.3968
33,1072.21,1049.49,46.767,24.3958
34,2192.72,1849.01,46.465,14.5543
35,126.77,86.26,51.501,19.0198
36,240.4,561.0,46.9735,19.779
37,2049.81,663.92,46.2363,59.9846
38,1568.8,1168.61,47.5389,37.2212
39,1826.21,1412.42,46.488,18.2242
40,1589.43,1463.4,45.5811,19.366
41,1518.77,1300.9,46.2981,25.0603
42,217.9,255.94,49.6408,25.9264
43,414.81,370.46,49.5922,23.1315
44,454.89,446.79,49.8442,19.3855
45,31.85,45.61,52.6263,52.7248
46,-2.26,-2.23,54.4359,33.6509
47,501.11,521.68,51.0233,22.5309
48,240.62,328.32,50.0075,16.645
49,849.57,928.46,49.487,42.4902
50,535.18,614.8,49.2353,34.8436
51,852.93,825.24,47.8757,54.7169
52,818.41,891.17,49.2987,45.1743
53,1431.95,991.53,47.9024,51.7767
54,2641.29,1993.4,47.3123,26.1808
55,2138.2,1692.09,48.1326,19.7601
56,2339.01,2390.21,49.2862,27.0659
57,2469.68,2307.86,48.269,24.9454
58,1025.11,1096.81,48.0616,21.4292
59,866.69,632.7,48.1583,19.5896
60,1028.15,1035.74,55.0809,39.7803
61,745.31,746.17,49.0275,26.1328
62,892.99,358.87,49.8235,33.8131
63,184.23,124.85,54.8127,52.1382
64,321.25,373.49,50.9083,28.8489
65,51.21,33.33,51.0253,37.5344
66,851.82,704.13,52.3252,30.4739
67,10.17,11.21,54.8068,38.3207
68,1027.15,983.8,53.2209,33.3491
69,849.18,860.85,55.5893,58.8779
70,1234.87,1192.74,49.3719,27.0484
71,-3.76,-1.72,55.3586,97.484
72,1033.55,1038.14,56.2034,49.6115
73,1029.1,1032.83,55.3562,55.9498
74,1002.1,1000.68,56.4184,50.2299
75,1011.07,975.28,49.5783,28.9624
76,-9.62,-10.18,60.1087,144.8221
77,15.76,9.76,54.6295,32.1725
78,1030.3,1022.18,55.5272,52.4673
79,903.39,930.79,52.0676,50.9345
80,27.86,27.74,53.028,68.0336
81,906.01,627.47,49.8499,24.007
82,1590.83,1372.05,48.4586,28.3125
