Running Reverse KL,Reward Loss,Real Sto Return,Real Det Return,Running Update Time,Itration,Running Forward KL,Running Env Steps
25.4508,72.5580825805664,-44.23,516.03,0,0,75.5914,0
25.943,34.15946960449219,-57.7,349.22,1,1,74.3428,5000
27.8302,-66.54088592529297,11.28,745.82,2,2,76.2988,10000
28.0763,-110.9566421508789,12.15,678.47,3,3,72.7917,15000
29.5338,-193.7393341064453,41.84,695.26,4,4,72.6096,20000
30.1097,-262.71533203125,87.64,794.82,5,5,71.5752,25000
30.1201,-312.5916748046875,158.47,840.92,6,6,69.7748,30000
30.6434,-394.32086181640625,114.5,479.84,7,7,71.5474,35000
32.3193,-446.8161926269531,174.52,686.04,8,8,71.0998,40000
32.7596,-522.1748657226562,171.84,810.45,9,9,71.9193,45000
32.2929,-573.0244750976562,220.51,853.78,10,10,71.6328,50000
32.4965,-624.366943359375,183.9,742.63,11,11,70.9914,55000
33.0298,-697.5013427734375,197.83,774.89,12,12,72.5083,60000
31.8841,-750.313720703125,174.47,646.2,13,13,71.605,65000
32.9721,-823.7673950195312,244.02,676.21,14,14,71.1455,70000
32.4704,-890.9580688476562,236.94,686.48,15,15,72.9902,75000
32.221,-940.4638671875,180.19,747.09,16,16,70.8619,80000
32.4092,-1003.312744140625,274.91,593.61,17,17,70.9791,85000
31.918,-1060.7322998046875,273.95,665.08,18,18,69.4443,90000
30.6571,-1111.62841796875,344.87,743.83,19,19,68.5323,95000
32.4685,-1193.4649658203125,230.27,791.65,20,20,71.1826,100000
31.6449,-1254.4630126953125,276.91,872.67,21,21,71.1098,105000
30.6736,-1291.3343505859375,219.04,924.18,22,22,69.7874,110000
31.1334,-1386.614990234375,222.68,775.69,23,23,71.0238,115000
31.8112,-1461.6126708984375,261.22,832.27,24,24,71.7642,120000
31.8439,-1544.1097412109375,245.32,983.75,25,25,72.9411,125000
30.139,-1567.0262451171875,268.51,882.16,26,26,69.2328,130000
32.013,-1670.3502197265625,290.66,980.09,27,27,72.749,135000
31.5342,-1713.8101806640625,336.54,976.33,28,28,72.0635,140000
31.9841,-1810.0819091796875,231.64,910.47,29,29,73.2919,145000
30.8515,-1831.4935302734375,251.71,953.54,30,30,70.8971,150000
30.6187,-1905.5782470703125,225.5,997.08,31,31,70.9265,155000
31.0835,-1971.255126953125,309.97,929.57,32,32,71.1459,160000
31.5062,-2069.6904296875,188.16,935.25,33,33,73.3357,165000
31.3052,-2103.749755859375,312.18,989.37,34,34,70.5572,170000
31.174,-2183.45556640625,254.55,891.47,35,35,71.837,175000
31.6829,-2269.32763671875,366.33,944.28,36,36,71.5591,180000
30.8618,-2339.711669921875,325.11,973.1,37,37,71.346,185000
31.0666,-2404.69140625,277.66,821.01,38,38,69.7408,190000
30.3556,-2436.399169921875,273.71,841.19,39,39,69.5898,195000
30.9446,-2553.23876953125,260.83,926.13,40,40,70.3519,200000
29.3935,-2528.375,301.63,972.53,41,41,68.2114,205000
31.0704,-2681.916015625,275.89,842.44,42,42,71.1627,210000
31.4881,-2802.077880859375,281.69,844.3,43,43,71.9708,215000
30.3896,-2812.71630859375,317.58,887.16,44,44,70.1442,220000
29.7189,-2776.03369140625,318.55,1019.55,45,45,67.8918,225000
30.346,-2945.061767578125,336.19,984.44,46,46,71.0935,230000
30.4456,-3053.383544921875,272.9,1013.46,47,47,70.2584,235000
29.7326,-2989.663330078125,427.26,1021.12,48,48,67.7832,240000
28.1346,-3047.439453125,318.99,978.34,49,49,66.4009,245000
29.9002,-3178.291748046875,344.07,984.21,50,50,67.9472,250000
28.628,-3093.92236328125,338.37,1100.59,51,51,65.0439,255000
28.922,-3220.821533203125,428.83,1279.36,52,52,65.821,260000
30.123,-3496.539794921875,337.85,1024.7,53,53,69.8725,265000
29.5249,-3523.658447265625,450.3,1130.84,54,54,68.8455,270000
27.8218,-3407.53759765625,362.07,1110.92,55,55,63.9896,275000
26.9518,-3418.883056640625,492.82,1301.47,56,56,63.262,280000
28.9874,-3652.4921875,379.29,1299.41,57,57,66.6443,285000
27.9378,-3613.265380859375,427.83,1283.59,58,58,63.5533,290000
30.2323,-3958.1865234375,475.22,1115.85,59,59,69.2712,295000
28.8445,-3924.8916015625,513.94,1001.3,60,60,66.8486,300000
27.7562,-3955.99951171875,492.21,1050.06,61,61,65.8127,305000
28.6115,-3911.584228515625,413.63,1172.52,62,62,66.6039,310000
27.8944,-4121.52197265625,364.44,934.84,63,63,66.2984,315000
27.5877,-4049.152099609375,644.07,1329.95,64,64,63.1466,320000
28.2177,-4148.38720703125,705.92,1335.88,65,65,64.547,325000
27.1743,-4213.5322265625,422.89,1374.62,66,66,64.2289,330000
27.9437,-4194.35888671875,601.33,1794.62,67,67,64.5486,335000
28.6626,-4506.96044921875,542.15,1563.23,68,68,66.3997,340000
28.2309,-4421.884765625,908.7,1817.48,69,69,65.291,345000
29.3535,-4914.98779296875,531.14,1307.97,70,70,68.9705,350000
31.3337,-4163.0849609375,1273.72,2040.34,71,71,63.8451,355000
28.8122,-4449.87841796875,692.17,2057.13,72,72,63.7606,360000
27.3785,-4610.7001953125,751.22,1757.29,73,73,62.0179,365000
27.4145,-4579.41943359375,1109.03,2188.74,74,74,62.7648,370000
28.9556,-4402.22705078125,847.95,2181.92,75,75,62.2237,375000
26.9745,-4520.265625,1046.37,1547.44,76,76,60.9036,380000
26.8016,-4933.08447265625,1072.64,1675.06,77,77,62.1759,385000
28.1316,-5133.435546875,994.95,1744.25,78,78,64.3498,390000
26.4604,-4801.78564453125,1085.88,1584.67,79,79,59.7804,395000
25.8957,-4748.251953125,1046.26,1615.25,80,80,60.3858,400000
25.7131,-4883.21923828125,700.74,1523.01,81,81,59.0841,405000
27.1874,-5556.8994140625,956.24,1873.21,82,82,64.0797,410000
27.1949,-5368.09716796875,916.47,1954.31,83,83,62.8891,415000
27.4169,-4719.54296875,1319.32,2114.36,84,84,59.5884,420000
26.0881,-5199.693359375,1603.52,1340.5,85,85,59.1599,425000
