Itration,Running Forward KL,Running Update Time,Running Env Steps,Real Sto Return,Running Reverse KL,Real Det Return,Reward Loss
0,30.4104,0,0,290.04,17.0336,304.62,-30.94106674194336
1,31.016,1,5000,301.01,28.3065,301.04,-18.300884246826172
2,29.2774,2,10000,305.33,37.662,310.71,-143.88916015625
3,29.8063,3,15000,300.79,29.3727,312.07,-190.66940307617188
4,29.4239,4,20000,331.33,29.7556,319.57,-245.77227783203125
5,29.1803,5,25000,348.07,29.8572,318.97,-286.1529235839844
6,28.8416,6,30000,418.6,20.3776,452.33,-264.5760498046875
7,27.3915,7,35000,359.28,14.7754,341.95,-210.87942504882812
8,28.7255,8,40000,810.12,19.1934,773.27,-273.869384765625
9,29.0926,9,45000,709.28,18.7824,709.29,-348.1448059082031
10,28.2633,10,50000,826.89,20.6671,1333.86,-513.052734375
11,26.3658,11,55000,1870.0,15.1996,1564.86,-430.2104187011719
12,26.0924,12,60000,1615.65,19.3429,3138.91,-431.7837829589844
13,26.4613,13,65000,1795.53,27.5416,2305.18,-421.411376953125
14,27.1961,14,70000,1227.48,38.3765,1191.63,-544.8986206054688
15,27.2978,15,75000,1252.87,31.5282,1322.9,-520.5350952148438
16,27.2394,16,80000,1257.82,31.9479,1159.8,-576.4329223632812
17,27.4693,17,85000,1127.22,33.1638,1284.42,-588.6896362304688
18,26.9412,18,90000,1228.88,22.0314,1404.27,-630.68701171875
19,25.9984,19,95000,2510.28,14.7097,3128.89,-450.9104309082031
20,26.7732,20,100000,1934.17,14.7986,2912.45,-615.4087524414062
21,26.5715,21,105000,1302.4,14.8572,1388.16,-739.97119140625
22,26.7112,22,110000,2299.15,15.6328,3198.25,-627.8180541992188
23,25.7184,23,115000,2669.26,15.7558,3132.79,-458.7934875488281
24,25.8478,24,120000,2910.31,15.9515,3197.39,-477.13397216796875
25,26.7394,25,125000,3119.69,18.1032,3148.51,-467.4107360839844
26,26.3919,26,130000,3084.74,17.2101,3021.18,-463.6596984863281
27,26.2671,27,135000,3149.8,18.1425,3067.52,-484.22674560546875
28,26.4603,28,140000,2204.13,16.5998,3181.31,-716.552734375
29,26.4159,29,145000,3111.6,17.8686,3159.76,-513.7926635742188
30,26.1308,30,150000,3157.41,17.2964,3152.36,-585.3873901367188
31,25.7009,31,155000,2881.33,16.2757,3190.73,-573.0629272460938
32,26.1825,32,160000,3009.16,17.2949,3208.21,-588.1688842773438
33,26.4605,33,165000,3144.23,18.4081,3140.85,-595.3343505859375
34,25.8456,34,170000,3063.07,17.2072,3174.11,-576.8014526367188
35,26.0428,35,175000,2983.55,17.5915,3184.8,-641.0020141601562
36,26.0422,36,180000,3177.6,17.703,3193.64,-670.3167724609375
37,25.8995,37,185000,3173.78,17.5303,3165.84,-667.4505004882812
38,26.3271,38,190000,3108.61,16.4587,3207.38,-741.5709838867188
39,25.8303,39,195000,3136.15,18.2727,3129.66,-676.5708618164062
40,25.4486,40,200000,3088.54,16.1376,3209.32,-687.9886474609375
41,25.6288,41,205000,3041.51,15.3932,3227.56,-763.9171142578125
42,25.9798,42,210000,2323.46,15.3746,3240.93,-830.7318115234375
43,26.083,43,215000,2651.97,16.9235,3222.15,-741.3724975585938
44,25.7826,44,220000,2863.4,14.7233,3237.52,-851.0792846679688
45,25.8873,45,225000,3185.83,16.9135,3183.05,-811.87255859375
46,25.6996,46,230000,3194.46,17.1158,3195.98,-831.9887084960938
47,25.566,47,235000,3205.73,16.8852,3213.04,-833.9808349609375
48,24.9974,48,240000,3220.04,16.5965,3221.8,-854.2250366210938
49,25.6027,49,245000,3186.97,17.6484,3160.97,-837.4312133789062
50,25.6575,50,250000,3165.53,16.9857,3199.55,-890.0150146484375
51,25.8615,51,255000,3040.76,16.853,3209.13,-911.1356811523438
52,25.7601,52,260000,3167.64,17.4784,3189.29,-920.0123291015625
53,25.0985,53,265000,3169.4,17.3534,3153.23,-921.15869140625
54,25.417,54,270000,3236.41,16.7736,3226.2,-963.6060791015625
55,25.3564,55,275000,3175.19,16.6816,3219.18,-949.5588989257812
56,25.7114,56,280000,3077.28,16.0989,3211.59,-1096.22119140625
57,24.9206,57,285000,3178.5,16.4845,3189.26,-999.205810546875
58,25.7301,58,290000,3180.69,16.1794,3200.58,-1034.7618408203125
59,25.2948,59,295000,3145.23,16.6552,3213.26,-1059.12109375
60,25.2517,60,300000,3186.92,16.8305,3216.53,-1080.52734375
61,25.4483,61,305000,3048.12,16.9052,3213.24,-1063.4072265625
62,25.1201,62,310000,3027.69,16.0288,3217.12,-1109.27587890625
63,26.102,63,315000,1872.89,15.8809,3022.18,-1703.090576171875
64,24.9064,64,320000,2587.53,15.6977,3040.16,-1177.6741943359375
65,24.9179,65,325000,2987.91,15.5676,3210.74,-1206.7144775390625
66,25.1427,66,330000,3148.78,16.1824,3208.78,-1164.3939208984375
67,25.1858,67,335000,3046.99,15.9342,3223.4,-1174.1763916015625
68,25.2099,68,340000,2825.47,15.1135,3204.39,-1202.865966796875
69,24.3462,69,345000,2715.01,15.0873,3217.75,-1161.44482421875
70,24.7355,70,350000,3160.7,15.5002,3195.07,-1234.0498046875
71,24.5293,71,355000,3196.22,15.9829,3187.64,-1272.0889892578125
72,24.8321,72,360000,3173.86,16.9512,3168.32,-1263.603271484375
73,24.8671,73,365000,2765.34,15.5893,3220.79,-1282.62890625
74,25.4658,74,370000,2937.52,16.2488,3213.06,-1308.0072021484375
75,25.1003,75,375000,2941.49,15.7613,3191.03,-1325.4879150390625
76,24.4673,76,380000,3136.35,15.4594,3162.57,-1345.796875
77,24.685,77,385000,2794.89,14.7104,3217.37,-1447.5177001953125
78,24.901,78,390000,2911.7,16.1685,3189.74,-1357.3629150390625
79,24.9667,79,395000,3015.54,15.5175,3202.68,-1456.207275390625
80,24.6951,80,400000,3155.13,15.9995,3203.58,-1500.93359375
81,24.3458,81,405000,3155.95,14.7112,3202.66,-1475.026611328125
82,25.0298,82,410000,3096.83,16.2119,3229.47,-1465.8427734375
83,23.7567,83,415000,3163.48,15.1377,3163.01,-1489.551513671875
84,24.6163,84,420000,3108.67,15.135,3216.24,-1447.7391357421875
85,24.6671,85,425000,3155.64,15.4049,3180.35,-1525.324462890625
86,24.8854,86,430000,2740.79,15.5152,3222.29,-1639.2420654296875
87,24.6537,87,435000,2770.81,15.2439,3192.14,-1602.775146484375
88,24.6185,88,440000,3180.32,16.0314,3186.63,-1629.38623046875
89,24.859,89,445000,3131.94,16.2179,3183.3,-1587.01708984375
90,24.0228,90,450000,3166.61,15.5603,3167.68,-1616.2176513671875
