Itration,Reward Loss,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL
0,10.736823081970215,0,0,-190.44,158.7071,-49.82,11.7679
1,-23.865938186645508,1,5000,-38.17,158.4959,359.96,11.848
2,-80.62222290039062,2,10000,276.73,158.3714,667.93,13.4048
3,-116.32833862304688,3,15000,430.77,158.2973,324.44,13.9269
4,-152.38719177246094,4,20000,577.64,158.0976,958.22,14.3457
5,-190.14149475097656,5,25000,745.22,158.0224,965.26,14.6184
6,-248.6185760498047,6,30000,744.73,158.0055,1040.96,14.1697
7,-283.086669921875,7,35000,798.3,158.13,264.62,14.9204
8,-329.9447937011719,8,40000,898.23,158.1139,1179.36,15.1616
9,-369.0223083496094,9,45000,944.73,158.1459,1104.99,15.2448
10,-396.55340576171875,10,50000,1003.97,157.6354,958.97,15.2834
11,-461.6080017089844,11,55000,1015.98,157.8496,1214.3,15.3762
12,-495.8587341308594,12,60000,1114.87,157.7064,1512.66,15.7669
13,-532.3992919921875,13,65000,1168.86,157.724,1547.74,15.8252
14,-567.9102783203125,14,70000,1189.84,157.6611,1598.99,16.0111
15,-629.2661743164062,15,75000,1276.36,157.8178,1686.98,16.3045
16,-657.6012573242188,16,80000,1327.46,157.8674,1719.06,16.2959
17,-703.6124877929688,17,85000,1317.84,157.9012,1714.75,16.2199
18,-739.1831665039062,18,90000,1378.28,157.9255,1794.43,16.2911
19,-771.3076782226562,19,95000,1393.21,158.0062,1785.77,16.1955
20,-821.624267578125,20,100000,1428.2,157.9545,1788.8,16.259
21,-877.2335205078125,21,105000,1454.08,157.9108,1759.27,16.3822
22,-902.782470703125,22,110000,1483.9,157.8359,1843.97,16.4868
23,-936.1912841796875,23,115000,1521.17,157.7084,1906.89,16.4956
24,-982.5465698242188,24,120000,1528.14,157.7731,1896.75,16.3753
25,-1011.4507446289062,25,125000,1541.21,157.7287,1898.14,16.2342
26,-1072.701416015625,26,130000,1563.33,157.455,1979.75,16.4948
27,-1097.2640380859375,27,135000,1572.91,157.702,1866.76,16.1835
28,-1151.2547607421875,28,140000,1599.99,157.873,1928.09,16.6241
29,-1174.6943359375,29,145000,1572.11,157.4348,1880.13,15.8493
30,-1203.0172119140625,30,150000,1573.56,157.6071,1841.72,16.1546
31,-1251.6611328125,31,155000,1620.66,157.4499,1989.52,16.1773
32,-1307.242919921875,32,160000,1626.69,157.5815,1983.98,16.8327
33,-1319.2841796875,33,165000,1632.06,157.4322,2008.49,16.5749
34,-1370.01708984375,34,170000,1661.55,157.2689,2024.64,16.1545
35,-1404.205078125,35,175000,1614.73,157.5364,1899.04,16.0346
36,-1449.76953125,36,180000,1657.77,157.5817,1961.78,16.397
37,-1493.3211669921875,37,185000,1690.41,157.2651,1993.26,16.2139
38,-1529.4691162109375,38,190000,1656.99,157.4604,1963.67,16.1374
39,-1555.29833984375,39,195000,1635.5,157.3167,1902.49,15.7814
40,-1612.8480224609375,40,200000,1677.45,157.2284,2092.99,16.358
41,-1625.33837890625,41,205000,1687.44,157.4526,2036.25,15.9872
42,-1673.8685302734375,42,210000,1706.88,157.4349,2093.54,16.8324
43,-1704.8382568359375,43,215000,1694.38,157.2343,2063.48,16.1018
44,-1742.9456787109375,44,220000,1737.07,157.1055,2060.47,16.4239
45,-1768.016357421875,45,225000,1711.56,157.1232,2059.08,16.2203
46,-1822.7882080078125,46,230000,1740.06,157.3228,2121.46,16.1741
47,-1841.3177490234375,47,235000,1715.35,156.8944,2053.93,15.9481
48,-1887.1383056640625,48,240000,1694.56,157.059,2015.25,15.7945
49,-1933.7525634765625,49,245000,1715.4,156.9238,2026.55,15.9224
50,-1967.585693359375,50,250000,1767.26,157.3675,2052.9,16.3901
51,-1996.078125,51,255000,1741.51,156.9611,2092.47,16.1216
52,-2045.1455078125,52,260000,1744.04,157.265,2066.64,15.8999
53,-2070.7353515625,53,265000,1723.55,157.1797,2053.57,16.1152
54,-2118.68408203125,54,270000,1689.02,157.3381,2035.75,16.0432
55,-2152.19921875,55,275000,1721.23,157.0241,2089.15,15.7426
56,-2188.136962890625,56,280000,1749.32,156.9943,2102.07,15.9755
57,-2229.086669921875,57,285000,1748.12,157.0393,2072.86,15.9043
58,-2279.576416015625,58,290000,1745.76,157.0427,2099.49,15.942
59,-2320.948974609375,59,295000,1709.57,156.8383,2043.98,15.5397
60,-2354.91748046875,60,300000,1768.78,157.0729,2088.15,15.9444
61,-2403.371337890625,61,305000,1754.45,157.002,2049.98,15.9346
62,-2443.97265625,62,310000,1784.96,156.8841,2155.14,16.2039
63,-2462.743896484375,63,315000,1772.56,157.0591,2104.99,15.9134
64,-2527.438720703125,64,320000,1747.21,157.1088,2148.38,15.752
65,-2566.691650390625,65,325000,1806.81,156.9843,2131.47,16.1899
66,-2602.3876953125,66,330000,1779.35,156.8291,2144.22,15.8486
67,-2661.569580078125,67,335000,1784.38,156.7359,2145.9,16.0249
68,-2688.8212890625,68,340000,1801.38,156.9605,2142.73,15.8933
69,-2718.490966796875,69,345000,1761.92,156.8107,2029.87,15.8725
70,-2758.241943359375,70,350000,1778.97,156.8619,2103.36,15.5157
71,-2813.227294921875,71,355000,1774.44,156.925,2094.74,15.8167
72,-2843.480224609375,72,360000,1726.23,156.8429,2116.99,15.33
73,-2892.185546875,73,365000,1737.62,156.8478,2088.56,15.3544
74,-2948.5458984375,74,370000,1810.22,156.7989,2184.49,15.9717
75,-2952.139892578125,75,375000,1772.56,156.8305,2126.7,15.7586
76,-2988.00390625,76,380000,1774.6,156.647,2103.54,15.4648
77,-3057.984619140625,77,385000,1835.43,156.7316,2174.7,16.0258
78,-3085.962646484375,78,390000,1740.42,156.9518,2116.3,15.2533
79,-3139.03564453125,79,395000,1789.83,156.6901,2124.06,15.7017
80,-3180.37890625,80,400000,1826.19,156.752,2133.0,15.8362
81,-3222.78759765625,81,405000,1803.41,156.7373,2138.91,15.6437
82,-3265.4091796875,82,410000,1804.78,156.7528,2097.6,15.4365
83,-3312.388427734375,83,415000,1805.28,156.8741,2096.76,15.7976
84,-3353.879150390625,84,420000,1789.08,156.9618,2133.56,15.5509
85,-3380.338623046875,85,425000,1820.26,156.8389,2125.43,15.7393
86,-3478.206787109375,86,430000,1809.89,156.9762,2145.69,15.7467
87,-3509.958740234375,87,435000,1832.03,156.8197,2202.46,15.6984
