Running Env Steps,Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Itration,Reward Loss,Running Forward KL
0,623.85,27.1256,0,-71.7,0,41.326759338378906,76.1613
5000,369.21,26.5302,1,-14.4,1,30.681121826171875,74.3924
10000,483.9,27.4762,2,29.59,2,25.793764114379883,71.855
15000,619.45,28.2672,3,75.95,3,15.412500381469727,72.0924
20000,819.76,30.1054,4,86.32,4,12.364370346069336,72.4371
25000,824.89,31.286,5,129.85,5,-5.66234827041626,71.5504
30000,617.86,30.4789,6,134.87,6,-19.157947540283203,72.6225
35000,769.04,32.8532,7,159.93,7,-21.618127822875977,72.3113
40000,613.86,31.8775,8,148.23,8,-37.75032043457031,71.1363
45000,685.25,31.5966,9,135.02,9,-49.460479736328125,71.6289
50000,582.17,33.5976,10,132.97,10,-64.38085174560547,74.0749
55000,701.82,32.6946,11,156.2,11,-71.00892639160156,71.9528
60000,885.67,32.5777,12,137.66,12,-82.29265594482422,72.3378
65000,872.14,32.0734,13,228.01,13,-91.69351959228516,71.498
70000,758.8,32.3742,14,231.14,14,-104.34100341796875,72.2455
75000,564.99,31.9375,15,163.83,15,-121.64031219482422,70.8358
80000,823.91,32.0539,16,197.69,16,-132.79879760742188,71.3122
85000,778.34,31.3214,17,210.95,17,-143.51219177246094,71.9542
90000,830.13,31.6017,18,172.11,18,-154.43588256835938,72.2966
95000,838.55,31.6429,19,251.76,19,-165.19212341308594,72.3764
100000,654.99,30.742,20,203.22,20,-178.2084197998047,71.7642
105000,737.68,31.1876,21,193.14,21,-187.9564971923828,73.1224
110000,593.45,31.1551,22,190.73,22,-202.23245239257812,73.3742
115000,586.38,31.4912,23,285.58,23,-215.04888916015625,74.5375
120000,588.59,31.4895,24,156.49,24,-225.4154052734375,72.4349
125000,557.02,32.0095,25,174.77,25,-240.9795379638672,73.0311
130000,605.58,31.0395,26,215.16,26,-248.89576721191406,73.9441
135000,534.96,31.5477,27,272.74,27,-272.2893371582031,73.9804
140000,531.27,31.0795,28,214.57,28,-273.5315246582031,73.0502
145000,850.43,31.0047,29,213.5,29,-290.45513916015625,71.6981
150000,678.82,30.6497,30,164.12,30,-299.4075012207031,70.279
155000,548.29,30.8329,31,215.38,31,-310.5047302246094,71.7638
160000,659.25,30.6664,32,188.46,32,-323.87762451171875,72.4606
165000,492.48,30.9106,33,212.0,33,-338.8287353515625,72.8312
170000,788.57,30.7728,34,178.1,34,-353.4583435058594,72.0134
175000,504.88,30.4744,35,219.73,35,-356.4493408203125,71.3294
180000,483.11,30.4528,36,138.46,36,-372.7266845703125,71.4524
185000,664.08,30.608,37,258.06,37,-392.4158630371094,71.4872
190000,683.12,31.9044,38,130.92,38,-404.8190002441406,72.5993
195000,654.47,29.8033,39,191.72,39,-408.10052490234375,72.2168
200000,509.87,30.7961,40,223.31,40,-434.335693359375,74.2823
205000,597.32,30.4208,41,139.69,41,-442.2078552246094,71.1212
210000,577.06,30.2445,42,188.41,42,-454.1789245605469,71.1252
215000,606.18,30.5844,43,142.12,43,-462.1396484375,72.1541
220000,626.65,31.5021,44,263.16,44,-485.5993347167969,74.1593
225000,551.22,30.1007,45,241.84,45,-498.1914367675781,72.6983
230000,820.41,30.7904,46,213.49,46,-507.4859313964844,70.9439
235000,691.39,30.5646,47,274.48,47,-529.3368530273438,72.2711
240000,707.77,29.7158,48,263.87,48,-529.0651245117188,69.9424
245000,706.27,30.3384,49,262.29,49,-554.4520263671875,72.805
250000,853.75,30.3314,50,195.74,50,-566.1126708984375,71.4688
255000,724.36,30.1358,51,285.59,51,-585.3090209960938,71.4917
260000,740.66,30.9305,52,230.98,52,-598.8244018554688,72.9884
265000,670.55,30.3579,53,160.08,53,-620.728515625,71.4341
270000,771.03,31.1934,54,200.24,54,-619.6580200195312,72.1918
275000,890.31,29.6859,55,195.15,55,-635.7965087890625,70.2457
280000,800.31,30.7477,56,201.27,56,-650.912841796875,72.4881
285000,706.54,30.7138,57,194.13,57,-672.9649047851562,72.873
290000,703.2,30.8866,58,293.32,58,-687.2547607421875,71.7283
295000,706.86,29.8403,59,302.99,59,-698.8734130859375,71.9217
300000,860.87,30.5832,60,291.38,60,-713.9656982421875,71.3272
305000,673.77,30.1023,61,248.88,61,-728.8087768554688,70.9136
310000,897.4,30.3893,62,270.61,62,-756.2682495117188,72.7169
315000,873.02,30.7474,63,270.67,63,-760.8673706054688,72.5021
320000,857.43,31.5115,64,264.69,64,-774.6321411132812,71.5851
325000,762.0,30.5599,65,267.35,65,-793.5803833007812,70.7161
330000,935.72,30.1654,66,276.24,66,-806.1443481445312,72.1154
335000,806.71,29.9236,67,228.26,67,-811.4070434570312,70.1168
340000,678.98,30.6735,68,282.24,68,-854.3474731445312,72.0424
345000,787.23,30.0484,69,262.8,69,-859.7686767578125,71.2582
350000,755.98,30.9533,70,260.44,70,-887.21337890625,72.4149
355000,852.74,30.2501,71,324.2,71,-891.0820922851562,70.4414
360000,847.39,30.1161,72,292.75,72,-908.3983764648438,71.8805
365000,710.02,30.6696,73,269.73,73,-952.8763427734375,72.3287
370000,941.31,30.4462,74,323.17,74,-964.6499633789062,71.8027
375000,899.07,30.7745,75,283.05,75,-986.88818359375,72.4617
380000,831.19,30.45,76,245.52,76,-990.8540649414062,71.0402
385000,826.85,30.3162,77,283.59,77,-1012.9395751953125,71.0656
390000,738.49,30.4022,78,257.19,78,-1033.599853515625,71.9683
395000,888.63,29.923,79,282.79,79,-1057.141357421875,71.5999
400000,657.84,30.2929,80,209.15,80,-1062.081298828125,72.1786
405000,842.05,29.7825,81,252.05,81,-1094.114990234375,70.8901
410000,675.23,30.3221,82,261.7,82,-1117.0137939453125,71.9502
415000,829.05,30.338,83,251.15,83,-1144.01025390625,71.3543
420000,768.2,30.3984,84,322.16,84,-1155.0289306640625,72.4859
425000,891.37,29.9721,85,298.96,85,-1181.57861328125,71.4276
430000,755.45,29.9521,86,260.75,86,-1190.658203125,70.3105
