Itration,Real Sto Return,Running Reverse KL,Running Env Steps,Reward Loss,Running Update Time,Running Forward KL,Real Det Return
0,-97.14,26.9402,0,15.499979019165039,0,75.4813,197.26
1,-80.78,26.7583,5000,-8.382625579833984,1,74.5031,424.73
2,-17.57,25.7273,10000,-14.179505348205566,2,71.2167,411.83
3,-22.83,27.2832,15000,-37.004940032958984,3,74.4346,281.54
4,-5.66,28.0602,20000,-49.20968246459961,4,73.6936,616.69
5,48.7,27.8418,25000,-62.14705276489258,5,71.4697,806.89
6,35.37,28.5976,30000,-85.5983657836914,6,74.0113,761.63
7,76.16,29.1318,35000,-95.97774505615234,7,70.9792,739.09
8,153.74,29.3928,40000,-109.89452362060547,8,70.9687,850.33
9,166.23,29.1603,45000,-120.14111328125,9,71.3605,895.82
10,168.75,29.0294,50000,-135.178955078125,10,70.4673,791.44
11,174.07,29.383,55000,-140.67343139648438,11,70.8028,859.75
12,233.62,30.8248,60000,-156.5874786376953,12,70.8287,1002.25
13,286.49,29.3254,65000,-170.0725555419922,13,68.5136,768.9
14,284.32,30.5294,70000,-171.45643615722656,14,68.6171,840.81
15,195.03,29.1514,75000,-195.15830993652344,15,68.6222,727.54
16,217.0,29.7485,80000,-199.01454162597656,16,67.3049,985.87
17,251.66,29.4443,85000,-224.4969940185547,17,69.1771,931.25
18,250.29,29.4915,90000,-229.13705444335938,18,70.3481,969.29
19,221.9,29.3278,95000,-240.49961853027344,19,68.0248,754.35
20,226.34,29.7811,100000,-245.7357940673828,20,69.5027,1013.38
21,331.48,29.3938,105000,-266.125244140625,21,68.4182,1058.5
22,310.69,28.3937,110000,-270.0294189453125,22,65.453,1129.27
23,484.93,27.7586,115000,-272.3399353027344,23,64.1159,1267.75
24,325.88,28.7942,120000,-305.55999755859375,24,66.6358,1217.2
25,402.05,27.3691,125000,-305.39349365234375,25,63.8532,1116.42
26,319.99,29.6642,130000,-328.43536376953125,26,69.7171,935.54
27,400.89,27.8915,135000,-322.75640869140625,27,62.9497,1013.33
28,367.83,25.8876,140000,-337.6212158203125,28,62.4544,984.13
29,349.1,27.0021,145000,-351.0932922363281,29,63.4392,1322.57
30,490.02,27.6848,150000,-373.7212829589844,30,64.0532,1095.73
31,718.72,25.7038,155000,-344.0360107421875,31,59.1062,1411.92
32,258.42,26.6433,160000,-388.5037536621094,32,63.3069,983.94
33,620.92,27.8469,165000,-418.35296630859375,33,66.0706,1101.59
34,580.99,27.2921,170000,-381.8857727050781,34,60.209,1171.92
35,432.3,26.9386,175000,-436.69903564453125,35,64.2879,1086.97
36,590.0,26.3084,180000,-415.3250732421875,36,61.081,1170.24
37,774.71,26.7699,185000,-448.23773193359375,37,62.8884,1258.13
38,868.22,25.8378,190000,-444.712646484375,38,60.7434,1237.59
39,1114.17,26.8153,195000,-452.0765686035156,39,61.1572,1560.38
40,495.72,26.8685,200000,-483.7276306152344,40,64.0468,801.14
41,764.55,24.8715,205000,-466.6995849609375,41,59.9112,1466.02
42,882.75,24.5483,210000,-478.0816955566406,42,59.6296,1476.61
43,1246.9,24.4758,215000,-475.9980163574219,43,58.4941,2169.61
44,884.95,24.7274,220000,-490.97613525390625,44,59.6243,2279.83
45,965.2,25.3623,225000,-530.627685546875,45,61.081,2020.23
46,1354.29,25.7354,230000,-502.0255432128906,46,59.4671,2043.29
47,749.72,25.2376,235000,-542.6073608398438,47,61.7807,1940.1
48,1324.62,27.9,240000,-542.4962158203125,48,63.2028,2546.33
49,1668.86,26.0246,245000,-507.4051513671875,49,58.0658,2741.66
50,1122.08,26.9172,250000,-530.4946899414062,50,60.8463,2223.29
51,974.74,27.1438,255000,-611.6580200195312,51,63.4985,1524.87
52,1840.31,31.3539,260000,-573.7506713867188,52,63.3071,3012.8
53,1317.88,28.3378,265000,-592.4688720703125,53,62.4413,2346.14
54,1275.74,28.7545,270000,-599.9098510742188,54,62.6073,1994.98
55,1673.56,32.3679,275000,-570.7726440429688,55,62.0174,2756.28
56,1074.36,29.0759,280000,-603.5475463867188,56,63.03,1570.14
57,1668.93,31.5573,285000,-625.7257690429688,57,64.4003,3550.83
58,2308.62,34.789,290000,-609.5205688476562,58,62.6387,3613.86
59,1719.05,40.9718,295000,-618.5446166992188,59,67.1441,2513.62
60,1419.95,27.8643,300000,-716.4520874023438,60,64.8707,2371.21
61,1637.74,31.1714,305000,-700.7472534179688,61,66.4164,2659.09
62,2431.88,38.2159,310000,-680.1229858398438,62,65.7475,3148.71
63,2354.31,39.0842,315000,-651.8491821289062,63,66.5163,3926.45
64,2113.43,30.5626,320000,-728.9601440429688,64,64.5221,3255.24
65,980.32,29.5161,325000,-705.442138671875,65,63.8217,1703.21
66,1823.53,44.4174,330000,-666.6227416992188,66,68.7081,3568.43
67,378.18,26.7661,335000,-814.005126953125,67,66.7108,917.26
68,3108.73,47.367,340000,-708.5167236328125,68,70.0618,3355.67
69,2014.9,30.8722,345000,-777.1072387695312,69,65.6339,3085.4
70,2771.07,46.8789,350000,-713.872314453125,70,70.0128,3966.83
71,2203.51,31.9673,355000,-820.2861328125,71,66.4764,3170.93
72,2295.05,39.6896,360000,-763.508056640625,72,66.1209,3323.89
73,2442.51,53.7871,365000,-717.1799926757812,73,72.0965,3964.88
74,2778.24,51.7016,370000,-744.8510131835938,74,71.2281,4041.91
75,2031.33,33.1709,375000,-863.8779907226562,75,67.6128,3259.65
76,2469.51,43.2697,380000,-841.16064453125,76,69.1795,3900.27
77,2513.07,43.5506,385000,-802.2037963867188,77,69.9758,3564.38
78,3511.4,47.4716,390000,-827.6507568359375,78,69.928,4063.67
79,3256.27,54.4702,395000,-757.5364379882812,79,72.8394,3701.36
80,1431.03,50.5185,400000,-794.41015625,80,71.159,2150.74
81,3740.02,66.8603,405000,-796.4071044921875,81,80.7935,4197.32
