Real Sto Return,Running Reverse KL,Running Env Steps,Reward Loss,Running Forward KL,Running Update Time,Real Det Return,Itration
208.36,21.8325,0,278.1004333496094,33.1803,0,210.93,0
274.34,24.6842,5000,219.26412963867188,30.0101,1,273.4,1
326.19,16.905,10000,183.79702758789062,28.9545,2,328.36,2
389.34,15.3402,15000,144.721435546875,27.907,3,414.2,3
402.21,18.2243,20000,44.147422790527344,28.5409,4,443.34,4
602.96,19.2146,25000,25.023109436035156,27.155,5,645.26,5
788.21,16.69,30000,18.154525756835938,25.1661,6,919.14,6
720.57,24.5626,35000,-105.9875717163086,26.1148,7,681.41,7
1163.74,16.3241,40000,-120.2276611328125,24.6957,8,1113.49,8
1567.99,14.3667,45000,-81.38854217529297,24.0425,9,2280.84,9
1379.52,15.312,50000,-91.23733520507812,24.689,10,2792.83,10
729.54,13.7997,55000,-16.460847854614258,25.6924,11,743.32,11
958.65,15.138,60000,-117.8661880493164,25.5258,12,1501.21,12
2044.24,14.4484,65000,-190.86573791503906,24.1437,13,2894.16,13
922.27,18.6266,70000,-306.76300048828125,24.5063,14,1122.18,14
921.87,14.1795,75000,-198.2758026123047,24.1507,15,1156.65,15
1193.16,16.265,80000,-313.7731628417969,24.1572,16,2724.76,16
2110.2,14.4049,85000,-304.6300048828125,23.3744,17,3066.93,17
1753.34,16.9428,90000,-327.1787414550781,23.6349,18,3057.36,18
2735.25,15.7961,95000,-250.44874572753906,23.4186,19,3051.84,19
2876.77,14.256,100000,-173.35723876953125,22.5413,20,3077.51,20
2876.98,13.458,105000,-239.1872100830078,22.4691,21,3023.95,21
2869.32,13.3727,110000,-149.17340087890625,21.9648,22,3069.04,22
2773.13,13.9816,115000,-225.27870178222656,21.976,23,3159.0,23
2409.67,15.827,120000,-325.3328857421875,23.569,24,2981.67,24
2906.39,13.8596,125000,-245.98912048339844,22.6989,25,3085.56,25
2387.48,15.3131,130000,-329.90081787109375,23.1371,26,2957.81,26
2125.15,14.8244,135000,-440.2906494140625,22.9065,27,2794.83,27
2789.93,13.5344,140000,-262.189208984375,22.3273,28,3106.18,28
2836.98,12.9589,145000,-273.297119140625,22.0261,29,3095.64,29
2119.32,13.8335,150000,-284.4001770019531,23.4635,30,3080.94,30
2910.93,14.6561,155000,-304.0393981933594,22.7659,31,3125.4,31
2653.25,13.6607,160000,-370.1441650390625,21.8836,32,3101.84,32
3038.27,13.612,165000,-308.32745361328125,21.8537,33,3177.64,33
2601.02,13.3539,170000,-266.3424987792969,21.7636,34,3147.98,34
3046.25,14.6068,175000,-391.11541748046875,22.3979,35,3160.78,35
2792.58,13.8278,180000,-355.7171936035156,21.9362,36,3146.33,36
3121.24,14.3182,185000,-284.4255065917969,22.0949,37,3145.64,37
3175.0,14.2534,190000,-230.3821563720703,21.5283,38,3219.07,38
3170.7,14.2783,195000,-286.2436218261719,22.1118,39,3205.58,39
3114.92,13.7046,200000,-269.9231872558594,21.013,40,3256.23,40
