Running Reverse KL,Itration,Running Forward KL,Real Sto Return,Reward Loss,Running Env Steps,Real Det Return,Running Update Time
18.7225,0,39.0148,201.56,172.15496826171875,0,201.3,0
17.7276,1,37.1548,277.62,159.8824005126953,5000,260.84,1
19.5289,2,36.6951,274.89,149.79669189453125,10000,264.91,2
18.6836,3,35.9844,315.03,125.97107696533203,15000,327.96,3
16.041,4,34.7513,335.65,139.18795776367188,20000,327.16,4
20.0217,5,37.5415,704.58,114.90653228759766,25000,967.1,5
16.9131,6,37.2636,688.82,117.86768341064453,30000,753.44,6
24.2043,7,42.789,1048.33,54.808067321777344,35000,1043.32,7
31.4001,8,37.8427,321.48,109.95459747314453,40000,326.57,8
137.8527,9,44.6068,5.08,86.16658782958984,45000,5.05,9
22.7022,10,42.5381,1030.92,37.44581985473633,50000,1031.68,10
35.5175,11,42.4012,1009.99,46.299129486083984,55000,1011.79,11
40.0312,12,42.637,1019.58,26.405929565429688,60000,1018.36,12
23.535,13,39.9363,268.08,74.23655700683594,65000,276.55,13
22.0259,14,37.6727,307.74,45.59619140625,70000,309.38,14
29.9506,15,37.5298,787.36,24.759775161743164,75000,731.81,15
33.5567,16,43.0583,1018.86,-18.387290954589844,80000,1019.5,16
32.347,17,41.1145,1064.11,-46.593345642089844,85000,1062.25,17
29.7213,18,37.4176,283.55,42.07160568237305,90000,289.97,18
37.8942,19,40.3876,1028.66,-67.73863983154297,95000,1028.82,19
48.7798,20,42.3216,1037.67,-29.36530876159668,100000,1038.51,20
29.5107,21,40.0233,533.69,-43.80543518066406,105000,657.28,21
45.7768,22,44.3659,1002.01,-70.79183959960938,110000,1003.36,22
64.5319,23,39.3284,842.82,-78.9495849609375,115000,178.66,23
37.1588,24,42.7912,1024.77,-67.93203735351562,120000,1024.31,24
32.4888,25,45.2014,1028.58,-126.4612808227539,125000,1028.23,25
28.6865,26,40.8937,978.59,-113.61491394042969,130000,1004.58,26
41.0648,27,44.9166,1007.77,-107.71119689941406,135000,1007.84,27
38.5889,28,38.1804,351.75,-115.1846923828125,140000,397.06,28
