Itration,Running Reverse KL,Real Sto Return,Reward Loss,Running Update Time,Running Env Steps,Real Det Return,Running Forward KL
77,10.1655,3333.2,-263.90045166015625,77,385000,3378.04,17.6027
78,11.1394,3344.91,-270.3349914550781,78,390000,3384.19,18.5907
79,11.1626,3340.79,-277.0182189941406,79,395000,3372.95,18.3979
80,11.5096,3372.18,-274.0980224609375,80,400000,3414.47,19.1077
81,11.2833,3308.17,-358.1678161621094,81,405000,3344.08,18.2318
82,11.1658,3371.27,-291.0113220214844,82,410000,3405.53,17.9947
83,11.2881,3397.61,-234.22125244140625,83,415000,3440.0,18.5929
84,14.4783,3195.53,-341.67279052734375,84,420000,3426.19,19.6661
85,11.2738,3368.93,-311.2510681152344,85,425000,3398.39,17.8433
86,11.4853,3203.09,-267.5118103027344,86,430000,3414.86,19.3861
87,14.5537,2832.22,-504.5512390136719,87,435000,3445.18,19.85
88,13.1697,3202.87,-318.2142333984375,88,440000,3422.43,19.3084
89,10.6527,2990.35,-300.06005859375,89,445000,3401.16,18.5685
90,11.03,3221.63,-358.512451171875,90,450000,3424.16,18.7866
91,10.8742,3325.83,-280.339111328125,91,455000,3447.15,17.9696
92,11.0686,3400.2,-324.60980224609375,92,460000,3429.94,18.2801
93,10.6087,3395.17,-325.4042663574219,93,465000,3439.97,17.6405
94,11.1508,3414.62,-260.82745361328125,94,470000,3453.88,18.3127
95,11.1813,3344.13,-397.4058837890625,95,475000,3398.99,17.7672
96,11.0473,3236.87,-286.36968994140625,96,480000,3433.8,18.7824
97,12.3687,3398.12,-377.5863952636719,97,485000,3447.24,18.5978
98,11.5448,3391.78,-339.6876525878906,98,490000,3440.4,18.492
99,13.467,2847.07,-428.5819396972656,99,495000,3448.31,19.8098
100,10.1702,3389.46,-276.0,100,500000,3469.63,17.05
101,10.267,3156.22,-470.6291198730469,101,505000,3455.98,18.6084
102,10.9501,3410.92,-303.085205078125,102,510000,3473.27,18.1221
103,12.1109,3010.75,-308.10211181640625,103,515000,3489.47,18.7522
104,10.9599,2910.97,-400.15789794921875,104,520000,3459.96,18.4371
105,11.2786,3045.58,-319.0373229980469,105,525000,3447.68,17.9608
106,10.8636,3233.0,-344.4916687011719,106,530000,3459.63,18.0871
107,10.7326,3428.88,-354.15118408203125,107,535000,3462.84,17.5429
108,11.1508,3097.54,-319.0873107910156,108,540000,3477.26,18.4197
109,11.1225,3430.97,-335.8221435546875,109,545000,3504.72,18.5402
110,15.1839,2894.77,-419.97174072265625,110,550000,3466.61,18.2886
111,11.9896,3449.86,-312.08612060546875,111,555000,3492.86,18.0635
112,11.6315,3253.96,-404.0957946777344,112,560000,3475.95,18.5467
113,14.5838,2415.74,-509.5289306640625,113,565000,3474.67,19.0941
114,11.7895,3434.29,-390.5395202636719,114,570000,3467.47,18.2018
115,12.5545,3408.4,-296.3836975097656,115,575000,3477.96,17.284
116,11.0849,3126.5,-367.9739990234375,116,580000,3471.96,18.7977
117,12.408,2120.37,-624.4658203125,117,585000,3308.51,18.7595
118,10.2984,3342.28,-393.390625,118,590000,3426.89,17.2661
119,10.4484,3428.16,-444.4209289550781,119,595000,3463.36,17.2519
120,11.2144,2463.46,-511.3792724609375,120,600000,3136.92,19.0077
121,10.0253,2984.15,-389.00335693359375,121,605000,3469.9,17.9042
122,10.944,3114.47,-451.2186279296875,122,610000,3473.1,17.9912
123,11.2453,3112.03,-442.68817138671875,123,615000,3465.16,17.7451
124,10.9943,3457.0,-398.0658874511719,124,620000,3469.86,18.1643
125,10.7903,2956.79,-399.24285888671875,125,625000,3400.72,17.8847
126,10.7457,3390.64,-425.44281005859375,126,630000,3441.95,18.3548
127,11.3081,3198.85,-395.1151123046875,127,635000,3449.09,18.4052
128,14.1778,2305.99,-539.59912109375,128,640000,3476.3,18.4188
129,10.9008,3413.69,-393.8791809082031,129,645000,3426.41,18.025
130,10.6584,3392.59,-424.4221496582031,130,650000,3449.17,17.9679
131,10.6818,3392.75,-482.0426025390625,131,655000,3394.98,17.8524
132,10.5706,3387.68,-480.7301025390625,132,660000,3446.37,17.8821
133,11.103,3240.0,-508.57855224609375,133,665000,3435.34,18.5045
134,11.1327,2892.01,-669.8833618164062,134,670000,3445.77,18.6711
135,11.2842,3346.69,-425.26239013671875,135,675000,3413.41,17.8977
136,10.7152,3410.65,-413.1832580566406,136,680000,3431.25,17.4252
137,10.3015,3317.17,-461.4164733886719,137,685000,3456.77,17.7649
138,11.1983,3392.61,-438.0763244628906,138,690000,3419.59,18.3456
139,10.8231,3354.42,-492.775634765625,139,695000,3433.2,18.0815
140,10.7137,3194.8,-485.9028015136719,140,700000,3409.05,17.9412
