Real Det Return,Running Forward KL,Running Env Steps,Real Sto Return,Reward Loss,Itration,Running Reverse KL,Running Update Time
527.77,48.8601,0,458.29,89.5124740600586,0,12.9313,0
379.3,49.1459,5000,369.95,73.78326416015625,1,13.8353,1
432.29,49.5153,10000,362.43,62.50358963012695,2,13.6146,2
395.33,48.8541,15000,387.31,93.74240112304688,3,13.6131,3
439.19,49.4441,20000,357.15,22.55044937133789,4,15.7781,4
738.72,48.5565,25000,515.1,51.728336334228516,5,13.9886,5
726.4,48.3562,30000,700.23,25.338590621948242,6,12.2123,6
516.1,48.1484,35000,480.17,42.4304313659668,7,12.8784,7
728.54,47.9084,40000,450.72,40.23322296142578,8,13.1573,8
1046.74,47.617,45000,631.52,1.1142045259475708,9,13.0154,9
619.4,47.2259,50000,620.88,-98.4827880859375,10,35.4211,10
583.93,47.8025,55000,635.6,-63.37361145019531,11,19.1698,11
573.37,47.2476,60000,630.62,-54.41693878173828,12,17.0856,12
904.81,47.2454,65000,940.08,-56.99930953979492,13,14.4008,13
650.91,46.882,70000,772.57,-131.74806213378906,14,23.2486,14
792.14,47.5011,75000,775.22,-100.04109191894531,15,17.4232,15
878.85,47.1676,80000,884.59,-155.2649688720703,16,24.4366,16
1367.41,47.279,85000,1153.0,-172.67718505859375,17,29.7589,17
888.58,46.8575,90000,948.06,-198.98573303222656,18,32.4856,18
1015.74,46.9241,95000,1011.84,-209.45547485351562,19,38.0993,19
879.62,47.3367,100000,993.86,-219.2547607421875,20,46.0763,20
981.07,47.2412,105000,973.57,-242.21234130859375,21,46.4101,21
1342.98,46.7646,110000,1181.41,-223.5111541748047,22,33.3982,22
1203.78,46.6452,115000,1035.96,-231.9355010986328,23,34.1387,23
1229.07,46.4256,120000,1159.48,-260.53204345703125,24,41.2391,24
1426.59,46.472,125000,1062.49,-271.29302978515625,25,39.0899,25
1428.71,45.9394,130000,1084.82,-277.65185546875,26,35.9552,26
1595.73,44.8677,135000,1275.6,-226.0447235107422,27,21.5893,27
1215.71,45.7342,140000,1028.28,-293.6058654785156,28,28.8296,28
1558.19,46.3156,145000,1251.28,-297.91241455078125,29,33.8264,29
2061.85,45.3448,150000,2183.69,-216.15594482421875,30,20.5928,30
2455.7,45.153,155000,2025.51,-262.2897033691406,31,30.5664,31
1629.77,45.2294,160000,2428.93,-279.6935729980469,32,26.1301,32
2215.69,45.3325,165000,1876.56,-249.05043029785156,33,22.7588,33
1994.42,45.3521,170000,1824.46,-306.2608337402344,34,34.0091,34
2407.74,45.0666,175000,2282.47,-240.30520629882812,35,19.7976,35
3198.72,44.789,180000,2611.88,-226.33230590820312,36,19.2393,36
3199.09,44.7263,185000,2727.51,-209.6179656982422,37,18.0695,37
2719.84,44.4371,190000,2784.34,-262.94683837890625,38,19.2433,38
2603.5,44.8349,195000,2671.02,-267.0749816894531,39,22.0808,39
5.13,46.4853,200000,11.86,-328.044921875,40,35.7445,40
3361.35,44.9829,205000,3335.53,-251.19349670410156,41,20.3354,41
3007.8,44.4038,210000,3276.45,-270.6025085449219,42,19.1539,42
2964.14,44.1849,215000,2844.95,-283.6978454589844,43,21.7317,43
3679.55,44.2242,220000,3702.87,-216.4718475341797,44,18.5447,44
3768.62,44.446,225000,3650.39,-237.6405029296875,45,19.0594,45
3580.41,44.0685,230000,3847.73,-243.5332794189453,46,18.7411,46
3929.98,44.4707,235000,3700.8,-237.79562377929688,47,20.4297,47
3923.36,44.4875,240000,3878.1,-244.5203399658203,48,20.5537,48
3861.89,43.9348,245000,3823.27,-242.74826049804688,49,18.6103,49
3844.06,43.5687,250000,3831.11,-243.1065673828125,50,17.3037,50
3430.78,43.6943,255000,3873.01,-253.16148376464844,51,19.0391,51
4022.16,43.8293,260000,3984.98,-273.74273681640625,52,18.9593,52
3904.39,43.58,265000,3895.12,-259.5230407714844,53,19.2281,53
3954.41,43.7554,270000,3951.17,-263.4196472167969,54,18.9153,54
