Running Reverse KL,Itration,Running Env Steps,Real Det Return,Reward Loss,Running Update Time,Real Sto Return,Running Forward KL
29.1656,0,0,196.69,-26.444564819335938,0,194.92,32.8939
27.4031,1,5000,389.31,-5.3412556648254395,1,382.76,29.7934
46.4502,2,10000,342.92,-89.20854949951172,2,334.4,31.1863
43.3398,3,15000,309.26,-169.9900665283203,3,307.76,30.8563
30.3386,4,20000,422.32,-143.60450744628906,4,421.68,30.5537
26.2688,5,25000,421.68,-191.2733612060547,5,422.67,29.9047
26.3993,6,30000,398.21,-215.789306640625,6,374.29,30.8414
33.8396,7,35000,423.0,-305.1623229980469,7,447.37,28.9005
24.046,8,40000,416.85,-363.9970397949219,8,344.31,26.9315
15.5867,9,45000,406.22,-255.67784118652344,9,547.92,22.8825
11.3738,10,50000,2382.05,-208.61688232421875,10,1199.69,21.9882
14.8587,11,55000,1263.15,-223.61871337890625,11,1072.69,22.7496
18.082,12,60000,835.44,-322.4753112792969,12,986.17,22.0918
13.3305,13,65000,2363.18,-378.03204345703125,13,1135.75,20.7465
12.9167,14,70000,1178.67,-414.4117736816406,14,1241.46,21.8143
11.3726,15,75000,1498.73,-232.76856994628906,15,1867.28,20.0789
13.1053,16,80000,1305.54,-460.2644348144531,16,1234.14,23.0885
11.9786,17,85000,3045.34,-354.64892578125,17,2038.7,22.9291
10.0537,18,90000,3130.17,-241.69000244140625,18,2401.58,19.5433
10.6305,19,95000,2087.43,-291.0596618652344,19,2719.68,20.0288
12.679,20,100000,1198.04,-429.3347473144531,20,1359.65,22.8661
13.3847,21,105000,3324.15,-342.9089050292969,21,1896.65,20.8614
13.2348,22,110000,3304.81,-226.13409423828125,22,2347.7,21.1164
12.6935,23,115000,3267.86,-274.2099304199219,23,3126.71,20.5308
16.0102,24,120000,636.89,56.594303131103516,24,619.64,24.9213
46.9533,25,125000,767.16,-1283.43505859375,25,675.57,27.7205
24.2766,26,130000,1023.91,-1244.8319091796875,26,1022.28,38.1928
