Real Det Return,Running Reverse KL,Reward Loss,Real Sto Return,Itration,Running Env Steps,Running Update Time,Running Forward KL
283.02,26.075,-24.507902145385742,-70.2,0,0,0,74.3737
494.92,26.518,-38.643592834472656,-30.29,1,5000,1,74.962
560.28,27.4626,-53.69227981567383,-10.32,2,10000,2,73.6034
589.97,29.5049,-77.301025390625,6.57,3,15000,3,73.4314
675.68,30.0074,-85.02574920654297,44.83,4,20000,4,72.2775
684.92,30.2715,-102.21318054199219,51.29,5,25000,5,71.5877
733.48,31.0916,-106.69556427001953,111.4,6,30000,6,71.0147
845.25,32.8264,-125.95693969726562,189.37,7,35000,7,72.1759
662.61,32.533,-138.36978149414062,150.53,8,40000,8,69.9335
685.71,32.6586,-149.35867309570312,162.02,9,45000,9,68.6151
858.66,29.9173,-147.90884399414062,146.62,10,50000,10,65.8298
957.03,31.4201,-167.6483154296875,276.35,11,55000,11,65.9663
731.38,31.8572,-188.80465698242188,183.63,12,60000,12,69.6154
721.17,31.1212,-194.6682891845703,211.76,13,65000,13,66.5021
901.83,32.0164,-211.53408813476562,188.3,14,70000,14,70.7043
875.72,29.6414,-210.9417266845703,243.57,15,75000,15,63.6871
564.94,30.5051,-224.18856811523438,291.39,16,80000,16,66.6978
938.03,27.6013,-218.2377166748047,323.3,17,85000,17,61.6047
1080.73,29.177,-245.00840759277344,322.83,18,90000,18,64.3913
674.75,29.068,-254.74655151367188,332.87,19,95000,19,63.9375
1166.19,26.6052,-241.84237670898438,329.83,20,100000,20,60.7413
1021.67,26.6151,-258.9435729980469,435.21,21,105000,21,60.6701
911.2,27.6945,-273.72247314453125,372.74,22,110000,22,61.089
1314.79,27.6722,-290.40118408203125,422.89,23,115000,23,62.8288
995.15,29.4563,-318.1102600097656,298.28,24,120000,24,66.1267
1801.52,27.7923,-264.74566650390625,889.86,25,125000,25,59.5204
1049.17,26.0906,-283.2140808105469,507.56,26,130000,26,59.7959
1022.97,27.0513,-263.423095703125,892.54,27,135000,27,57.3565
2232.75,35.8541,-212.44546508789062,1642.39,28,140000,28,59.5211
1961.46,26.7777,-282.6452331542969,1321.62,29,145000,29,58.4213
1758.22,27.6137,-278.36834716796875,1477.78,30,150000,30,59.3718
1569.18,28.9302,-263.4617919921875,1176.58,31,155000,31,58.5692
2585.58,34.2892,-252.60806274414062,1564.44,32,160000,32,60.3744
2742.56,36.4529,-234.45001220703125,1998.62,33,165000,33,60.5725
1708.57,30.5688,-280.857177734375,1302.94,34,170000,34,60.7771
2657.52,33.1994,-257.2913818359375,2144.88,35,175000,35,59.9859
2774.95,30.3898,-318.5464172363281,1974.32,36,180000,36,61.2528
2686.02,35.8529,-257.57672119140625,1993.28,37,185000,37,62.4325
3190.18,29.3378,-304.3888854980469,1922.17,38,190000,38,60.0785
2555.69,30.8374,-297.6983642578125,2365.26,39,195000,39,61.0794
2643.37,29.8584,-295.9182434082031,2010.47,40,200000,40,60.8723
3377.51,31.1862,-289.9681396484375,2359.22,41,205000,41,61.0757
3245.17,33.3222,-343.2651062011719,2816.9,42,210000,42,62.3096
3598.0,43.0114,-289.1131591796875,3234.94,43,215000,43,65.2482
1785.57,31.2495,-329.9676818847656,1346.59,44,220000,44,61.8351
2350.42,30.7236,-402.24237060546875,1325.19,45,225000,45,62.5002
2350.4,32.799,-370.73516845703125,1642.58,46,230000,46,61.6627
2576.33,35.7195,-350.48748779296875,1355.06,47,235000,47,62.9922
4132.19,49.6581,-306.71246337890625,2804.18,48,240000,48,66.3267
2892.46,36.7896,-396.94171142578125,2270.95,49,245000,49,63.1053
3225.75,53.7461,-272.1455993652344,1714.72,50,250000,50,67.4025
3910.53,43.9749,-313.97509765625,3372.58,51,255000,51,64.9163
3701.89,66.9387,-271.03399658203125,2674.58,52,260000,52,72.053
3826.0,58.1274,-254.9078826904297,2736.4,53,265000,53,69.8563
3595.55,48.751,-350.30181884765625,3079.47,54,270000,54,65.8686
3238.41,58.2549,-302.1708068847656,2498.46,55,275000,55,66.9635
3911.52,56.8503,-278.8798522949219,3603.24,56,280000,56,68.5777
4580.43,48.6369,-345.9864501953125,3963.67,57,285000,57,65.337
3108.17,53.6263,-308.3626708984375,3053.65,58,290000,58,68.5186
4321.88,63.5372,-291.3923645019531,3396.8,59,295000,59,73.8583
4548.45,51.2962,-349.04083251953125,3487.86,60,300000,60,65.7465
3552.78,46.6085,-411.56341552734375,2164.28,61,305000,61,65.8171
4430.23,57.8933,-323.99560546875,3946.39,62,310000,62,70.3439
4003.07,45.3008,-428.3226318359375,2840.69,63,315000,63,64.8923
4536.6,58.4264,-356.32574462890625,3945.55,64,320000,64,70.0508
4566.62,47.8983,-402.9650573730469,3323.61,65,325000,65,67.1055
4422.75,70.6816,-336.60992431640625,3666.52,66,330000,66,75.5596
4591.77,62.6086,-363.4568176269531,3689.19,67,335000,67,71.6043
4746.22,66.2829,-355.9979553222656,4466.96,68,340000,68,75.0087
3723.21,56.4091,-387.6048583984375,3506.69,69,345000,69,69.0841
4573.41,56.1856,-444.9503173828125,2463.78,70,350000,70,69.6877
4574.39,58.9201,-398.3442687988281,3361.93,71,355000,71,69.4825
4641.02,63.3021,-409.45440673828125,4420.11,72,360000,72,70.3292
3527.37,63.6837,-440.57427978515625,2901.99,73,365000,73,70.3784
4670.0,67.4567,-426.2005920410156,3911.95,74,370000,74,71.0586
4757.36,72.2038,-453.2850341796875,3800.71,75,375000,75,77.5518
4685.14,68.1019,-424.24609375,4318.85,76,380000,76,76.119
4878.02,60.1164,-484.4983825683594,4079.01,77,385000,77,69.7712
5315.54,73.2402,-462.2388610839844,4359.86,78,390000,78,76.939
4691.52,65.2621,-505.8705139160156,4363.03,79,395000,79,71.1517
3823.54,75.1307,-486.6326599121094,4073.57,80,400000,80,77.688
4778.07,77.3352,-508.75067138671875,3450.49,81,405000,81,78.7017
4716.21,68.6436,-535.7653198242188,3798.04,82,410000,82,71.5113
5180.34,75.1175,-538.639404296875,3675.37,83,415000,83,77.6008
4620.15,74.895,-550.5703125,4439.64,84,420000,84,77.5533
4463.88,78.94,-551.9187622070312,4636.57,85,425000,85,77.65
4389.75,64.5348,-577.6968994140625,3910.91,86,430000,86,70.3297
3512.29,63.1192,-612.1429443359375,3024.4,87,435000,87,68.8677
4567.04,77.37,-590.6723022460938,3216.53,88,440000,88,77.2331
4931.17,79.8065,-607.7903442382812,4760.68,89,445000,89,78.6399
4522.63,76.1471,-619.2205200195312,4208.95,90,450000,90,75.8964
5020.62,77.0345,-630.3966064453125,4514.63,91,455000,91,78.2399
4576.18,79.0944,-655.423095703125,4392.75,92,460000,92,77.0747
4263.59,84.4373,-689.23779296875,2970.51,93,465000,93,78.7105
4948.69,78.9089,-701.0774536132812,4620.38,94,470000,94,76.2819
4948.57,73.3115,-709.460693359375,4093.78,95,475000,95,75.3772
5203.06,85.6581,-720.3214111328125,4471.67,96,480000,96,79.6055
4912.17,70.6156,-760.9349975585938,4304.3,97,485000,97,72.4179
4874.22,89.121,-753.7435302734375,4614.02,98,490000,98,79.919
4112.01,96.3241,-792.6316528320312,4035.34,99,495000,99,81.3365
4753.86,86.4691,-809.6395874023438,4461.74,100,500000,100,79.853
4427.22,85.66,-823.9241333007812,4714.95,101,505000,101,80.0755
4843.99,62.8959,-807.4205322265625,4426.86,102,510000,102,69.8538
4939.74,81.0263,-831.638427734375,4358.88,103,515000,103,79.6395
4733.21,88.1452,-862.2576904296875,4312.32,104,520000,104,78.6233
5234.85,83.0065,-874.6045532226562,4898.8,105,525000,105,78.6387
4879.81,83.0037,-889.1556396484375,3797.0,106,530000,106,79.7025
3692.09,79.1209,-882.6692504882812,3130.37,107,535000,107,75.4706
4683.8,82.2337,-927.3475341796875,4194.13,108,540000,108,79.3249
4789.89,85.1934,-949.480712890625,4707.63,109,545000,109,79.5671
5318.43,75.8171,-952.5228271484375,4074.65,110,550000,110,77.1402
5158.9,65.9882,-970.8931274414062,4267.1,111,555000,111,71.2995
4578.61,86.758,-1017.0309448242188,4457.95,112,560000,112,73.9812
5290.14,77.2188,-1011.6343383789062,4626.12,113,565000,113,76.4611
5143.3,75.4032,-1032.8236083984375,4533.19,114,570000,114,72.332
4813.1,82.3975,-1058.1397705078125,4589.1,115,575000,115,78.8963
5254.33,83.5456,-1095.782958984375,5046.04,116,580000,116,80.2717
5341.08,84.1677,-1095.8741455078125,5083.92,117,585000,117,78.4542
5327.25,77.2739,-1122.3536376953125,5080.6,118,590000,118,78.0173
4217.13,84.1816,-1139.2847900390625,4430.99,119,595000,119,78.325
5331.69,79.327,-1151.3125,4653.49,120,600000,120,76.7498
