Running Reverse KL,Running Update Time,Running Env Steps,Reward Loss,Running Forward KL,Real Sto Return,Real Det Return,Itration
15.6571,77,385000,-14821.37890625,156.7114,1787.59,2100.08,77
15.9167,78,390000,-15137.2255859375,156.9766,1785.4,2122.56,78
15.4552,79,395000,-15343.328125,156.9267,1762.06,2099.71,79
16.0296,80,400000,-15575.3759765625,156.8235,1807.81,2145.71,80
15.7174,81,405000,-15810.2314453125,157.0696,1760.39,2059.46,81
15.444,82,410000,-15906.7177734375,156.9045,1764.54,2120.92,82
15.7526,83,415000,-16308.498046875,156.8876,1795.12,2125.94,83
15.832,84,420000,-16440.31640625,156.9067,1813.07,2162.07,84
15.4688,85,425000,-16518.1953125,156.7933,1779.9,2080.24,85
15.7358,86,430000,-16672.431640625,156.8878,1796.89,2116.39,86
16.2839,87,435000,-17082.6640625,156.7587,1857.68,2192.65,87
15.8772,88,440000,-17262.484375,156.9762,1814.62,2212.13,88
15.3326,89,445000,-17372.078125,156.7606,1776.5,2132.58,89
15.8469,90,450000,-17635.939453125,156.8713,1804.43,2160.7,90
15.9053,91,455000,-17832.666015625,156.8907,1812.27,2176.08,91
15.6001,92,460000,-17858.810546875,156.8047,1807.6,2148.32,92
15.6331,93,465000,-18268.51953125,157.0111,1805.22,2174.82,93
15.5485,94,470000,-18589.412109375,156.8465,1820.71,2109.62,94
15.8729,95,475000,-18629.23828125,156.7199,1830.22,2162.95,95
15.7102,96,480000,-18802.435546875,156.8065,1819.61,2144.87,96
16.0601,97,485000,-19217.271484375,156.8638,1845.54,2203.13,97
15.3774,98,490000,-19258.830078125,156.6918,1789.78,2132.39,98
15.8334,99,495000,-19526.00390625,156.7495,1834.92,2184.79,99
15.6801,100,500000,-19767.2578125,156.8208,1838.61,2121.78,100
15.3952,101,505000,-19909.80078125,156.7637,1802.87,2132.29,101
15.5155,102,510000,-20209.92578125,156.6999,1829.83,2159.23,102
15.5257,103,515000,-20536.943359375,156.7454,1811.58,2150.13,103
15.5429,104,520000,-20608.525390625,156.7277,1849.53,2144.73,104
15.8223,105,525000,-21163.630859375,156.8063,1846.66,2213.76,105
15.4479,106,530000,-21165.896484375,156.8148,1839.54,2183.61,106
15.5873,107,535000,-21150.3515625,156.6295,1836.59,2197.69,107
15.78,108,540000,-21771.64453125,156.891,1849.8,2164.5,108
15.7818,109,545000,-21799.658203125,156.7575,1843.04,2137.21,109
15.5364,110,550000,-21784.4609375,156.6331,1863.13,2191.77,110
15.6649,111,555000,-22339.748046875,156.7891,1838.55,2155.86,111
15.5928,112,560000,-22445.26953125,156.8492,1796.34,2163.46,112
15.7066,113,565000,-22666.603515625,156.8428,1840.69,2161.95,113
15.8526,114,570000,-23061.72265625,156.7318,1890.76,2239.55,114
15.2781,115,575000,-23293.32421875,156.7332,1822.15,2139.7,115
15.7163,116,580000,-23542.595703125,156.8236,1861.6,2192.46,116
15.3893,117,585000,-23680.05859375,156.7035,1839.43,2152.55,117
15.2726,118,590000,-23990.275390625,156.8721,1829.06,2139.27,118
15.3465,119,595000,-24145.22265625,156.7281,1850.14,2157.63,119
15.7828,120,600000,-24453.51171875,156.8006,1870.0,2226.06,120
15.4842,121,605000,-24649.1015625,156.856,1855.14,2207.3,121
15.6209,122,610000,-24920.18359375,156.8572,1879.78,2224.25,122
15.3014,123,615000,-25036.078125,156.7384,1827.59,2160.64,123
15.7361,124,620000,-25462.2890625,156.7389,1846.47,2186.99,124
15.7646,125,625000,-25882.787109375,156.898,1874.51,2176.03,125
16.1467,126,630000,-26217.533203125,157.0346,1856.8,2206.66,126
15.5527,127,635000,-26232.00390625,156.8312,1849.97,2208.66,127
15.6248,128,640000,-26424.91015625,156.724,1875.04,2230.58,128
15.5021,129,645000,-26662.8203125,156.5842,1891.69,2197.17,129
15.6697,130,650000,-27100.216796875,156.7718,1887.9,2234.85,130
15.2606,131,655000,-27002.28125,156.6899,1850.3,2186.83,131
15.4766,132,660000,-27581.234375,156.7038,1874.16,2197.57,132
15.6733,133,665000,-27535.46875,156.8315,1846.01,2212.34,133
15.5475,134,670000,-28070.890625,156.81,1869.37,2173.24,134
15.4291,135,675000,-28054.638671875,156.5945,1873.71,2221.82,135
15.574,136,680000,-28616.00390625,156.7517,1877.93,2275.05,136
15.3692,137,685000,-28861.6640625,156.772,1874.95,2214.5,137
15.7487,138,690000,-28946.546875,156.9084,1867.94,2222.11,138
15.3642,139,695000,-29180.28515625,156.8934,1851.84,2187.7,139
15.4409,140,700000,-29576.533203125,156.7929,1873.29,2227.58,140
15.0781,141,705000,-29476.462890625,156.7568,1847.3,2165.61,141
15.4217,142,710000,-29893.939453125,156.6826,1854.3,2153.85,142
15.3076,143,715000,-30062.53125,156.7672,1872.19,2204.3,143
15.0988,144,720000,-30152.998046875,156.6255,1848.61,2178.21,144
15.3881,145,725000,-30411.359375,156.7865,1860.89,2174.74,145
15.3377,146,730000,-30715.64453125,156.5955,1899.99,2202.66,146
15.5983,147,735000,-30760.927734375,156.9613,1878.48,2205.44,147
15.6664,148,740000,-31308.912109375,156.8157,1876.28,2203.41,148
15.456,149,745000,-31385.09765625,156.5566,1901.54,2209.89,149
15.3532,150,750000,-31509.505859375,156.6323,1902.13,2244.25,150
15.5683,151,755000,-31925.28515625,156.7781,1851.94,2193.22,151
15.4763,152,760000,-32266.576171875,156.8269,1895.54,2247.81,152
15.4537,153,765000,-32314.251953125,156.8217,1871.97,2215.76,153
15.4639,154,770000,-32343.892578125,156.6796,1881.84,2215.4,154
15.2806,155,775000,-32739.935546875,156.6075,1877.15,2218.36,155
15.3236,156,780000,-32895.56640625,156.7751,1900.07,2218.69,156
15.6731,157,785000,-33232.36328125,156.7875,1898.86,2264.89,157
15.5381,158,790000,-33330.9375,156.7483,1880.74,2243.2,158
15.7954,159,795000,-33521.7421875,156.7984,1927.44,2261.33,159
16.0504,160,800000,-33973.36328125,156.7811,1902.46,2280.18,160
15.3815,161,805000,-33749.28515625,156.668,1901.67,2259.66,161
15.4662,162,810000,-34193.83203125,156.7795,1886.61,2163.77,162
15.6524,163,815000,-34654.9765625,156.753,1896.99,2236.95,163
15.7287,164,820000,-34491.10546875,156.4632,1895.54,2267.42,164
15.6012,165,825000,-34988.6484375,156.7185,1897.37,2246.04,165
15.4193,166,830000,-35133.31640625,156.7203,1929.76,2248.23,166
15.2366,167,835000,-35217.52734375,156.7201,1874.56,2222.28,167
15.0797,168,840000,-35402.16015625,156.6494,1877.73,2192.92,168
15.43,169,845000,-36048.9375,156.692,1913.91,2294.82,169
15.5274,170,850000,-35856.86328125,156.5541,1888.14,2240.01,170
15.4076,171,855000,-36336.13671875,156.6401,1879.67,2205.99,171
15.1863,172,860000,-36483.546875,156.6412,1879.06,2263.93,172
15.584,173,865000,-36742.87109375,156.8335,1910.78,2286.88,173
15.3798,174,870000,-36875.953125,156.7225,1900.25,2209.56,174
15.5267,175,875000,-37012.96875,156.4179,1958.88,2293.42,175
15.2622,176,880000,-37338.64453125,156.6473,1883.43,2229.65,176
15.5356,177,885000,-37725.17578125,156.5942,1931.85,2253.39,177
15.4069,178,890000,-37668.88671875,156.7471,1905.04,2278.35,178
15.5585,179,895000,-37562.96875,156.6045,1888.33,2271.17,179
15.4804,180,900000,-37660.32421875,156.4556,1915.15,2253.72,180
15.2554,181,905000,-37806.84375,156.5495,1912.58,2217.58,181
15.4457,182,910000,-38155.11328125,156.6481,1928.68,2255.37,182
15.2485,183,915000,-38300.9765625,156.6714,1901.69,2260.22,183
15.1129,184,920000,-38529.41015625,156.5955,1880.64,2197.42,184
15.6013,185,925000,-38980.07421875,156.7928,1921.57,2271.54,185
15.3111,186,930000,-38909.48828125,156.7302,1885.01,2260.26,186
15.3345,187,935000,-38867.00390625,156.5413,1914.61,2280.83,187
15.419,188,940000,-39176.7265625,156.4325,1919.26,2283.6,188
15.5264,189,945000,-39459.859375,156.7543,1915.28,2301.61,189
15.3568,190,950000,-39289.15625,156.591,1908.89,2234.16,190
15.2715,191,955000,-39675.3515625,156.6636,1913.66,2260.96,191
15.4993,192,960000,-39785.125,156.6518,1917.89,2290.95,192
15.2019,193,965000,-39797.359375,156.546,1881.61,2242.48,193
15.5659,194,970000,-39876.8671875,156.7334,1927.04,2277.33,194
15.1685,195,975000,-39841.703125,156.4025,1916.28,2224.47,195
15.0892,196,980000,-39834.95703125,156.6741,1912.88,2260.31,196
15.5646,197,985000,-40566.09765625,156.6831,1941.04,2260.24,197
15.1423,198,990000,-40337.93359375,156.6026,1938.91,2290.22,198
15.1788,199,995000,-40503.6328125,156.6135,1913.57,2262.79,199
15.6107,200,1000000,-40758.05859375,156.6214,1945.92,2289.69,200
15.6569,201,1005000,-40713.46875,156.5729,1958.88,2281.1,201
15.6005,202,1010000,-40903.33984375,156.717,1959.46,2268.75,202
15.3037,203,1015000,-41135.6015625,156.8011,1928.04,2242.55,203
15.7161,204,1020000,-41308.41015625,156.8179,1950.34,2270.51,204
15.5727,205,1025000,-41400.9296875,156.5008,1929.32,2267.86,205
15.5082,206,1030000,-41497.5703125,156.6474,1933.86,2247.55,206
15.6447,207,1035000,-41725.6015625,156.625,1961.44,2293.27,207
15.6987,208,1040000,-42066.37890625,156.7615,1933.94,2255.42,208
15.6095,209,1045000,-42087.1640625,156.8021,1930.67,2238.46,209
15.6558,210,1050000,-42159.53125,156.6203,1939.93,2245.45,210
15.6406,211,1055000,-42302.2109375,156.643,1932.4,2262.04,211
15.5899,212,1060000,-42662.0390625,156.779,1941.46,2229.59,212
15.726,213,1065000,-42638.33203125,156.6722,1926.05,2243.8,213
15.6503,214,1070000,-42801.0703125,156.6674,1942.43,2240.26,214
15.6955,215,1075000,-42681.3046875,156.8335,1931.68,2243.18,215
15.8488,216,1080000,-43017.97265625,156.7385,1947.37,2266.5,216
15.6803,217,1085000,-43271.88671875,156.6667,1934.5,2250.64,217
15.507,218,1090000,-43152.75390625,156.748,1927.85,2225.45,218
15.708,219,1095000,-43446.27734375,156.6747,1940.19,2261.62,219
15.5789,220,1100000,-43329.25390625,156.8125,1949.67,2278.89,220
15.5884,221,1105000,-43581.09765625,156.5667,1936.96,2264.98,221
15.7442,222,1110000,-43895.7109375,156.7133,1952.27,2280.48,222
15.8059,223,1115000,-43931.93359375,156.7649,1919.86,2248.46,223
15.8307,224,1120000,-44290.83203125,156.7004,1935.2,2246.58,224
15.7149,225,1125000,-44349.12109375,156.9186,1933.61,2241.37,225
15.491,226,1130000,-44273.65234375,156.8785,1904.82,2216.45,226
15.4878,227,1135000,-44664.3515625,156.6561,1920.14,2241.37,227
15.4279,228,1140000,-44495.328125,156.7042,1908.23,2241.81,228
15.741,229,1145000,-44698.82421875,156.7662,1904.1,2234.5,229
15.712,230,1150000,-44823.8984375,156.7919,1936.98,2243.61,230
15.6341,231,1155000,-45022.859375,156.8054,1918.75,2214.82,231
15.7136,232,1160000,-45215.65625,156.773,1942.59,2220.75,232
15.6039,233,1165000,-45286.390625,156.5812,1921.29,2226.59,233
15.7302,234,1170000,-45504.33984375,156.6523,1955.12,2254.31,234
15.5632,235,1175000,-45314.74609375,156.9369,1897.77,2202.92,235
15.5688,236,1180000,-45494.00390625,156.7699,1931.71,2249.73,236
15.6945,237,1185000,-45873.296875,156.8624,1936.1,2246.22,237
15.6482,238,1190000,-45809.18359375,156.6251,1939.61,2272.39,238
15.5754,239,1195000,-46162.37890625,156.6542,1950.34,2251.48,239
15.6481,240,1200000,-45967.51171875,156.6327,1950.72,2267.48,240
15.5106,241,1205000,-46196.58984375,156.5687,1938.6,2265.1,241
15.7975,242,1210000,-46409.01171875,156.8504,1949.04,2272.0,242
15.7192,243,1215000,-46528.83203125,156.6346,1951.18,2265.41,243
15.6131,244,1220000,-46464.65234375,156.8858,1917.69,2262.41,244
15.872,245,1225000,-46967.859375,156.7138,1934.46,2295.44,245
15.6944,246,1230000,-46878.6640625,156.6757,1945.86,2265.3,246
15.6435,247,1235000,-46964.49609375,156.6872,1938.33,2278.61,247
15.7343,248,1240000,-47106.5078125,156.8092,1939.3,2255.55,248
15.7081,249,1245000,-47180.859375,156.7395,1945.89,2248.28,249
15.6106,250,1250000,-47334.55859375,156.6395,1942.55,2242.51,250
15.3671,251,1255000,-47413.59375,156.8155,1934.41,2229.35,251
15.7268,252,1260000,-47640.4609375,156.4728,1951.96,2251.31,252
15.5334,253,1265000,-47565.296875,156.6179,1928.42,2254.72,253
15.5469,254,1270000,-47759.9140625,156.7713,1917.5,2218.95,254
15.5918,255,1275000,-47740.31640625,156.6721,1934.79,2234.31,255
15.4198,256,1280000,-47883.4609375,156.6883,1917.34,2247.52,256
15.553,257,1285000,-48054.28515625,156.6772,1940.88,2237.2,257
15.5534,258,1290000,-48180.984375,156.7003,1955.05,2278.96,258
15.7187,259,1295000,-48287.2578125,156.6802,1952.01,2267.35,259
15.6906,260,1300000,-48437.12890625,156.5997,1947.33,2257.96,260
15.6827,261,1305000,-48439.55078125,156.7454,1924.7,2265.68,261
15.5164,262,1310000,-48566.9453125,156.7018,1919.04,2247.44,262
15.5407,263,1315000,-48727.703125,156.6975,1927.01,2257.39,263
15.6869,264,1320000,-48998.5390625,156.7492,1932.08,2266.57,264
15.5996,265,1325000,-48960.98046875,156.5316,1939.7,2257.98,265
15.4139,266,1330000,-49020.33203125,156.6704,1926.37,2261.16,266
15.5327,267,1335000,-49169.0546875,156.7495,1945.19,2266.68,267
15.3561,268,1340000,-49024.203125,156.5586,1926.3,2271.36,268
15.4588,269,1345000,-49225.6484375,156.5204,1952.35,2271.33,269
15.5926,270,1350000,-49538.24609375,156.8091,1936.63,2262.73,270
15.3743,271,1355000,-49670.1015625,156.6224,1926.98,2247.99,271
15.4493,272,1360000,-49572.8359375,156.7683,1891.58,2217.19,272
15.3413,273,1365000,-49815.92578125,156.6889,1898.91,2237.5,273
15.2561,274,1370000,-49919.265625,156.6174,1910.78,2209.26,274
15.4022,275,1375000,-50038.0703125,156.7269,1912.49,2199.66,275
15.2775,276,1380000,-50177.44140625,156.6212,1921.06,2253.5,276
15.4118,277,1385000,-50311.2109375,156.8518,1920.58,2255.35,277
15.5884,278,1390000,-50457.30859375,156.7061,1929.02,2242.68,278
