Itration,Running Forward KL,Running Reverse KL,Reward Loss,Real Det Return,Running Update Time,Running Env Steps,Real Sto Return
0,158.5499,11.5765,307.36138916015625,-118.78,0,0,-195.65
1,158.5361,11.8449,97.80844116210938,9.92,1,5000,-85.43
2,158.3251,11.9439,-104.82194519042969,589.26,2,10000,56.69
3,158.2285,12.9817,271.9178771972656,697.11,3,15000,273.18
4,158.1239,13.6937,360.2306213378906,809.58,4,20000,457.47
5,158.1003,13.7782,378.58526611328125,1022.58,5,25000,580.48
6,158.1189,13.7086,-104.44908142089844,1128.72,6,30000,656.94
7,158.1171,14.4929,-139.8817901611328,1224.96,7,35000,780.35
8,158.0322,15.3014,-262.77679443359375,1354.93,8,40000,914.91
9,158.0914,15.4322,-447.7912292480469,1385.7,9,45000,980.08
10,158.0692,15.5897,-585.396240234375,1423.66,10,50000,995.68
11,158.0264,15.7735,-770.595458984375,1458.88,11,55000,1038.96
12,158.1759,16.1505,-1050.0537109375,1536.09,12,60000,1165.76
13,157.8362,16.0109,-1234.118896484375,1591.05,13,65000,1214.68
14,158.0318,16.3705,-1420.2197265625,1660.09,14,70000,1268.18
15,157.8627,16.4195,-1621.5308837890625,1742.54,15,75000,1352.45
16,158.0853,16.6473,-1966.738525390625,1755.9,16,80000,1355.24
17,157.9998,16.3949,-2152.771240234375,1780.45,17,85000,1348.01
18,157.7704,16.4274,-2292.797607421875,1816.39,18,90000,1380.72
19,158.0172,16.5103,-2450.978759765625,1803.95,19,95000,1444.16
20,157.9794,16.6307,-2677.7958984375,1839.56,20,100000,1459.67
21,157.8276,16.2974,-2962.10498046875,1797.15,21,105000,1441.98
22,157.9645,16.6501,-3059.572265625,1866.41,22,110000,1499.15
23,157.869,16.5724,-3293.90087890625,1872.88,23,115000,1502.83
24,157.9332,16.54,-3475.0224609375,1834.77,24,120000,1518.98
25,157.8119,16.543,-3627.88232421875,1885.72,25,125000,1516.91
26,157.7126,16.2589,-3831.80615234375,1899.18,26,130000,1539.86
27,157.7841,16.4614,-4104.064453125,1912.87,27,135000,1543.78
28,157.7277,16.6612,-4192.92724609375,1940.65,28,140000,1575.5
29,157.5565,16.2414,-4384.7109375,1947.05,29,145000,1578.86
30,157.4908,16.3853,-4553.728515625,1969.7,30,150000,1580.99
31,157.6838,16.4674,-4838.2919921875,1893.49,31,155000,1591.02
32,157.5568,16.6322,-4883.46142578125,1997.09,32,160000,1629.08
33,157.4768,16.2368,-5089.48583984375,2002.18,33,165000,1647.33
34,157.5006,16.3921,-5293.95947265625,2008.23,34,170000,1655.3
35,157.5164,16.1705,-5514.72265625,1939.86,35,175000,1606.34
36,157.5386,16.4585,-5651.44140625,2014.45,36,180000,1644.91
37,157.3754,16.1721,-5866.3525390625,2019.36,37,185000,1651.16
38,157.2561,16.1508,-5980.80517578125,1997.29,38,190000,1648.49
39,157.3431,16.1338,-6194.77294921875,2065.57,39,195000,1651.65
40,157.2474,16.285,-6383.8759765625,2043.69,40,200000,1698.78
41,157.2334,16.3738,-6508.21435546875,2045.07,41,205000,1690.74
42,157.4358,16.3142,-6683.71728515625,2041.01,42,210000,1675.21
43,157.1502,15.9812,-6856.54443359375,2018.74,43,215000,1692.92
44,157.1534,16.0477,-7071.06005859375,2022.19,44,220000,1703.37
45,157.1337,15.6228,-7207.4306640625,1983.96,45,225000,1686.34
46,157.262,16.2785,-7407.20458984375,2101.09,46,230000,1731.13
47,157.302,16.1679,-7632.7236328125,2098.31,47,235000,1702.79
48,157.0102,16.131,-7793.091796875,2078.57,48,240000,1726.35
49,157.2855,16.1385,-7979.41796875,2080.63,49,245000,1728.29
50,157.2632,16.1258,-8250.0224609375,2071.12,50,250000,1698.07
51,157.0092,16.0995,-8370.6357421875,2055.78,51,255000,1742.35
