Real Det Return,Itration,Real Sto Return,Running Env Steps,Running Reverse KL,Running Forward KL,Reward Loss,Running Update Time
286.17,0,296.97,0,13.6107,49.3672,130.71847534179688,0
637.42,1,330.85,5000,21.9011,48.8523,-25.250642776489258,1
315.97,2,385.81,10000,19.2408,49.0639,-18.682598114013672,2
406.21,3,343.47,15000,20.0631,49.6469,-4.735559463500977,3
613.08,4,371.18,20000,21.7353,49.0178,8.20341682434082,4
390.63,5,358.75,25000,35.2688,49.8396,-142.5459442138672,5
1246.97,6,574.65,30000,23.1952,48.7685,-71.75293731689453,6
496.59,7,523.84,35000,32.3203,48.3004,-83.48017883300781,7
1615.99,8,651.79,40000,24.3436,48.2796,-37.402957916259766,8
980.34,9,743.05,45000,28.7256,47.8449,-77.48014068603516,9
955.52,10,716.57,50000,28.6915,47.2308,-76.39253234863281,10
1934.28,11,1608.49,55000,13.9795,47.2881,-159.51144409179688,11
1215.35,12,1411.25,60000,20.6751,47.3178,-93.0413589477539,12
1339.19,13,1270.72,65000,18.4068,46.8543,-140.0636444091797,13
835.63,14,688.79,70000,27.5003,47.9586,-98.42086029052734,14
883.07,15,713.21,75000,17.153,47.5913,84.50392150878906,15
2394.78,16,1262.94,80000,21.6651,45.8897,12.700289726257324,16
2178.88,17,972.92,85000,26.0225,46.9863,-29.34718132019043,17
1870.4,18,1310.9,90000,17.0919,45.5659,-76.42880249023438,18
2463.33,19,2200.84,95000,17.3422,46.9136,-148.45738220214844,19
2689.45,20,1431.1,100000,17.5724,45.0022,-103.18821716308594,20
2480.51,21,2309.76,105000,14.4245,46.9414,-168.9025115966797,21
2669.9,22,2382.57,110000,18.5414,45.8766,-137.8242950439453,22
2624.24,23,2666.74,115000,15.3825,46.6827,-203.05508422851562,23
2748.48,24,2799.85,120000,14.7075,45.6861,-154.1908416748047,24
2738.23,25,2471.29,125000,14.4016,45.6214,-154.7197723388672,25
2942.3,26,2717.49,130000,18.9722,45.2407,-163.50099182128906,26
