Itration,Real Det Return,Running Reverse KL,Running Forward KL,Reward Loss,Running Update Time,Running Env Steps,Real Sto Return
0,144.54,17.4879,37.5151,227.7459259033203,0,0,182.47
1,292.23,17.8216,36.5012,197.6591033935547,1,5000,301.96
2,119.6,19.7663,36.6069,105.53553771972656,2,10000,166.35
3,344.62,18.3338,35.2615,105.71419525146484,3,15000,355.88
4,345.73,18.6482,36.4217,115.34622192382812,4,20000,338.97
5,385.91,21.1205,36.8317,111.82555389404297,5,25000,366.36
6,369.49,21.146,35.0479,125.69686889648438,6,30000,360.96
7,428.77,21.3062,33.854,92.6162338256836,7,35000,417.43
8,409.84,23.1051,34.3951,71.12418365478516,8,40000,379.34
9,447.82,30.8114,32.338,135.38247680664062,9,45000,447.01
10,382.07,31.1778,36.1599,144.43487548828125,10,50000,336.76
11,432.05,31.4584,33.3139,133.7949981689453,11,55000,438.02
12,314.25,29.7422,38.0434,138.13253784179688,12,60000,320.72
13,1875.28,13.8946,32.3399,27.10535430908203,13,65000,2254.59
14,2538.6,17.0805,31.5228,44.92781448364258,14,70000,1995.92
15,2355.08,15.4994,31.3543,39.911224365234375,15,75000,2047.4
16,617.54,23.2285,31.9148,70.940673828125,16,80000,596.85
17,665.11,25.5821,31.0328,63.49827194213867,17,85000,655.31
18,1115.27,15.4201,30.8489,13.294517517089844,18,90000,1739.77
19,3078.12,14.5304,29.1011,-1.1960119009017944,19,95000,2364.07
20,997.14,17.9722,29.9917,17.66390037536621,20,100000,2113.68
21,3242.12,21.8777,30.5214,11.890355110168457,21,105000,1146.63
22,943.54,23.7414,31.0076,19.44140625,22,110000,999.0
23,3103.36,14.1661,28.5175,-19.633726119995117,23,115000,2613.08
24,2317.36,18.9427,30.0867,29.234853744506836,24,120000,1414.42
25,3132.64,15.4702,29.3148,-23.19051170349121,25,125000,3019.74
26,3166.66,15.7138,29.0864,-18.241243362426758,26,130000,2484.35
27,3216.82,15.2586,28.2553,-21.785215377807617,27,135000,2490.11
28,3153.93,14.1944,28.4084,-26.973003387451172,28,140000,2770.96
29,3187.97,13.8094,27.6645,-28.13626480102539,29,145000,2779.73
30,974.48,19.8066,29.7055,-18.831026077270508,30,150000,1123.13
31,1317.78,17.5493,27.4048,-8.111424446105957,31,155000,2326.07
32,3124.08,15.8606,28.5781,-37.68913269042969,32,160000,2679.37
33,3179.56,16.4332,29.3694,-25.415409088134766,33,165000,1870.03
34,3232.21,15.367,26.9884,-30.105289459228516,34,170000,2608.4
35,3249.37,16.0732,27.0504,-44.52886962890625,35,175000,1750.93
36,3170.34,13.9665,27.876,-44.20075607299805,36,180000,2479.65
37,1889.27,14.8522,28.0396,-50.70556640625,37,185000,2535.6
38,3173.48,13.4605,26.8568,-46.45325469970703,38,190000,3154.68
39,2369.26,16.4899,28.7601,-72.3742446899414,39,195000,1278.29
40,3289.22,13.4922,27.6798,-47.32755661010742,40,200000,3013.01
41,3123.14,19.9487,28.4917,-80.8253402709961,41,205000,1527.81
42,3122.06,13.3652,27.0906,-50.895668029785156,42,210000,2729.57
43,3239.99,13.9203,27.1327,-52.81489562988281,43,215000,2890.63
44,3219.97,13.433,26.3106,-56.34614562988281,44,220000,2510.95
45,3276.63,14.8179,26.4207,-64.04341888427734,45,225000,2145.78
46,3211.37,13.4788,26.4737,-48.703590393066406,46,230000,3214.38
47,1525.67,33.2455,28.7383,-84.1791000366211,47,235000,1379.34
48,3207.52,13.2344,26.6656,-71.24209594726562,48,240000,2263.69
49,3227.26,13.764,27.1891,-69.8165054321289,49,245000,2625.6
50,3212.91,12.6631,26.3703,-46.878150939941406,50,250000,3111.13
51,2441.87,20.0874,29.0629,-98.4958724975586,51,255000,1271.54
52,3172.93,33.9814,26.8172,-84.12518310546875,52,260000,1765.01
53,3232.28,15.4469,26.8606,-70.27540588378906,53,265000,2390.03
54,982.8,18.7556,27.6048,-95.01016998291016,54,270000,1975.48
55,1044.21,28.3641,44.0806,-119.71228790283203,55,275000,1011.45
56,390.84,18.2256,31.6983,-62.09020233154297,56,280000,387.92
57,1032.05,23.8691,42.4741,-154.2392578125,57,285000,843.57
58,1030.18,26.5344,44.5245,-112.11256408691406,58,290000,1029.05
59,989.29,49.3674,44.8313,-154.37188720703125,59,295000,987.92
60,1010.5,24.4966,42.7802,-136.56710815429688,60,300000,1006.26
61,1019.97,34.8813,43.5157,-150.75999450683594,61,305000,1018.55
62,1025.61,26.1175,44.1493,-142.42315673828125,62,310000,1026.45
63,1037.69,37.0634,43.1144,-166.75254821777344,63,315000,1037.78
64,1008.12,35.4695,45.8706,-172.08242797851562,64,320000,1006.88
65,172.29,32.4059,37.7093,-199.40040588378906,65,325000,172.08
66,201.89,57.0988,38.5527,-188.5712127685547,66,330000,201.84
67,202.86,49.3289,37.7566,-193.8070526123047,67,335000,202.0
68,40.16,71.109,46.1277,-254.17105102539062,68,340000,40.59
69,361.35,48.8213,38.1715,-277.9833679199219,69,345000,425.38
70,251.49,33.7705,38.2203,-292.403564453125,70,350000,251.34
71,287.63,39.4584,34.5853,-249.71920776367188,71,355000,303.8
72,1082.35,34.8617,38.71,-265.5928955078125,72,360000,1056.89
73,724.77,27.383,41.6424,-270.228515625,73,365000,729.11
74,499.76,32.6893,39.1279,-273.1584777832031,74,370000,768.52
75,438.3,24.4163,35.6232,-287.6121826171875,75,375000,425.18
76,2174.2,25.3674,34.9457,-148.3499298095703,76,380000,2183.73
77,2111.0,18.0536,34.3576,-155.95123291015625,77,385000,1839.93
78,2444.86,23.8004,33.3422,-196.91848754882812,78,390000,2022.54
79,2537.82,22.5016,32.4746,-177.46401977539062,79,395000,2536.91
80,1935.66,33.0341,34.6077,-299.7657470703125,80,400000,1560.54
81,1000.25,60.1662,44.6068,-376.28253173828125,81,405000,1000.19
82,996.74,55.3551,43.3703,-374.8607177734375,82,410000,996.69
83,997.69,41.8847,43.1075,-371.2322082519531,83,415000,1004.65
84,1011.46,39.0935,42.9118,-383.79119873046875,84,420000,1012.54
85,990.99,23.4061,28.0746,-187.0128173828125,85,425000,1638.44
86,261.09,65.3942,38.9595,-481.2279968261719,86,430000,275.05
87,1013.69,43.342,44.2859,-409.22247314453125,87,435000,1015.38
88,993.61,54.7495,43.7552,-445.50006103515625,88,440000,996.43
89,996.83,53.4285,42.6699,-454.182861328125,89,445000,1005.1
90,984.49,52.0971,43.6741,-461.9153747558594,90,450000,984.47
91,993.14,51.8231,43.5504,-473.97271728515625,91,455000,992.7
92,1006.88,42.7208,43.7883,-472.03717041015625,92,460000,1006.73
93,1011.73,39.2586,43.8288,-476.793701171875,93,465000,1011.23
94,1013.51,39.433,43.7386,-493.6291198730469,94,470000,1011.71
95,982.57,56.7266,44.6148,-538.137939453125,95,475000,982.54
96,988.62,55.1541,44.8318,-544.4403686523438,96,480000,988.54
97,1017.32,42.2484,45.8375,-531.7149047851562,97,485000,1017.08
98,1041.53,39.2766,43.5137,-525.5613403320312,98,490000,1041.73
99,1029.2,41.0655,43.6153,-554.1818237304688,99,495000,1029.58
100,1012.72,51.0088,46.5542,-576.75146484375,100,500000,1012.63
101,988.9,58.5354,44.5169,-614.0740356445312,101,505000,988.94
102,108.31,54.574,40.4342,-622.5907592773438,102,510000,109.15
103,129.82,58.2462,39.2731,-615.7030639648438,103,515000,129.66
104,286.18,35.8119,33.3075,-438.563232421875,104,520000,259.51
105,983.15,52.568,44.6462,-663.7907104492188,105,525000,983.2
106,282.07,36.1041,34.4717,-567.1889038085938,106,530000,276.25
107,506.0,29.5914,34.274,-467.4066162109375,107,535000,584.43
108,290.79,33.0062,31.9847,-458.54705810546875,108,540000,281.42
109,983.12,46.9287,44.1016,-683.429931640625,109,545000,983.4
110,285.16,54.0736,38.2995,-618.5438842773438,110,550000,285.63
111,364.38,72.5233,37.4127,-710.4762573242188,111,555000,364.35
112,461.34,57.4223,33.2853,-657.15771484375,112,560000,461.86
113,518.56,54.908,34.4681,-650.6197509765625,113,565000,516.18
114,358.95,56.9517,37.2718,-724.8858642578125,114,570000,348.25
115,380.67,56.5489,37.1249,-720.5634765625,115,575000,395.58
116,480.3,41.5499,36.7403,-694.4036254882812,116,580000,501.38
117,959.88,24.2084,32.9869,-606.2982788085938,117,585000,962.02
118,2321.66,16.7087,31.9313,-348.47833251953125,118,590000,1974.26
119,2880.18,16.4123,29.6429,-169.33763122558594,119,595000,2802.7
120,2922.12,18.3457,30.382,-175.60923767089844,120,600000,2644.72
121,2491.94,16.9766,28.9551,-200.13856506347656,121,605000,2710.62
122,2755.34,15.8444,29.7359,-191.17271423339844,122,610000,2774.83
123,227.57,34.9396,39.3492,-752.612548828125,123,615000,226.35
124,384.0,34.25,30.9233,-568.7967529296875,124,620000,804.48
125,559.05,49.8194,33.1469,-749.1297607421875,125,625000,554.22
