Itration,Running Reverse KL,Running Env Steps,Real Sto Return,Running Update Time,Running Forward KL,Real Det Return,Reward Loss
0,28.7961,0,194.6,0,32.6848,188.65,324.12054443359375
1,46.9783,5000,274.08,1,32.0268,285.76,487.92156982421875
2,73.0433,10000,242.62,2,31.8604,240.18,379.52685546875
3,64.2813,15000,266.78,3,30.8756,266.07,415.27685546875
4,55.7188,20000,303.81,4,30.9793,310.73,295.3029479980469
5,38.9887,25000,318.22,5,31.3008,312.73,267.9111022949219
6,49.9534,30000,393.73,6,30.4974,401.8,131.884521484375
7,55.0701,35000,456.25,7,26.9259,433.59,51.06069564819336
8,35.9137,40000,510.42,8,27.6123,487.49,61.41996765136719
9,45.9168,45000,731.48,9,24.1253,559.46,-16.595094680786133
10,33.5568,50000,1283.81,10,23.4503,864.0,-21.99534797668457
11,23.1784,55000,1195.87,11,23.0074,2046.32,-17.807451248168945
12,14.5966,60000,2515.89,12,22.9674,2352.35,-176.05506896972656
13,20.6184,65000,1879.1,13,22.8393,1629.77,-180.26966857910156
14,29.187,70000,1776.72,14,23.5538,2472.07,-210.11727905273438
15,22.7668,75000,2283.96,15,23.4821,2396.54,-203.46034240722656
16,31.1273,80000,1519.75,16,22.6578,2845.87,-276.2296447753906
17,32.4363,85000,2012.59,17,22.8146,2452.63,-342.21630859375
18,16.9435,90000,2928.41,18,23.799,3026.59,-260.4208679199219
19,31.005,95000,1639.53,19,23.5886,2632.43,-394.4505920410156
20,35.0445,100000,1664.33,20,23.2475,1876.26,-462.50335693359375
21,16.9663,105000,2542.13,21,23.2357,2999.74,-326.64990234375
22,17.0845,110000,3007.23,22,22.2547,2919.39,-345.5281982421875
23,20.0161,115000,1810.62,23,22.7536,3102.48,-409.1790771484375
24,13.1333,120000,2876.77,24,21.9651,3093.61,-333.60589599609375
25,12.799,125000,3084.91,25,22.489,3096.05,-305.0923156738281
26,28.6634,130000,2574.34,26,23.0262,3155.32,-433.2714538574219
27,28.692,135000,1682.51,27,22.0563,3002.45,-567.5111083984375
28,21.2854,140000,2020.27,28,22.4547,3058.19,-459.2539367675781
29,28.143,145000,1327.01,29,22.6898,1727.12,-511.7981872558594
30,18.387,150000,2239.37,30,22.3131,2092.04,-499.80322265625
31,35.4251,155000,1628.17,31,23.8316,1932.99,-711.814453125
32,19.7824,160000,2460.94,32,22.9102,2240.43,-589.6359252929688
33,17.6114,165000,2824.28,33,22.9125,2150.85,-451.2846374511719
34,13.4421,170000,3018.66,34,22.2004,2861.72,-395.63470458984375
35,14.099,175000,2539.79,35,22.0494,1988.08,-472.19659423828125
36,13.6256,180000,2885.16,36,22.5324,3187.81,-420.27545166015625
37,14.413,185000,2976.31,37,22.4167,3197.87,-553.2271118164062
38,12.6485,190000,2371.57,38,22.055,3071.07,-393.5826110839844
39,22.3663,195000,2759.57,39,22.0914,3195.24,-517.4906005859375
40,21.7666,200000,2794.45,40,22.3248,2707.83,-527.47998046875
41,14.6857,205000,3030.48,41,22.3567,3117.71,-542.4985961914062
42,12.6053,210000,2838.55,42,21.5346,3059.68,-496.03125
43,14.8095,215000,3095.53,43,22.1831,3148.95,-535.9513549804688
44,16.4863,220000,2921.97,44,22.6228,3117.94,-517.329345703125
45,26.9869,225000,2286.15,45,22.4733,3117.4,-676.4713745117188
46,12.4173,230000,3058.79,46,21.7774,3110.48,-484.40838623046875
47,19.3963,235000,2971.22,47,22.226,3021.73,-622.7093505859375
48,12.3587,240000,2907.52,48,21.7777,3029.87,-523.7076416015625
49,18.55,245000,3144.21,49,21.862,3134.04,-665.3698120117188
50,15.4021,250000,2970.36,50,22.2938,3133.64,-576.5158081054688
51,20.7541,255000,2836.95,51,22.2097,3064.61,-671.49169921875
52,18.5427,260000,2677.48,52,22.0616,3082.72,-728.2308959960938
53,12.0909,265000,3126.03,53,21.4552,2165.47,-568.0383911132812
54,14.7717,270000,2657.71,54,21.8255,3026.04,-733.6437377929688
55,13.3537,275000,3091.61,55,21.8639,3181.17,-609.5621337890625
56,11.7675,280000,3161.95,56,21.1874,3120.67,-569.0798950195312
57,14.0508,285000,2968.18,57,21.4132,3151.05,-630.0452880859375
58,12.6432,290000,2950.27,58,21.3679,3145.92,-709.2498168945312
59,12.9083,295000,3009.85,59,22.079,3068.25,-646.3052978515625
60,12.7772,300000,3065.0,60,22.0612,3095.12,-679.0654907226562
61,17.9403,305000,2511.02,61,21.2583,3192.24,-755.1265869140625
62,16.7678,310000,3166.65,62,20.9442,3143.28,-662.2702026367188
63,12.6411,315000,3106.88,63,21.7418,3158.77,-647.9302368164062
64,11.2013,320000,3177.53,64,20.8549,3154.78,-657.1537475585938
65,11.3627,325000,2973.38,65,20.9717,3189.89,-665.9605712890625
66,11.9005,330000,3050.69,66,20.9701,3150.35,-660.4306640625
67,13.2234,335000,3156.05,67,20.967,3187.56,-702.2896118164062
68,12.3696,340000,3179.35,68,21.0322,3169.98,-673.2622680664062
69,11.8721,345000,3168.35,69,20.817,3203.08,-701.0736694335938
70,16.8075,350000,3145.23,70,21.1328,3232.75,-791.01513671875
71,13.4289,355000,2762.59,71,20.9878,3216.45,-753.32958984375
72,12.1931,360000,3137.9,72,21.1571,3199.81,-708.9801025390625
73,18.3597,365000,2726.56,73,20.818,3215.92,-822.1093139648438
74,11.6546,370000,3249.38,74,20.087,3258.88,-735.2618408203125
75,10.9746,375000,3121.8,75,20.4198,3219.26,-725.7265625
76,12.186,380000,3237.8,76,20.6195,3241.13,-723.4187622070312
77,12.3292,385000,3241.14,77,20.6132,3236.59,-702.6455688476562
78,11.9238,390000,3243.65,78,20.2912,3241.36,-696.0532836914062
79,11.0653,395000,3047.31,79,19.8716,3215.75,-694.0462036132812
80,11.4326,400000,3259.54,80,19.7735,3260.25,-655.111572265625
81,11.3524,405000,3102.05,81,19.3316,3247.71,-585.2882080078125
82,12.3116,410000,3184.52,82,19.3061,3339.6,-624.8048095703125
83,12.6308,415000,2843.98,83,19.4648,3344.34,-510.1105041503906
84,11.0662,420000,3329.65,84,18.6566,3358.59,-550.1484985351562
85,11.8134,425000,3282.89,85,19.3043,3311.77,-656.987548828125
86,11.9395,430000,3292.13,86,19.3641,3335.51,-635.34228515625
87,11.6797,435000,3343.1,87,18.8332,3398.19,-599.139892578125
88,14.7733,440000,2976.43,88,17.8541,3382.07,-660.6382446289062
89,12.0536,445000,3335.07,89,19.1023,3377.29,-577.0621948242188
90,12.6357,450000,3236.84,90,18.3921,3393.04,-640.1884155273438
91,12.0198,455000,3311.74,91,19.2859,3344.21,-676.4624633789062
92,11.3918,460000,3387.96,92,17.8837,3428.11,-581.377197265625
93,11.152,465000,3354.58,93,18.163,3383.75,-624.21728515625
94,11.045,470000,3384.47,94,18.2097,3394.38,-585.3489990234375
95,11.7409,475000,3364.2,95,18.4223,3433.72,-638.615478515625
96,11.6531,480000,3463.17,96,17.709,3496.24,-347.9363708496094
97,11.3213,485000,3397.15,97,17.4259,3443.8,-557.4234619140625
98,10.9632,490000,3416.75,98,17.4621,3456.1,-499.57232666015625
99,12.2724,495000,3255.5,99,17.892,3463.07,-540.8897094726562
100,11.2935,500000,3388.48,100,17.833,3418.77,-619.8168334960938
101,11.0055,505000,3235.42,101,18.4708,3425.01,-577.203369140625
102,11.0213,510000,3400.23,102,17.277,3414.94,-537.9617309570312
103,11.6498,515000,3429.84,103,17.6292,3484.34,-572.951416015625
104,11.2833,520000,3439.42,104,17.8522,3477.41,-587.9872436523438
105,11.6195,525000,3404.69,105,18.1944,3447.51,-692.7905883789062
106,11.0427,530000,3427.23,106,17.3113,3442.88,-547.836669921875
107,10.6333,535000,3245.74,107,17.9724,3446.79,-569.8970947265625
108,10.5614,540000,3443.98,108,17.217,3456.81,-561.3497924804688
109,13.2808,545000,2877.11,109,18.5032,3432.34,-853.6334228515625
110,11.0146,550000,3428.52,110,17.6594,3447.19,-642.0486450195312
111,11.951,555000,2945.21,111,18.1469,3437.63,-756.08056640625
112,10.4037,560000,3379.5,112,17.0994,3475.78,-689.1972045898438
113,12.359,565000,3394.99,113,17.2392,3413.83,-802.1211547851562
114,10.9396,570000,3276.56,114,17.9688,3482.87,-623.0486450195312
115,11.5606,575000,3411.35,115,17.7047,3471.88,-609.4421997070312
116,11.7259,580000,3391.77,116,18.0193,3429.05,-745.1883544921875
117,9.9767,585000,3444.11,117,16.9111,3436.4,-588.9215087890625
118,11.0076,590000,3368.12,118,17.6047,3434.74,-706.8934936523438
119,14.0982,595000,3031.11,119,18.3913,3502.29,-670.7167358398438
120,10.5195,600000,3385.26,120,17.3111,3467.11,-580.3976440429688
121,10.6795,605000,3440.01,121,16.4962,3437.56,-590.1019897460938
122,11.184,610000,3437.94,122,17.5437,3459.65,-743.3225708007812
123,11.1407,615000,3141.54,123,17.8461,3451.17,-676.8663940429688
124,10.9928,620000,3409.83,124,16.9859,3467.36,-664.07763671875
125,11.4662,625000,3435.32,125,17.6966,3470.13,-808.77685546875
126,11.6156,630000,3463.21,126,17.1692,3478.8,-551.19091796875
127,10.9001,635000,3430.62,127,16.9867,3433.13,-689.652099609375
128,10.9274,640000,3365.82,128,17.1332,3456.0,-814.79150390625
129,13.2987,645000,2748.2,129,18.5181,3473.92,-797.343505859375
130,11.1595,650000,3393.83,130,17.4533,3395.48,-812.8406372070312
131,10.7103,655000,3393.6,131,16.6438,3458.37,-676.8882446289062
132,10.9912,660000,3300.89,132,17.4261,3421.22,-710.7435302734375
133,10.5635,665000,3392.56,133,16.5297,3428.74,-838.0912475585938
134,10.0955,670000,3401.39,134,16.5215,3421.87,-753.04345703125
135,10.1533,675000,3419.93,135,16.5257,3437.23,-663.3687744140625
136,15.707,680000,3064.27,136,17.2608,3450.11,-785.286865234375
137,10.4055,685000,3381.06,137,16.8341,3397.37,-845.7362670898438
138,10.1258,690000,3307.79,138,16.5166,3423.37,-704.0968627929688
139,10.0419,695000,3459.05,139,16.1703,3447.62,-646.8712768554688
140,10.4593,700000,3421.41,140,16.5884,3429.44,-730.6728515625
141,10.2945,705000,3428.03,141,16.2078,3454.63,-825.2159423828125
142,10.1911,710000,3378.86,142,16.996,3443.15,-741.0269165039062
143,10.898,715000,3155.75,143,17.5864,3417.86,-984.7286987304688
