Real Det Return,Itration,Real Sto Return,Running Reverse KL,Reward Loss,Running Update Time,Running Env Steps,Running Forward KL
286.88,0,-92.18,25.9553,9.315117835998535,0,0,76.6171
400.07,1,-68.21,26.3494,-7.801577568054199,1,5000,73.0853
531.3,2,-44.42,27.159,-23.63844871520996,2,10000,73.1628
661.81,3,38.72,28.43,-32.392337799072266,3,15000,73.7728
613.86,4,50.7,27.7593,-50.07268524169922,4,20000,72.5224
869.26,5,83.17,28.6364,-61.29418182373047,5,25000,71.9862
786.18,6,185.78,29.8407,-82.42218780517578,6,30000,71.3682
797.62,7,116.37,30.1553,-93.549560546875,7,35000,72.7992
867.63,8,147.69,28.8181,-109.0940170288086,8,40000,71.8564
721.61,9,163.43,29.3663,-122.91349029541016,9,45000,70.4777
385.85,10,178.23,30.8014,-135.650634765625,10,50000,73.0391
1118.15,11,272.08,30.5041,-144.2727813720703,11,55000,71.933
1115.57,12,265.28,30.5107,-153.2310791015625,12,60000,70.2721
711.38,13,217.47,29.5368,-175.71702575683594,13,65000,70.8656
790.78,14,289.85,31.445,-192.75421142578125,14,70000,71.7759
726.34,15,211.81,29.9537,-200.59776306152344,15,75000,69.9013
503.21,16,225.17,30.0235,-207.15411376953125,16,80000,69.9004
759.11,17,215.12,30.0369,-230.05137634277344,17,85000,70.7757
449.94,18,217.13,29.592,-236.29820251464844,18,90000,71.7565
781.01,19,230.02,28.0997,-251.38172912597656,19,95000,68.3146
862.58,20,260.19,29.6217,-264.2862243652344,20,100000,69.7803
731.84,21,181.65,29.3714,-275.8257751464844,21,105000,70.9641
1367.79,22,515.58,30.0446,-283.9115295410156,22,110000,69.4054
1690.02,23,681.14,29.9558,-294.85125732421875,23,115000,68.5558
1534.83,24,716.37,28.6661,-304.5567932128906,24,120000,67.0901
1792.61,25,759.36,33.7779,-304.9595031738281,25,125000,67.6655
1530.25,26,561.65,28.9763,-328.233642578125,26,130000,68.0767
1966.35,27,1013.7,33.532,-333.7725524902344,27,135000,67.5932
2334.15,28,1231.3,32.8055,-346.51611328125,28,140000,67.5538
1992.23,29,1084.19,28.5345,-365.5162353515625,29,145000,67.5608
2365.84,30,1199.91,30.8405,-369.596435546875,30,150000,66.6325
1345.37,31,1299.22,31.8346,-373.21429443359375,31,155000,66.7424
2432.99,32,1597.69,34.7833,-390.8393859863281,32,160000,68.0552
2174.06,33,1330.14,32.9102,-405.66790771484375,33,165000,67.2796
1703.57,34,1111.14,30.8257,-416.6937561035156,34,170000,67.0923
1238.79,35,979.08,28.634,-434.61004638671875,35,175000,67.1966
1886.79,36,1399.76,29.4655,-452.9019470214844,36,180000,67.2665
1272.61,37,1159.51,28.2951,-456.4827575683594,37,185000,67.0081
1341.2,38,1328.45,31.1214,-462.6289978027344,38,190000,67.1562
3238.9,39,2418.92,37.2321,-460.5011901855469,39,195000,67.5128
2851.14,40,2018.23,36.9096,-474.796875,40,200000,67.3703
2551.02,41,2245.81,36.9803,-479.8045349121094,41,205000,67.8662
2641.81,42,2103.76,38.8328,-481.6659240722656,42,210000,68.7634
2778.95,43,2354.77,37.0667,-499.4862365722656,43,215000,67.6942
2928.73,44,2215.68,42.3774,-522.8412475585938,44,220000,69.5846
3200.01,45,2380.93,38.7335,-519.885986328125,45,225000,67.9806
2538.89,46,1869.57,31.8552,-545.803955078125,46,230000,67.4997
1956.32,47,1239.53,33.7036,-546.9381713867188,47,235000,66.943
2935.62,48,2367.9,44.2891,-585.31689453125,48,240000,69.2667
1805.65,49,1163.15,29.0646,-584.4337768554688,49,245000,67.5261
3780.01,50,2988.99,51.9498,-574.8759765625,50,250000,72.3493
3443.92,51,3230.27,51.9672,-586.1754760742188,51,255000,75.4239
3603.43,52,2975.16,44.0763,-609.7228393554688,52,260000,69.811
3045.8,53,3017.31,44.3909,-606.5913696289062,53,265000,69.0081
2362.67,54,2094.02,44.0847,-598.074462890625,54,270000,69.7521
3204.68,55,2949.69,42.6752,-641.3228149414062,55,275000,70.3881
3676.11,56,2687.54,50.5704,-635.25439453125,56,280000,70.7744
3789.22,57,2990.33,47.9257,-646.2262573242188,57,285000,70.8157
4067.58,58,2758.05,60.1065,-651.2001342773438,58,290000,78.3542
4003.32,59,2667.79,54.5131,-638.1777954101562,59,295000,74.2418
3843.17,60,2800.79,45.0014,-682.857666015625,60,300000,70.4845
1929.46,61,2013.48,38.5735,-697.9130249023438,61,305000,69.8378
3767.46,62,2696.94,43.7393,-714.858154296875,62,310000,70.1151
2272.37,63,2264.66,45.2488,-715.7122192382812,63,315000,70.8054
4158.21,64,3116.29,51.1878,-739.18310546875,64,320000,72.9965
3477.99,65,2524.13,60.3987,-724.5405883789062,65,325000,81.1831
2128.42,66,1937.57,44.4936,-753.920654296875,66,330000,71.0443
3895.42,67,3666.61,51.2641,-786.2538452148438,67,335000,71.9965
3523.22,68,2807.92,47.7402,-772.8250122070312,68,340000,71.003
4512.25,69,3064.11,50.1127,-783.107421875,69,345000,73.4688
3882.95,70,3359.96,52.6602,-829.963623046875,70,350000,71.9412
4400.11,71,3231.64,54.4986,-832.7543334960938,71,355000,73.2296
4068.2,72,2786.55,56.0403,-827.6143188476562,72,360000,74.4637
4039.47,73,3638.62,62.4653,-855.296875,73,365000,79.2793
3905.2,74,3390.53,50.3944,-893.01416015625,74,370000,70.856
3681.4,75,3945.45,57.516,-888.362548828125,75,375000,74.2784
3368.16,76,3664.43,54.4915,-906.8131103515625,76,380000,72.1617
4220.41,77,4025.74,61.468,-948.0723266601562,77,385000,76.7343
4245.67,78,3362.0,59.1065,-949.77099609375,78,390000,75.3287
4619.02,79,3955.83,60.7353,-967.2945556640625,79,395000,74.1657
4307.4,80,3692.97,56.9239,-991.3018798828125,80,400000,73.0412
3983.24,81,3238.68,60.2539,-995.9971313476562,81,405000,76.9739
4009.89,82,3226.08,47.7372,-1001.3978271484375,82,410000,70.3569
4211.57,83,3744.34,49.8117,-990.7977294921875,83,415000,71.3492
3964.55,84,3390.1,50.4203,-1027.4681396484375,84,420000,70.9751
4187.13,85,3472.4,58.4135,-1047.5150146484375,85,425000,75.4141
3670.21,86,3858.93,48.6187,-1059.03125,86,430000,71.4178
4399.33,87,3779.47,56.1122,-1082.0400390625,87,435000,72.9214
4040.24,88,3594.0,54.2382,-1106.8331298828125,88,440000,72.894
4464.82,89,2926.04,55.3429,-1119.9600830078125,89,445000,73.14
4597.15,90,3728.24,61.7995,-1131.60546875,90,450000,75.1535
3970.12,91,3116.75,56.5316,-1150.8209228515625,91,455000,73.8218
4512.07,92,3889.69,51.5429,-1174.3238525390625,92,460000,71.8071
4512.73,93,3552.08,55.9158,-1182.0289306640625,93,465000,72.9084
4923.46,94,4456.91,68.3008,-1291.8404541015625,94,470000,82.0511
4755.61,95,4231.87,57.6319,-1255.2098388671875,95,475000,73.4214
4876.35,96,3616.72,64.2525,-1283.5770263671875,96,480000,79.042
5042.53,97,3916.88,67.6404,-1309.173583984375,97,485000,82.1787
4692.57,98,3996.64,63.8209,-1313.251953125,98,490000,75.1602
5163.03,99,4376.43,52.8476,-1301.3446044921875,99,495000,71.0755
4082.63,100,3450.03,57.6432,-1265.2664794921875,100,500000,75.8419
3747.13,101,3881.78,58.2078,-1300.4169921875,101,505000,71.9581
4870.83,102,4149.26,65.9621,-1446.2254638671875,102,510000,81.7914
4782.61,103,4192.26,68.1003,-1433.411865234375,103,515000,80.5696
4515.77,104,3893.42,65.2879,-1419.781005859375,104,520000,77.9881
4619.38,105,4465.62,58.0247,-1438.6683349609375,105,525000,73.9175
4129.71,106,3756.33,65.9356,-1444.5262451171875,106,530000,81.2266
5093.94,107,4025.13,64.1636,-1519.5377197265625,107,535000,78.1536
4643.42,108,4213.76,60.0316,-1494.823974609375,108,540000,76.0208
4767.6,109,4081.54,54.8738,-1507.972900390625,109,545000,72.9433
4765.35,110,3876.09,61.8056,-1540.2191162109375,110,550000,74.618
4943.07,111,4715.62,64.0676,-1626.736083984375,111,555000,76.9271
5066.93,112,4473.96,64.3169,-1607.3651123046875,112,560000,76.0433
4919.84,113,4510.68,63.7229,-1685.7467041015625,113,565000,79.4284
4607.32,114,4269.18,63.6029,-1641.85546875,114,570000,77.1841
4708.47,115,4515.32,62.1542,-1668.4046630859375,115,575000,73.8746
5122.13,116,4739.78,60.4814,-1711.6475830078125,116,580000,74.2254
3754.47,117,3872.91,57.7474,-1714.357421875,117,585000,73.4648
5110.37,118,4409.57,59.4207,-1737.037841796875,118,590000,73.8238
4908.44,119,3994.65,54.3595,-1730.088134765625,119,595000,71.5569
4985.31,120,4607.03,65.5212,-1834.149169921875,120,600000,80.6912
4974.09,121,4789.08,56.1565,-1765.938720703125,121,605000,72.7824
4830.21,122,3668.45,62.7754,-1788.2691650390625,122,610000,76.9338
4919.18,123,4368.69,63.7125,-1855.010498046875,123,615000,76.9157
4344.26,124,4444.33,71.3767,-1942.8157958984375,124,620000,83.9324
4759.58,125,4464.2,71.2865,-1930.1610107421875,125,625000,82.2243
4934.7,126,4197.73,62.6287,-1941.7969970703125,126,630000,73.2398
4661.25,127,3722.8,60.9119,-1927.3367919921875,127,635000,74.7692
