Real Sto Return,Running Env Steps,Itration,Real Det Return,Running Update Time,Running Reverse KL,Running Forward KL,Reward Loss
-98.5,0,0,487.34,0,26.6512,75.339,21.63855743408203
-11.11,5000,1,503.68,1,26.9803,73.581,14.146376609802246
-14.47,10000,2,557.99,2,28.0278,75.1689,1.673191785812378
21.62,15000,3,494.12,3,28.3809,75.6058,-13.987615585327148
73.71,20000,4,604.31,4,30.1746,74.6869,-20.229785919189453
58.24,25000,5,534.67,5,32.0887,75.2419,-30.835790634155273
78.57,30000,6,653.5,6,31.9778,73.6745,-51.04304504394531
100.09,35000,7,564.1,7,32.1226,75.8087,-55.06900405883789
113.84,40000,8,719.68,8,32.8973,75.2511,-66.12358856201172
159.91,45000,9,687.75,9,32.0242,73.0099,-79.92064666748047
129.17,50000,10,773.71,10,31.8357,75.1141,-91.87665557861328
143.22,55000,11,564.69,11,31.8357,74.6777,-103.5784912109375
83.73,60000,12,419.49,12,31.9241,74.4915,-117.32028198242188
213.26,65000,13,719.86,13,32.5582,76.2954,-125.8206787109375
144.16,70000,14,695.07,14,32.6097,75.6082,-137.98243713378906
173.79,75000,15,540.78,15,31.8205,75.5173,-150.6620330810547
230.85,80000,16,693.06,16,32.4066,75.4041,-161.62242126464844
124.72,85000,17,564.32,17,31.2021,73.4525,-173.6007537841797
134.87,90000,18,494.1,18,31.2873,74.1203,-189.1152801513672
149.21,95000,19,307.47,19,32.3174,75.2169,-202.57281494140625
158.26,100000,20,492.29,20,33.199,75.3301,-213.61163330078125
161.84,105000,21,632.37,21,32.0423,75.0776,-225.74928283691406
119.28,110000,22,622.62,22,31.5608,73.7896,-235.91575622558594
136.8,115000,23,511.98,23,32.1015,75.3687,-251.01780700683594
150.86,120000,24,570.77,24,31.8282,74.4505,-261.8665771484375
148.18,125000,25,473.68,25,31.5998,74.377,-272.4603576660156
199.03,130000,26,657.28,26,31.2405,73.4677,-285.93243408203125
206.85,135000,27,574.84,27,31.9372,75.0248,-301.1285095214844
179.24,140000,28,821.98,28,31.535,73.429,-312.2528991699219
182.14,145000,29,618.43,29,31.5644,74.1447,-324.31793212890625
135.78,150000,30,646.24,30,31.5501,72.7781,-335.22100830078125
120.88,155000,31,617.24,31,31.6151,73.7604,-350.9087829589844
197.51,160000,32,729.67,32,31.6663,74.6935,-367.3354797363281
135.05,165000,33,586.66,33,32.4478,74.8275,-381.79510498046875
131.75,170000,34,695.84,34,30.9247,72.8313,-388.89630126953125
192.5,175000,35,623.85,35,31.2375,73.9279,-404.7129821777344
