Real Det Return,Running Forward KL,Real Sto Return,Reward Loss,Running Env Steps,Running Reverse KL,Running Update Time,Itration
277.43,49.4081,297.68,195.92713928222656,0,13.314,0,0
472.34,48.3613,449.12,149.09359741210938,5000,13.5018,1,1
283.65,49.9811,323.28,139.934326171875,10000,16.5143,2,2
355.86,49.592,405.14,101.47084045410156,15000,14.6149,3,3
397.55,49.34,436.05,92.19033813476562,20000,12.7565,4,4
415.49,49.7273,357.97,64.35501861572266,25000,17.062,5,5
378.31,50.3901,376.09,6.942987442016602,30000,23.3281,6,6
429.0,49.1953,445.25,-16.520246505737305,35000,23.6758,7,7
476.49,48.8867,466.23,22.508249282836914,40000,19.2979,8,8
486.46,49.148,470.36,39.906517028808594,45000,17.2229,9,9
480.58,48.8072,476.66,52.958683013916016,50000,13.1137,10,10
497.85,48.4818,486.39,96.07865142822266,55000,13.8782,11,11
530.31,48.4599,500.88,58.32490158081055,60000,12.6411,12,12
513.56,48.783,487.11,52.633731842041016,65000,12.7337,13,13
554.71,48.2212,548.61,-50.652427673339844,70000,18.0857,14,14
597.71,48.4484,582.23,-44.92302322387695,75000,15.9751,15,15
518.42,47.977,543.47,46.78160095214844,80000,14.8807,16,16
598.82,47.1702,623.25,-17.11098861694336,85000,19.674,17,17
829.66,46.6304,740.79,38.200260162353516,90000,13.7473,18,18
655.0,46.7317,688.29,63.923118591308594,95000,13.0008,19,19
670.82,46.7611,722.29,29.345125198364258,100000,13.5443,20,20
766.48,46.353,800.34,-11.79674243927002,105000,11.7741,21,21
786.61,46.6007,893.29,-49.05669403076172,110000,12.565,22,22
772.87,46.5483,858.58,-95.11858367919922,115000,13.2643,23,23
658.94,45.9139,744.0,-155.71786499023438,120000,16.0978,24,24
1010.68,46.5448,772.96,-176.43377685546875,125000,17.2342,25,25
846.47,46.9101,749.46,-223.26747131347656,130000,21.6131,26,26
702.57,46.3122,734.69,-125.88030242919922,135000,12.6582,27,27
1079.33,46.3166,990.79,-143.03384399414062,140000,14.198,28,28
1126.8,46.4339,1064.96,-191.4727783203125,145000,17.1356,29,29
1127.79,46.3824,1327.6,-213.8719024658203,150000,18.0603,30,30
1100.55,46.153,1273.48,-197.8445587158203,155000,16.2008,31,31
1322.82,45.6213,1277.81,-207.18739318847656,160000,20.4612,32,32
1235.62,45.2465,1389.88,-210.23924255371094,165000,17.3096,33,33
2837.8,45.4475,1964.19,-180.94808959960938,170000,22.7822,34,34
1118.68,45.0257,1282.04,-289.8619079589844,175000,23.6446,35,35
1356.51,44.1176,1588.11,-282.4152526855469,180000,27.3129,36,36
1322.04,43.9552,1787.81,-151.68836975097656,185000,17.2178,37,37
2078.88,44.4647,1815.44,-256.6458435058594,190000,36.4987,38,38
1721.37,44.4017,1601.9,-299.384765625,195000,30.7475,39,39
1090.58,45.3118,1093.12,-338.8081359863281,200000,42.0619,40,40
2471.18,43.4337,2960.26,-159.7973175048828,205000,19.9908,41,41
2211.61,43.4419,2032.84,-205.93081665039062,210000,22.1179,42,42
1760.57,43.6403,1770.03,-239.36573791503906,215000,15.7738,43,43
2428.78,43.0634,2341.11,-192.33644104003906,220000,15.134,44,44
3236.16,42.9229,2951.15,-95.49239349365234,225000,16.1667,45,45
1685.83,43.1872,1831.68,-290.8080139160156,230000,24.0635,46,46
3731.83,42.9122,2668.53,-129.24888610839844,235000,16.7678,47,47
3085.49,43.3555,2518.89,-230.54141235351562,240000,18.7577,48,48
2252.73,42.3487,2955.41,-186.84165954589844,245000,17.5578,49,49
3354.37,43.6643,2958.58,-256.69586181640625,250000,19.3075,50,50
3499.09,42.9692,3498.7,-154.2883758544922,255000,18.0843,51,51
3358.77,42.7551,3060.99,-182.09967041015625,260000,16.786,52,52
3874.67,43.1805,3531.35,-135.0702362060547,265000,17.8594,53,53
3749.52,43.1993,3614.85,-146.4791259765625,270000,17.6568,54,54
3783.16,43.028,3676.18,-125.80180358886719,275000,18.335,55,55
3339.67,42.7589,3728.99,-136.88174438476562,280000,16.4209,56,56
3819.08,42.6946,3756.2,-132.95352172851562,285000,16.9667,57,57
3853.66,43.113,3852.98,-137.6743927001953,290000,18.2019,58,58
3863.36,42.6324,3725.91,-130.2241668701172,295000,18.0926,59,59
3869.22,42.3178,3830.66,-133.2444305419922,300000,16.7073,60,60
3975.21,42.1733,3770.35,-134.63357543945312,305000,17.5007,61,61
3871.82,42.7887,3927.73,-142.7501678466797,310000,17.904,62,62
3961.3,41.5701,3927.66,-151.1607208251953,315000,16.7063,63,63
3876.1,42.3048,3949.09,-157.14988708496094,320000,18.6263,64,64
3862.79,42.6717,3955.02,-155.20179748535156,325000,18.5399,65,65
3899.81,42.572,3858.72,-161.14276123046875,330000,17.8268,66,66
3980.65,42.5247,3885.92,-168.994873046875,335000,17.0503,67,67
3982.21,41.8321,3984.01,-164.37640380859375,340000,16.0815,68,68
4021.36,42.0764,3988.01,-166.1527099609375,345000,16.8818,69,69
3874.22,42.5289,3893.83,-176.11672973632812,350000,16.4516,70,70
4012.6,41.9693,3997.3,-179.84217834472656,355000,17.6821,71,71
3973.66,42.0151,3983.07,-174.7412109375,360000,16.3651,72,72
4054.47,41.9968,3870.8,-191.80714416503906,365000,16.5376,73,73
