Running Env Steps,Real Sto Return,Running Reverse KL,Itration,Reward Loss,Real Det Return,Running Update Time,Running Forward KL
0,446.18,12.7534,0,333.5453796386719,364.62,0,49.9447
5000,404.87,36.8673,1,221.44544982910156,334.15,1,49.8985
10000,346.83,27.6915,2,148.47511291503906,394.01,2,49.4711
15000,337.86,18.2029,3,251.83999633789062,359.69,3,49.5336
20000,397.73,41.5812,4,44.53416061401367,624.03,4,49.7603
25000,540.92,30.6301,5,148.09033203125,650.95,5,49.4837
30000,478.43,33.5084,6,86.57172393798828,722.58,6,49.3752
35000,510.43,20.392,7,214.16482543945312,512.65,7,49.5433
40000,589.82,17.6403,8,254.73541259765625,487.58,8,48.7045
45000,846.16,33.2619,9,101.85161590576172,1018.73,9,46.9534
50000,989.74,33.44,10,109.25880432128906,1233.78,10,48.0939
55000,840.93,21.3218,11,169.5823974609375,1191.78,11,47.329
60000,798.23,37.3907,12,-1.000523567199707,1137.93,12,47.1275
65000,1145.68,17.7543,13,177.83584594726562,1563.17,13,47.1055
70000,1281.8,35.7514,14,39.79384994506836,2065.91,14,47.2194
75000,934.66,37.975,15,25.311738967895508,1830.79,15,47.3155
80000,842.59,37.0195,16,-5.125313758850098,1092.22,16,47.6271
85000,1192.18,34.6068,17,30.00882339477539,1677.86,17,46.7363
90000,1486.09,26.5655,18,56.92759323120117,1863.88,18,46.1515
95000,1599.98,26.0172,19,87.97770690917969,2227.82,19,46.9507
100000,1295.68,22.1074,20,109.896484375,1603.39,20,46.9956
105000,1010.56,18.962,21,322.5870361328125,1340.95,21,47.3014
110000,2659.45,16.3546,22,180.6435546875,3001.07,22,45.9878
115000,1342.85,33.4362,23,43.53097152709961,1640.55,23,47.378
120000,2529.45,16.1298,24,172.10751342773438,3049.01,24,46.1982
125000,1137.48,18.0142,25,-7.025718688964844,843.29,25,47.3792
130000,1275.6,20.1929,26,-2.974092960357666,1749.38,26,46.4677
135000,1671.67,21.9592,27,-47.391204833984375,522.48,27,46.7601
140000,1552.35,29.8847,28,-75.9172134399414,790.52,28,47.3295
145000,1579.2,23.71,29,-11.724204063415527,2817.22,29,46.8873
150000,1644.07,29.8256,30,-80.87992858886719,3032.36,30,46.8321
155000,1176.92,31.966,31,-123.9247055053711,1466.82,31,47.1147
160000,1090.89,30.6592,32,-95.24759674072266,876.09,32,46.7024
165000,1128.04,33.5378,33,-153.35610961914062,1330.19,33,47.0075
170000,1777.83,21.7983,34,-64.36585998535156,824.69,34,46.6555
175000,1352.79,24.1981,35,-97.83318328857422,1914.96,35,46.7027
180000,1649.12,27.1179,36,-108.06620025634766,3256.07,36,46.4151
185000,1586.67,30.0845,37,-161.2322998046875,460.2,37,46.7153
190000,2153.21,19.8776,38,-74.97456359863281,3497.66,38,46.2162
195000,963.01,42.4321,39,-225.8800811767578,1362.22,39,47.0991
