Running Reverse KL,Running Update Time,Running Env Steps,Reward Loss,Running Forward KL,Real Det Return,Real Sto Return,Itration
13.4171,0,0,1654.5960693359375,48.9432,386.66,314.37,0
17.3787,1,5000,1535.3653564453125,49.441,473.24,408.94,1
14.4578,2,10000,631.9478149414062,49.4875,387.54,358.23,2
16.2695,3,15000,1385.8017578125,49.7575,366.96,356.25,3
14.239,4,20000,1739.693603515625,48.8137,433.12,393.47,4
14.8274,5,25000,1809.96142578125,48.6555,416.34,393.72,5
13.8946,6,30000,1213.3739013671875,48.5029,495.5,463.22,6
13.4565,7,35000,1035.08740234375,48.2087,610.95,517.66,7
15.5447,8,40000,1025.701416015625,47.9009,512.11,492.06,8
26.9208,9,45000,1009.9036865234375,48.6262,558.17,513.95,9
16.7512,10,50000,1057.7894287109375,47.8898,611.9,606.59,10
27.4736,11,55000,609.3451538085938,48.1515,555.5,514.68,11
21.3758,12,60000,966.682373046875,48.9769,565.89,551.68,12
34.3423,13,65000,315.4010925292969,47.7947,654.78,683.07,13
40.4595,14,70000,171.08447265625,47.1364,656.1,646.0,14
40.6859,15,75000,185.65150451660156,47.5071,674.35,696.1,15
23.3407,16,80000,450.868896484375,47.1257,681.82,677.35,16
35.413,17,85000,100.03189086914062,47.7239,858.77,768.79,17
17.7945,18,90000,717.4630737304688,46.9669,894.07,809.72,18
15.1273,19,95000,611.0772094726562,46.2261,937.46,949.66,19
15.0002,20,100000,536.2399291992188,47.0765,703.3,759.36,20
17.33,21,105000,-251.85211181640625,46.95,843.4,812.84,21
13.0719,22,110000,407.10980224609375,46.4616,726.87,770.61,22
19.4136,23,115000,262.6805114746094,46.3748,1049.22,860.85,23
13.5523,24,120000,280.3466491699219,46.1638,963.8,1045.04,24
16.709,25,125000,129.90969848632812,47.5132,840.88,807.54,25
24.0692,26,130000,-426.28277587890625,47.1763,913.71,851.46,26
15.6456,27,135000,-506.0526428222656,46.9935,908.14,824.43,27
19.5621,28,140000,-768.5072021484375,46.4509,1859.76,1135.25,28
32.9996,29,145000,-471.1346740722656,46.3526,968.66,1059.23,29
14.8854,30,150000,-227.99603271484375,45.5226,1757.42,963.08,30
22.7539,31,155000,-396.2056579589844,46.0002,1282.96,1139.45,31
15.0719,32,160000,-280.0152893066406,45.2796,2236.05,1836.9,32
14.3613,33,165000,-457.9056701660156,44.9419,2502.37,1920.98,33
15.137,34,170000,-313.16082763671875,45.2142,676.01,1841.52,34
16.6728,35,175000,-459.9909362792969,45.406,1939.67,1367.8,35
15.5065,36,180000,-548.5292358398438,44.5138,2416.53,2228.19,36
15.9027,37,185000,-492.5867614746094,44.7343,2279.93,2277.94,37
15.1499,38,190000,-444.81170654296875,44.9402,2834.81,2807.99,38
16.4492,39,195000,-485.7611999511719,44.5518,2908.66,2926.6,39
16.6585,40,200000,-504.02880859375,45.1277,3098.79,2998.39,40
15.4838,41,205000,-486.5979309082031,44.0907,3190.98,2991.65,41
14.3397,42,210000,-448.597900390625,44.1635,2443.38,2375.36,42
15.4336,43,215000,-530.4877319335938,44.1417,2907.29,2971.35,43
23.286,44,220000,-690.400146484375,44.2524,3255.67,2682.61,44
15.9272,45,225000,-586.0015258789062,44.2032,2867.87,2827.18,45
15.1705,46,230000,-567.8761596679688,44.4812,3320.9,3183.89,46
14.5378,47,235000,-571.5922241210938,44.0259,3303.87,3157.44,47
16.6142,48,240000,-565.8226318359375,43.2746,3490.92,3004.9,48
19.6391,49,245000,-696.1400756835938,44.1073,3282.13,3098.28,49
15.7908,50,250000,-649.6719360351562,43.9294,3383.81,3309.19,50
14.8673,51,255000,-628.2900390625,44.0263,3468.0,3311.95,51
14.5655,52,260000,-718.0170288085938,44.0849,3343.74,3170.83,52
16.3261,53,265000,-770.962890625,43.0755,3548.05,3484.9,53
14.4623,54,270000,-816.1865234375,43.7445,3366.34,3163.59,54
16.4389,55,275000,-672.2891235351562,42.9536,3250.03,3549.45,55
14.9074,56,280000,-815.1270751953125,43.1329,3603.24,3366.27,56
16.9518,57,285000,-805.7184448242188,43.4397,3584.82,3420.49,57
15.6217,58,290000,-772.8703002929688,43.7114,3540.78,3177.58,58
16.9357,59,295000,-748.9698486328125,43.0615,3241.08,3525.41,59
14.4479,60,300000,-935.6627197265625,43.2139,3612.41,3216.22,60
19.6569,61,305000,-1003.6812133789062,42.8967,3724.28,3178.65,61
15.8575,62,310000,-903.4864501953125,43.0708,3632.83,3241.63,62
15.2281,63,315000,-953.3380126953125,43.1513,3659.04,3479.8,63
14.7789,64,320000,-926.7402954101562,42.8501,3747.98,3534.14,64
15.2212,65,325000,-911.3905029296875,42.5914,3768.37,3389.42,65
15.158,66,330000,-916.0728149414062,42.6007,3709.9,3179.41,66
16.2727,67,335000,-1026.9771728515625,42.8317,3793.51,3413.18,67
15.6986,68,340000,-944.4156494140625,42.6405,3843.64,3647.12,68
15.9556,69,345000,-975.301025390625,42.5827,3858.67,3359.18,69
14.2983,70,350000,-1007.542724609375,42.1027,3840.11,3816.72,70
15.5817,71,355000,-1125.479248046875,42.8571,3725.96,3720.88,71
15.3632,72,360000,-1167.935791015625,42.8805,3767.05,3726.1,72
15.0335,73,365000,-1109.6644287109375,42.5183,3846.05,3603.92,73
14.5529,74,370000,-1118.646484375,41.8479,3872.01,3775.39,74
27.0916,75,375000,-1314.5382080078125,42.6863,3982.4,3351.16,75
14.7371,76,380000,-1074.665771484375,41.8902,3848.58,3707.52,76
16.0437,77,385000,-1150.0523681640625,41.7034,3956.86,3509.65,77
14.2999,78,390000,-1150.3280029296875,41.6543,3913.69,3702.91,78
14.1965,79,395000,-1259.4691162109375,41.9696,3939.77,3871.64,79
15.1802,80,400000,-1177.817138671875,41.8442,3796.22,3857.79,80
14.287,81,405000,-1233.8446044921875,41.652,3874.33,3689.88,81
15.0791,82,410000,-1273.708984375,41.8766,3957.64,3746.95,82
14.3664,83,415000,-1286.5511474609375,41.2197,3919.25,3724.5,83
15.9728,84,420000,-1399.19873046875,41.882,3940.96,3757.03,84
16.0218,85,425000,-1464.3897705078125,41.6994,3641.11,3843.05,85
14.4486,86,430000,-1368.951171875,41.8822,3882.5,3873.96,86
18.2121,87,435000,-1591.6173095703125,41.9539,3912.0,3163.69,87
15.4699,88,440000,-1343.67626953125,41.1335,3991.0,3610.66,88
13.6602,89,445000,-1671.64599609375,41.8703,4010.6,2821.23,89
15.5398,90,450000,-1521.3109130859375,41.2078,3963.88,3957.81,90
14.8312,91,455000,-1559.2711181640625,41.8172,4024.19,3587.17,91
