Real Det Return,Reward Loss,Running Update Time,Real Sto Return,Itration,Running Env Steps,Running Reverse KL,Running Forward KL
334.58,86.91824340820312,0,-63.4,0,0,24.9664,74.1959
550.5,45.550357818603516,1,-59.15,1,5000,25.4878,74.2301
572.35,-19.22785186767578,2,-32.15,2,10000,26.2607,73.4101
699.71,-54.35167694091797,3,2.88,3,15000,27.494,73.8841
600.35,-102.53834533691406,4,37.99,4,20000,27.777,73.1192
772.72,-149.84356689453125,5,95.34,5,25000,30.1227,72.5273
761.29,-196.91326904296875,6,107.08,6,30000,30.7729,74.5409
701.18,-283.461669921875,7,90.15,7,35000,30.6683,70.3995
746.82,-322.6741638183594,8,145.7,8,40000,30.9419,72.1828
677.22,-396.3489074707031,9,176.73,9,45000,30.8656,71.7828
768.42,-438.5035400390625,10,141.39,10,50000,30.2866,71.9323
900.85,-500.8233337402344,11,141.68,11,55000,30.1318,72.1859
996.02,-549.4164428710938,12,215.84,12,60000,31.1636,70.2845
829.05,-606.596923828125,13,202.39,13,65000,30.8283,69.0637
693.01,-674.0807495117188,14,153.69,14,70000,30.3548,67.887
767.22,-717.6427612304688,15,199.07,15,75000,30.3129,68.0571
868.26,-791.4547729492188,16,174.22,16,80000,30.0287,70.5356
901.7,-840.8634033203125,17,203.36,17,85000,30.2189,68.5176
797.61,-929.6522827148438,18,154.51,18,90000,30.4583,69.7994
842.09,-981.7910766601562,19,184.09,19,95000,30.5313,69.1394
752.23,-1029.39892578125,20,240.78,20,100000,30.0251,69.924
856.55,-1105.757080078125,21,250.38,21,105000,30.9091,70.8193
882.24,-1134.7606201171875,22,246.24,22,110000,30.3883,66.8187
801.15,-1217.450439453125,23,286.23,23,115000,30.3314,68.4417
794.96,-1274.8404541015625,24,201.26,24,120000,30.3758,67.262
884.38,-1284.8446044921875,25,185.31,25,125000,29.4287,65.7075
771.47,-1374.273681640625,26,200.95,26,130000,29.6095,66.5169
1036.89,-1433.162109375,27,311.52,27,135000,29.6106,65.8338
938.4,-1518.577392578125,28,289.77,28,140000,30.2031,68.1358
761.06,-1576.207275390625,29,323.84,29,145000,29.5113,66.2774
987.98,-1624.5218505859375,30,387.57,30,150000,29.4914,66.2018
1001.18,-1659.404541015625,31,492.77,31,155000,29.55,65.4727
789.42,-1700.0633544921875,32,347.45,32,160000,28.7971,63.7669
745.62,-1813.011962890625,33,325.63,33,165000,29.4763,65.5404
748.84,-1880.9066162109375,34,280.14,34,170000,30.3958,65.9868
