Reward Loss,Running Update Time,Real Det Return,Real Sto Return,Running Forward KL,Itration,Running Env Steps,Running Reverse KL
-25.38245964050293,0,-25.68,-212.97,158.566,0,0,11.8523
-56.16435241699219,1,-321.3,-82.55,158.5623,1,5000,12.2048
-153.79727172851562,2,663.16,220.69,158.3281,2,10000,13.2185
-208.4392547607422,3,755.12,479.22,158.2444,3,15000,14.7099
-189.17652893066406,4,1052.81,608.02,158.2152,4,20000,14.5314
-198.7003173828125,5,1040.42,679.1,158.0806,5,25000,14.5521
-187.61793518066406,6,1154.27,773.59,157.8881,6,30000,14.7763
-200.1851806640625,7,1277.11,921.98,157.9439,7,35000,15.2902
-213.7529296875,8,1292.05,899.96,157.8131,8,40000,15.2549
-241.75009155273438,9,1388.52,995.58,158.0833,9,45000,15.7736
-264.7309875488281,10,1488.28,1091.37,157.6988,10,50000,15.8356
-305.11358642578125,11,1541.17,1156.07,158.0644,11,55000,16.1344
-312.6340026855469,12,1638.82,1181.44,157.7431,12,60000,16.1429
-342.23297119140625,13,1729.42,1258.39,157.644,13,65000,16.3661
-371.4664611816406,14,1700.84,1274.59,157.6894,14,70000,16.0396
-398.1228332519531,15,1692.85,1271.5,157.6398,15,75000,16.0367
-435.5554504394531,16,1785.92,1311.54,157.5842,16,80000,16.0376
-463.137939453125,17,1807.81,1271.55,157.5582,17,85000,15.7242
-481.4660339355469,18,1835.38,1387.34,157.5715,18,90000,15.8928
-511.18499755859375,19,1867.25,1413.92,157.6238,19,95000,15.8728
-539.653564453125,20,1903.9,1473.84,157.5546,20,100000,15.7686
-559.0396118164062,21,1866.63,1455.64,157.6245,21,105000,15.3866
-576.1048583984375,22,1863.76,1479.0,157.5245,22,110000,15.6162
-598.0430908203125,23,1843.57,1489.02,157.5477,23,115000,15.5982
-639.479736328125,24,1925.26,1523.91,157.4028,24,120000,15.5994
-644.3104858398438,25,1947.15,1507.26,157.3909,25,125000,15.696
-683.2791748046875,26,1914.43,1530.66,157.2036,26,130000,15.38
-704.3712158203125,27,1942.58,1575.68,157.1416,27,135000,15.4984
-737.2754516601562,28,1886.75,1559.2,157.3144,28,140000,15.4803
-757.3834228515625,29,1918.33,1613.91,157.2092,29,145000,15.4833
-778.5633544921875,30,1943.97,1611.18,156.9831,30,150000,15.5376
-805.9100952148438,31,2003.3,1636.8,156.9852,31,155000,15.3869
-834.3211669921875,32,1980.97,1621.29,157.0906,32,160000,15.5129
-864.452392578125,33,2053.14,1672.81,156.9882,33,165000,15.7231
-894.501708984375,34,2050.22,1643.75,157.2196,34,170000,15.8
-908.44384765625,35,2014.06,1627.61,157.1165,35,175000,15.2551
-922.0614624023438,36,2092.52,1673.28,156.8478,36,180000,15.6414
-964.8364868164062,37,1994.44,1698.47,157.296,37,185000,15.5457
-976.5078125,38,2096.54,1713.94,157.0088,38,190000,15.4374
-1004.1710205078125,39,2091.58,1712.38,157.0215,39,195000,15.8105
-1042.7142333984375,40,2034.83,1724.72,156.9146,40,200000,15.6224
-1063.0408935546875,41,2028.98,1682.7,156.9293,41,205000,15.3721
-1093.4774169921875,42,2083.69,1710.22,156.8645,42,210000,15.6199
-1098.11328125,43,2051.6,1720.96,156.898,43,215000,15.4004
-1150.6556396484375,44,2127.71,1730.24,156.9032,44,220000,15.4783
-1164.3704833984375,45,2129.42,1745.41,156.7849,45,225000,15.4443
-1189.2620849609375,46,2086.45,1733.09,156.8789,46,230000,15.3675
-1210.6204833984375,47,2106.14,1751.07,156.9005,47,235000,15.3547
-1249.0936279296875,48,2087.47,1741.4,156.8782,48,240000,15.4031
-1273.5755615234375,49,2130.46,1765.21,156.8364,49,245000,15.5123
-1285.5552978515625,50,2135.75,1769.56,156.7896,50,250000,15.7392
-1315.26904296875,51,2129.18,1743.24,156.6833,51,255000,15.4517
-1353.4036865234375,52,2140.62,1755.59,156.8779,52,260000,15.666
-1370.971435546875,53,2164.77,1784.44,156.7769,53,265000,15.4256
-1405.326416015625,54,2115.31,1751.01,156.6915,54,270000,15.7673
-1412.7742919921875,55,2119.78,1787.34,156.9233,55,275000,15.3959
-1455.375732421875,56,2142.3,1777.3,156.8591,56,280000,15.4251
-1486.2430419921875,57,2114.96,1762.04,156.8079,57,285000,15.4509
-1491.86376953125,58,2131.32,1774.45,156.7308,58,290000,15.2017
-1531.7076416015625,59,2072.75,1740.25,156.8363,59,295000,15.2534
-1544.878662109375,60,2143.53,1803.11,156.7413,60,300000,15.4243
-1587.9716796875,61,2179.03,1797.7,156.6429,61,305000,15.4743
-1612.771728515625,62,2108.11,1755.29,156.6965,62,310000,15.1229
-1642.1956787109375,63,2121.95,1809.35,156.6146,63,315000,15.4635
-1676.6612548828125,64,2173.81,1768.27,156.6646,64,320000,15.5
-1705.302978515625,65,2151.58,1801.16,156.7932,65,325000,15.4437
-1730.1412353515625,66,2162.37,1814.05,156.8687,66,330000,15.2015
-1755.422119140625,67,2164.33,1786.2,156.8845,67,335000,15.5502
-1760.8507080078125,68,2152.05,1785.51,156.7148,68,340000,15.1704
-1798.39697265625,69,2179.28,1793.49,156.8818,69,345000,15.5089
-1831.937255859375,70,2169.29,1801.85,156.825,70,350000,15.6368
-1865.4429931640625,71,2186.77,1831.5,156.801,71,355000,15.5967
-1898.6943359375,72,2146.31,1782.07,156.7156,72,360000,15.4797
-1915.1002197265625,73,2199.55,1838.47,156.6645,73,365000,15.4644
-1938.17431640625,74,2136.0,1776.47,156.6899,74,370000,15.1671
-1975.855712890625,75,2195.56,1834.28,156.7295,75,375000,15.412
-2007.6527099609375,76,2165.96,1830.45,156.906,76,380000,15.4538
-2035.3720703125,77,2174.99,1823.98,156.7955,77,385000,15.4812
-2067.0810546875,78,2190.8,1817.33,156.739,78,390000,15.5418
-2103.505615234375,79,2144.27,1777.45,156.6969,79,395000,15.389
-2120.103759765625,80,2173.01,1816.04,156.8073,80,400000,15.7743
-2153.333251953125,81,2168.34,1820.39,156.6216,81,405000,15.3226
-2195.611572265625,82,2149.27,1831.49,156.7788,82,410000,15.5335
-2206.239990234375,83,2169.5,1820.78,156.7284,83,415000,15.2307
-2245.2451171875,84,2182.37,1826.62,156.8382,84,420000,15.6049
-2260.321044921875,85,2174.85,1818.78,156.5815,85,425000,15.4005
-2277.89501953125,86,2198.06,1815.17,156.6713,86,430000,15.0996
-2341.026123046875,87,2188.85,1837.57,156.8437,87,435000,15.2897
-2367.976318359375,88,2160.48,1837.35,156.7378,88,440000,15.5077
-2377.52099609375,89,2225.12,1843.32,156.7084,89,445000,15.4062
-2413.739013671875,90,2225.38,1864.27,156.7974,90,450000,15.535
-2448.43994140625,91,2194.05,1831.62,156.7539,91,455000,15.3613
-2472.091796875,92,2202.51,1852.46,156.6718,92,460000,15.2514
-2505.776123046875,93,2224.01,1862.38,156.7448,93,465000,15.625
-2545.955078125,94,2196.42,1840.52,156.6651,94,470000,15.3775
-2584.7490234375,95,2200.39,1844.62,156.7993,95,475000,15.4264
-2600.9853515625,96,2228.45,1854.57,156.5864,96,480000,15.3316
-2626.78955078125,97,2213.12,1846.61,156.9009,97,485000,15.3116
-2664.75146484375,98,2227.5,1874.93,156.8107,98,490000,15.3279
-2672.003173828125,99,2260.03,1846.38,156.5919,99,495000,15.325
-2737.10009765625,100,2234.04,1846.63,156.762,100,500000,15.3474
-2765.215087890625,101,2212.02,1840.93,156.6801,101,505000,15.2609
-2766.242919921875,102,2189.73,1867.49,156.6786,102,510000,15.001
-2818.563232421875,103,2239.08,1868.8,156.7946,103,515000,15.4769
-2868.41357421875,104,2208.89,1846.77,156.7161,104,520000,15.1591
-2877.775390625,105,2226.41,1864.57,156.6903,105,525000,15.1808
-2920.39208984375,106,2242.57,1882.36,156.5727,106,530000,15.1397
-2948.074951171875,107,2263.45,1876.67,156.4928,107,535000,15.2378
-2975.22265625,108,2254.65,1852.7,156.7418,108,540000,15.2112
-3015.111328125,109,2250.46,1877.59,156.5731,109,545000,15.2289
-3069.857666015625,110,2250.7,1858.31,156.5736,110,550000,15.4061
-3082.448974609375,111,2212.52,1851.52,156.5914,111,555000,15.1038
-3122.63916015625,112,2265.98,1893.06,156.5808,112,560000,15.3897
-3149.91748046875,113,2233.33,1850.97,156.5821,113,565000,15.2622
-3205.439208984375,114,2237.54,1894.43,156.6695,114,570000,15.4698
-3216.76904296875,115,2232.15,1883.21,156.7341,115,575000,15.5613
-3240.99755859375,116,2204.69,1862.25,156.6497,116,580000,15.1391
-3288.522705078125,117,2277.63,1907.02,156.7465,117,585000,15.4346
-3313.629150390625,118,2248.18,1883.9,156.717,118,590000,15.3116
-3334.791015625,119,2240.3,1877.93,156.6434,119,595000,15.1238
-3401.91162109375,120,2207.41,1880.24,156.7689,120,600000,15.3465
-3411.27685546875,121,2237.67,1860.44,156.8207,121,605000,15.0805
-3468.418212890625,122,2260.52,1873.87,156.7312,122,610000,15.3926
-3509.031494140625,123,2233.83,1916.97,156.6243,123,615000,15.5833
-3550.469482421875,124,2159.85,1853.54,156.7645,124,620000,15.1522
-3591.01904296875,125,2222.22,1878.55,156.8824,125,625000,15.4425
-3603.302490234375,126,2259.73,1907.67,156.7559,126,630000,15.6442
-3628.004150390625,127,2274.36,1914.85,156.7729,127,635000,15.3515
-3695.24072265625,128,2252.6,1883.85,156.6148,128,640000,15.1985
-3721.3193359375,129,2255.09,1909.25,156.7986,129,645000,15.3779
-3768.004150390625,130,2249.0,1857.98,156.6537,130,650000,15.1139
-3787.877685546875,131,2279.69,1891.15,156.6338,131,655000,15.2952
-3834.26171875,132,2293.6,1913.75,156.6193,132,660000,15.2576
-3864.768798828125,133,2213.01,1860.65,156.6751,133,665000,14.9581
-3902.369873046875,134,2250.4,1890.57,156.6969,134,670000,15.1295
-3937.8984375,135,2253.33,1883.79,156.795,135,675000,15.2234
-3964.929443359375,136,2256.45,1911.84,156.7074,136,680000,15.3311
-4010.2548828125,137,2254.63,1887.5,156.6725,137,685000,14.9683
-4057.4130859375,138,2247.85,1878.31,156.7077,138,690000,15.0169
-4106.69580078125,139,2277.69,1918.44,156.6032,139,695000,15.4117
-4136.99267578125,140,2263.1,1916.23,156.4447,140,700000,15.0912
-4167.4033203125,141,2281.19,1927.42,156.5124,141,705000,15.1977
-4236.40673828125,142,2265.35,1894.06,156.6746,142,710000,15.4016
-4260.6005859375,143,2205.68,1863.34,156.4177,143,715000,14.8875
-4288.1884765625,144,2267.09,1924.28,156.603,144,720000,15.22
-4322.43994140625,145,2271.2,1927.72,156.5017,145,725000,15.3843
-4375.5810546875,146,2268.2,1918.91,156.6665,146,730000,15.3462
-4425.8212890625,147,2264.91,1905.75,156.6112,147,735000,15.3172
-4477.04345703125,148,2237.11,1887.25,156.5569,148,740000,15.2429
-4498.4921875,149,2264.55,1881.39,156.6246,149,745000,15.0746
-4520.7705078125,150,2296.02,1908.02,156.7168,150,750000,15.2443
-4575.93115234375,151,2303.71,1931.9,156.5803,151,755000,15.3738
-4630.638671875,152,2260.62,1893.66,156.7465,152,760000,15.1814
-4640.54443359375,153,2294.93,1907.14,156.6158,153,765000,15.1422
-4723.697265625,154,2262.92,1926.67,156.5016,154,770000,15.1639
-4736.2646484375,155,2309.28,1932.94,156.654,155,775000,15.1935
-4806.326171875,156,2265.43,1905.71,156.7943,156,780000,15.1405
-4843.025390625,157,2244.96,1910.99,156.4867,157,785000,15.3006
-4892.98876953125,158,2280.54,1892.81,156.7884,158,790000,15.3811
-4948.57080078125,159,2231.02,1907.07,156.5833,159,795000,15.0152
