Real Sto Return,Running Env Steps,Running Update Time,Itration,Reward Loss,Real Det Return,Running Forward KL,Running Reverse KL
-154.77,0,0,0,2120.690185546875,-7.46,158.5,11.7404
-24.84,5000,1,1,1937.2216796875,324.02,158.5715,12.1248
201.26,10000,2,2,2003.3349609375,819.32,158.3748,12.7094
291.1,15000,3,3,1724.4830322265625,801.03,158.2378,12.9112
560.43,20000,4,4,2173.08935546875,891.83,158.1341,14.2731
565.44,25000,5,5,1834.312744140625,720.53,157.9786,13.786
730.95,30000,6,6,1535.4063720703125,1136.9,158.0991,14.5467
858.97,35000,7,7,1210.6925048828125,1295.59,157.8445,14.8244
996.78,40000,8,8,1098.845703125,1453.62,157.8853,15.8665
1095.92,45000,9,9,964.04638671875,1549.22,157.7266,16.1989
1128.85,50000,10,10,629.3511352539062,1502.17,157.7598,16.4218
1190.01,55000,11,11,520.5604248046875,1561.28,157.8889,17.279
1189.09,60000,12,12,355.1026916503906,1643.27,157.8279,16.6251
1228.24,65000,13,13,108.89519500732422,1637.45,157.8863,16.9071
1231.59,70000,14,14,-102.54786682128906,1610.09,157.842,16.6566
1251.11,75000,15,15,-299.053466796875,1684.69,157.5897,16.2933
1272.42,80000,16,16,-574.948974609375,1760.32,157.6344,16.5155
1303.54,85000,17,17,-774.4982299804688,1741.68,157.7777,16.7409
1298.6,90000,18,18,-995.6593627929688,1750.04,157.7671,16.4547
1340.23,95000,19,19,-1230.1483154296875,1781.31,157.5256,16.342
1408.25,100000,20,20,-1463.1771240234375,1813.18,157.6522,16.132
1405.56,105000,21,21,-1663.3641357421875,1847.6,157.7629,16.5068
1437.99,110000,22,22,-1867.4180908203125,1845.63,157.7339,16.6386
1454.0,115000,23,23,-2105.766845703125,1846.93,157.6205,16.4491
1465.93,120000,24,24,-2352.483642578125,1866.66,157.7073,16.0233
1514.11,125000,25,25,-2521.623779296875,1913.4,157.6148,16.5102
1525.72,130000,26,26,-2711.197265625,1874.47,157.5149,16.3404
1528.74,135000,27,27,-2954.648193359375,1881.99,157.5779,16.4246
1586.88,140000,28,28,-3059.8515625,1965.96,157.736,16.8149
1527.03,145000,29,29,-3445.4267578125,1946.76,157.4617,16.2549
1564.2,150000,30,30,-3632.423095703125,1922.39,157.5909,16.2804
1625.88,155000,31,31,-3776.331787109375,1981.92,157.744,16.5945
1579.83,160000,32,32,-4054.66455078125,1895.56,157.7529,16.4524
1615.05,165000,33,33,-4236.56298828125,1969.72,157.5427,16.3388
1587.41,170000,34,34,-4458.52294921875,1962.64,157.3784,16.355
1592.76,175000,35,35,-4628.90185546875,1959.21,157.634,16.5032
1634.34,180000,36,36,-4822.77685546875,2029.54,157.2679,16.2062
1540.29,185000,37,37,-5167.42822265625,1826.26,157.7924,15.8931
1606.13,190000,38,38,-5312.74072265625,1947.97,157.4011,15.9142
1655.16,195000,39,39,-5490.0546875,2002.76,157.2658,16.2035
1600.33,200000,40,40,-5701.94384765625,1923.08,157.5894,16.0861
1625.22,205000,41,41,-5878.34619140625,1975.05,157.3894,16.3783
1654.67,210000,42,42,-6101.81396484375,2035.47,157.3633,16.3174
1696.74,215000,43,43,-6353.2919921875,2041.04,157.3829,16.274
1722.91,220000,44,44,-6473.09228515625,2088.09,157.296,16.4207
1704.34,225000,45,45,-6666.466796875,2079.51,157.1982,16.2838
1642.19,230000,46,46,-6985.6044921875,1977.14,157.1986,15.8902
1686.4,235000,47,47,-7044.560546875,2083.4,157.1222,16.037
1684.02,240000,48,48,-7350.01171875,2030.48,157.3004,16.0036
1691.28,245000,49,49,-7466.98779296875,2080.17,157.2564,16.0691
1712.07,250000,50,50,-7719.18896484375,2081.16,157.1597,16.0758
1725.85,255000,51,51,-7817.10400390625,2105.51,156.941,15.9983
1684.52,260000,52,52,-8078.392578125,2027.38,157.0632,15.6642
1726.98,265000,53,53,-8311.8857421875,2051.57,156.7335,15.657
1721.57,270000,54,54,-8493.716796875,2091.82,157.1446,16.0929
