Running Env Steps,Real Det Return,Real Sto Return,Itration,Reward Loss,Running Forward KL,Running Update Time,Running Reverse KL
0,263.0,-82.14,0,12.788817405700684,76.1794,0,25.8467
5000,521.1,-60.49,1,0.22082775831222534,75.1414,1,26.5498
10000,631.31,-17.62,2,-13.966083526611328,74.6163,2,26.7606
15000,602.25,-27.72,3,-31.059816360473633,73.9373,3,27.1544
20000,697.91,9.83,4,-44.947242736816406,73.1852,4,29.441
25000,815.39,85.1,5,-53.956329345703125,71.5914,5,29.305
30000,800.51,132.25,6,-66.53727722167969,74.4685,6,31.8894
35000,835.81,173.69,7,-79.89340209960938,71.1066,7,31.6445
40000,783.84,117.2,8,-87.8294677734375,72.2944,8,32.6346
45000,784.54,130.86,9,-104.1115951538086,69.9704,9,32.725
50000,705.68,141.49,10,-115.2756118774414,70.6398,10,31.9265
55000,815.05,262.63,11,-125.451416015625,70.2687,11,31.8409
60000,901.13,257.17,12,-139.76931762695312,67.6682,12,31.4321
65000,860.38,234.99,13,-147.5391387939453,66.953,13,31.6813
70000,898.11,352.25,14,-163.51766967773438,65.3245,14,31.4955
75000,1219.93,367.2,15,-171.11376953125,64.2081,15,30.0666
80000,1281.96,447.51,16,-174.33267211914062,59.7664,16,28.6653
85000,1490.52,416.68,17,-181.3017120361328,57.8867,17,28.7878
90000,1452.47,578.2,18,-191.071533203125,57.5688,18,27.5705
95000,1159.27,479.58,19,-217.55657958984375,61.7037,19,29.3115
100000,1047.19,355.44,20,-222.30960083007812,60.7161,20,28.2339
105000,1733.67,625.3,21,-221.0194854736328,57.01,21,25.8516
110000,1130.12,600.24,22,-220.80821228027344,54.8883,22,24.3239
115000,1820.04,713.58,23,-216.72283935546875,53.0382,23,24.6649
120000,1717.93,774.46,24,-230.77272033691406,52.6072,24,23.639
125000,1621.96,736.68,25,-265.31768798828125,56.3273,25,25.6462
130000,2012.3,915.78,26,-205.74916076660156,48.6444,26,23.286
135000,1736.76,934.19,27,-275.9173583984375,55.0412,27,25.1725
140000,2110.34,1057.37,28,-238.92849731445312,50.6424,28,23.2326
145000,999.2,498.78,29,-293.7633361816406,56.4527,29,24.8871
150000,2097.22,1539.39,30,-249.7347869873047,50.5561,30,24.2339
155000,2396.74,1339.38,31,-253.63272094726562,51.9309,31,24.6403
160000,2445.86,1465.14,32,-242.6945037841797,48.9626,32,22.9711
165000,2320.52,1447.13,33,-244.56614685058594,48.7352,33,21.7849
170000,1834.95,907.92,34,-346.362060546875,55.2283,34,24.0717
175000,1442.38,1118.96,35,-291.5744323730469,51.3414,35,21.9367
180000,1243.1,689.97,36,-293.3843688964844,50.9111,36,20.3369
185000,2302.37,1574.76,37,-277.3875427246094,50.8157,37,22.3243
190000,1232.38,1144.06,38,-327.24786376953125,51.7903,38,21.2545
195000,1766.93,965.41,39,-262.780029296875,50.6788,39,22.4782
200000,1688.58,1115.19,40,-303.40618896484375,49.6448,40,20.9833
205000,1418.5,679.84,41,-350.3679504394531,53.8022,41,21.8558
210000,1762.55,1089.86,42,-351.74298095703125,52.1076,42,21.5585
215000,2464.54,2444.64,43,-250.2913818359375,48.7648,43,23.7668
220000,1289.11,1219.17,44,-404.8404541015625,54.2703,44,22.925
225000,2110.84,1510.01,45,-328.3191833496094,51.8838,45,21.6639
230000,3378.18,2455.66,46,-351.7793884277344,52.227,46,21.8986
235000,2413.61,1700.49,47,-327.38348388671875,52.6714,47,23.7162
240000,3701.28,1869.51,48,-242.6779327392578,53.4106,48,29.4117
245000,3205.56,2466.26,49,-257.1041564941406,55.5199,49,32.1256
250000,3109.08,2959.83,50,-275.6851806640625,58.6917,50,40.9392
255000,1808.36,2319.03,51,-256.17974853515625,55.9705,51,31.3948
260000,2939.84,2542.02,52,-299.9884338378906,56.1388,52,30.7001
265000,3567.39,2526.8,53,-274.9243469238281,54.5807,53,29.973
270000,3351.0,2261.84,54,-271.3502197265625,56.6971,54,34.3024
275000,3958.85,3542.79,55,-301.1537170410156,55.9369,55,30.4978
280000,1265.81,1310.27,56,-430.0632019042969,58.0327,56,26.5092
285000,2899.47,1917.87,57,-346.37451171875,57.1624,57,30.1938
290000,3527.18,1809.2,58,-317.81512451171875,56.5135,58,30.2434
295000,3447.02,2924.39,59,-339.3466491699219,57.3214,59,30.9251
300000,2554.08,2343.71,60,-322.7828674316406,58.8666,60,37.1469
305000,2846.98,2590.62,61,-402.2248840332031,57.5891,61,30.5768
310000,3356.48,2759.83,62,-337.5410461425781,59.1049,62,37.5778
315000,3721.71,3264.85,63,-436.8250732421875,60.5884,63,33.2344
320000,2502.13,2517.58,64,-382.095458984375,58.1307,64,33.483
325000,3082.9,2338.77,65,-400.8380432128906,58.7618,65,31.6184
330000,3076.67,2877.71,66,-438.70281982421875,60.7572,66,36.9063
335000,4040.68,2652.19,67,-412.4502868652344,60.4245,67,38.4011
340000,4914.17,3958.52,68,-412.236328125,60.2602,68,41.7316
345000,2814.39,2383.57,69,-539.456298828125,61.833,69,32.4303
350000,2649.68,2721.64,70,-415.3160095214844,60.4761,70,37.5395
355000,4554.02,3958.75,71,-383.2684020996094,63.0281,71,47.0911
360000,2924.49,2677.62,72,-454.0108337402344,62.8061,72,42.7067
365000,2868.11,2467.17,73,-473.8966369628906,60.7666,73,36.2434
370000,3367.83,3274.91,74,-443.01904296875,63.321,74,46.5109
375000,1511.85,2019.32,75,-452.44549560546875,63.5026,75,45.5272
380000,4286.2,3424.87,76,-421.68719482421875,66.573,76,50.4521
385000,3483.46,3302.24,77,-431.9160461425781,64.2175,77,47.9565
390000,4040.28,3514.96,78,-462.2767639160156,63.8005,78,49.3076
395000,3833.52,3598.94,79,-506.84844970703125,64.3582,79,51.0833
400000,3465.78,2249.49,80,-580.3711547851562,64.0438,80,41.9238
405000,4132.37,3827.47,81,-550.0150756835938,63.949,81,45.5994
410000,3594.19,3366.88,82,-583.6205444335938,64.0939,82,42.2079
415000,4298.31,3396.93,83,-516.3560791015625,65.9256,83,47.3001
420000,3747.29,3053.19,84,-553.115966796875,64.2536,84,43.0234
425000,4243.92,3270.87,85,-642.5294799804688,64.2776,85,42.4913
430000,5117.69,4623.39,86,-531.0537719726562,69.6324,86,56.6181
435000,4534.85,3610.63,87,-623.7388916015625,64.2218,87,42.5892
440000,4814.29,4061.4,88,-599.1934814453125,72.0195,88,60.0221
445000,4968.05,4002.33,89,-607.8699340820312,69.374,89,56.6432
450000,5167.0,4371.17,90,-613.607421875,68.5811,90,52.1416
455000,4472.41,3200.38,91,-592.2583618164062,66.6554,91,51.8708
460000,4304.86,2528.87,92,-664.4910278320312,64.7221,92,44.5444
465000,4853.13,4487.42,93,-630.69189453125,67.8172,93,52.2903
470000,4956.63,4783.21,94,-656.98828125,65.9867,94,51.8495
475000,5023.58,3864.49,95,-705.4845581054688,66.3586,95,50.7869
480000,4244.11,4183.99,96,-697.079345703125,66.6908,96,54.7613
485000,4864.07,4634.84,97,-679.1399536132812,71.9956,97,60.1896
490000,5125.23,3558.83,98,-777.4334106445312,65.9993,98,47.1771
495000,4853.14,4307.46,99,-713.6607055664062,70.4771,99,56.4185
500000,3869.34,3101.58,100,-731.8677978515625,66.1448,100,50.6056
505000,5236.9,4503.03,101,-778.1800537109375,72.1314,101,59.3482
510000,3904.08,3374.89,102,-803.8116455078125,64.4529,102,44.0112
515000,4867.23,4771.56,103,-800.7154541015625,74.3937,103,66.3882
