Running Env Steps,Reward Loss,Real Det Return,Running Update Time,Running Reverse KL,Itration,Real Sto Return,Running Forward KL
0,-112.05513763427734,391.64,0,12.5563,0,232.3,49.6608
5000,-29.970212936401367,440.21,1,15.0785,1,391.37,49.2795
10000,-91.76754760742188,352.35,2,14.5153,2,342.11,49.2849
15000,-96.41151428222656,399.99,3,14.2723,3,314.5,49.0856
20000,-100.81101989746094,413.51,4,13.9025,4,418.29,49.115
25000,-85.38138580322266,383.4,5,14.049,5,388.87,48.5446
30000,-105.71517181396484,476.86,6,12.5928,6,262.07,48.6233
35000,-139.21847534179688,447.84,7,13.6637,7,457.6,48.6533
40000,-161.7103729248047,458.82,8,12.9001,8,421.64,48.0384
45000,-130.49099731445312,436.9,9,13.9927,9,422.34,49.0966
50000,-158.34634399414062,458.78,10,13.2719,10,517.82,48.6896
55000,-150.73635864257812,599.28,11,13.1669,11,555.5,47.9723
60000,-138.682373046875,650.9,12,16.5869,12,690.24,46.9761
65000,-209.08746337890625,524.61,13,12.8372,13,466.74,47.7262
70000,-205.99949645996094,646.3,14,13.3062,14,586.21,47.2179
75000,-167.026611328125,851.78,15,14.0852,15,693.28,46.3988
80000,-189.07159423828125,1232.46,16,13.6758,16,753.2,46.3994
85000,-221.5130615234375,609.58,17,13.3192,17,535.33,47.3588
90000,-216.64024353027344,677.45,18,15.3418,18,725.24,46.3267
95000,-215.1190948486328,631.62,19,14.9005,19,701.23,45.6469
100000,-251.8072967529297,669.46,20,14.8762,20,677.15,45.6759
105000,-248.2161407470703,675.52,21,14.2184,21,790.25,45.234
110000,-327.3749694824219,1043.77,22,13.6649,22,840.79,45.6274
115000,-277.30230712890625,1221.78,23,16.9983,23,1086.0,44.5336
120000,-312.19427490234375,1014.64,24,16.7003,24,894.19,44.8811
125000,-194.8957977294922,1534.58,25,31.1706,25,1498.79,44.8251
130000,-197.8656005859375,1620.51,26,32.267,26,1292.94,44.0394
135000,-227.88983154296875,1692.35,27,28.9564,27,1287.73,44.7318
140000,-275.8652648925781,1683.18,28,18.8149,28,1779.18,42.9561
145000,-317.3944396972656,2445.12,29,18.786,29,1626.61,44.0177
