Running Forward KL,Real Det Return,Real Sto Return,Itration,Running Reverse KL
158.2276,-98.65,-176.33,0,11.0894
158.1865,-2.71,-66.64,1,11.3316
157.8614,611.47,84.92,2,11.4508
157.6932,631.51,188.21,3,11.43
157.5989,753.68,375.5,4,11.9443
157.5887,802.55,464.85,5,12.4187
157.8,1194.34,647.88,6,13.4928
157.8138,1148.97,761.94,7,14.2742
157.5299,1339.67,787.77,8,14.7044
157.694,1481.12,1028.16,9,15.5293
157.4192,1547.8,1122.76,10,15.6596
157.5285,1655.17,1208.41,11,15.8025
157.6404,1650.33,1235.25,12,16.3821
157.5505,1746.14,1292.46,13,16.3838
157.6361,1791.04,1323.03,14,16.28
157.5767,1782.93,1305.9,15,16.199
157.218,1879.98,1421.11,16,16.2037
157.5128,1811.39,1412.0,17,16.1702
157.195,1895.94,1452.81,18,15.6758
157.4518,1930.05,1454.47,19,16.1821
157.536,1872.44,1477.36,20,16.0945
157.4158,1913.18,1494.83,21,16.1717
157.4867,1872.44,1503.64,22,15.8189
157.1208,1920.41,1485.23,23,15.5334
157.6313,1977.18,1559.24,24,16.7533
157.2734,1878.52,1590.33,25,16.0038
157.2891,1979.03,1601.54,26,16.2003
157.2485,1934.4,1603.96,27,15.7816
157.5104,1978.46,1554.28,28,16.1559
157.4589,1982.69,1577.27,29,16.3034
157.1712,1976.44,1589.75,30,15.956
157.2203,2003.9,1615.56,31,15.951
157.068,2041.12,1652.06,32,15.7761
157.1966,2000.12,1652.5,33,15.8729
157.0823,2010.21,1648.08,34,15.9016
157.179,2015.27,1650.05,35,15.8042
157.1056,1979.81,1649.99,36,15.7401
157.1503,2067.68,1664.34,37,15.9978
157.3153,1935.16,1626.72,38,15.8594
157.0968,2074.05,1684.13,39,15.6678
157.1757,1969.44,1639.32,40,15.4568
157.0774,1991.13,1652.54,41,15.3592
157.215,1968.62,1626.8,42,15.542
156.9632,2020.58,1653.31,43,15.705
156.8907,2060.58,1672.54,44,15.6222
157.0902,2023.79,1668.97,45,15.3343
157.0586,2001.91,1712.23,46,15.6554
156.8541,2097.57,1694.15,47,15.4427
157.1509,1970.57,1649.37,48,15.4344
157.0538,2062.87,1692.49,49,15.607
156.9727,2083.53,1729.9,50,15.6909
157.0001,1995.87,1648.84,51,15.2166
156.8404,2051.65,1698.87,52,15.4896
156.8541,2108.85,1713.16,53,15.4342
156.9255,2021.65,1700.31,54,15.4393
156.9573,2075.81,1704.28,55,15.4865
156.9244,2041.0,1688.24,56,15.3697
157.0347,2087.16,1749.35,57,15.6449
156.7806,2073.13,1733.39,58,15.3056
156.9932,2059.09,1708.77,59,15.0709
156.8565,2178.35,1768.29,60,15.911
156.954,2028.27,1723.31,61,15.2311
156.9759,2107.53,1740.43,62,15.2101
156.9537,2127.56,1749.09,63,15.2848
156.8599,2142.78,1763.63,64,15.7049
157.0082,2148.64,1757.06,65,15.5273
156.7557,2094.96,1778.4,66,15.4044
156.727,2041.45,1739.83,67,14.9973
156.9598,2147.37,1799.4,68,15.5917
156.8588,2138.49,1779.67,69,15.4009
156.7061,2178.99,1795.35,70,15.4749
156.7297,2120.64,1784.32,71,15.2271
156.8378,2128.52,1753.53,72,15.1689
156.9972,2150.34,1784.67,73,15.6689
156.6716,2142.91,1760.91,74,15.1968
156.7655,2119.02,1792.54,75,15.1918
156.9168,2081.35,1740.99,76,15.3633
156.7408,2181.35,1798.33,77,15.3666
156.727,2108.91,1784.22,78,15.3196
156.7674,2156.36,1807.79,79,15.3822
156.7818,2158.47,1820.4,80,15.6217
156.6573,2181.66,1827.59,81,15.6
156.7458,2179.37,1805.73,82,15.1681
