Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Running Env Steps,Real Det Return,Reward Loss,Running Update Time
13.5728,32.3508,236.96,0,0,281.94,-116.08314514160156,0
28.7227,31.6145,272.46,1,5000,268.01,-102.31974792480469,1
33.0412,30.8111,315.9,2,10000,317.33,-133.10525512695312,2
25.3401,30.3104,319.18,3,15000,319.87,-124.55791473388672,3
15.4311,28.4454,285.7,4,20000,279.44,506.7388000488281,4
20.38,30.5014,349.05,5,25000,346.07,-99.77937316894531,5
26.2493,30.4775,333.6,6,30000,313.55,-190.3389434814453,6
25.9685,28.095,401.0,7,35000,399.28,-262.9419250488281,7
26.4087,27.7912,479.11,8,40000,495.45,-310.9257507324219,8
24.966,26.6426,197.6,9,45000,156.19,-327.4130554199219,9
24.2881,26.752,506.74,10,50000,523.74,-432.9319763183594,10
23.8913,26.6328,518.18,11,55000,574.88,-468.1268005371094,11
23.567,26.4235,544.91,12,60000,583.16,-506.1580810546875,12
29.6397,25.9362,571.71,13,65000,619.28,-534.0596313476562,13
27.1922,25.9728,571.77,14,70000,584.05,-579.0643310546875,14
25.8155,26.6086,659.79,15,75000,701.81,-600.5016479492188,15
22.8429,26.0349,689.07,16,80000,667.52,-651.8114013671875,16
24.8334,26.1737,485.58,17,85000,712.82,-678.8267211914062,17
20.8252,26.3597,762.08,18,90000,793.21,-687.8259887695312,18
16.7492,26.8089,891.92,19,95000,904.51,-755.7598876953125,19
16.7861,26.0443,850.57,20,100000,865.12,-791.9313354492188,20
17.3984,27.0245,836.49,21,105000,869.13,-817.9796142578125,21
16.7256,26.0816,779.34,22,110000,735.58,-846.3908081054688,22
16.1906,25.8848,821.9,23,115000,816.07,-895.675537109375,23
16.0571,23.3363,1818.97,24,120000,3047.29,-722.5725708007812,24
15.1891,26.3796,893.78,25,125000,886.05,-959.9058837890625,25
14.8512,25.8518,856.14,26,130000,844.33,-995.6286010742188,26
14.3905,25.3367,734.8,27,135000,720.68,-981.2572021484375,27
13.8751,25.1922,828.4,28,140000,878.42,-896.2462768554688,28
14.3111,26.5108,782.18,29,145000,789.75,-985.2251586914062,29
14.7231,26.0323,853.39,30,150000,841.01,-1071.7894287109375,30
14.023,26.4457,825.95,31,155000,860.87,-1034.9329833984375,31
14.5558,25.7381,902.07,32,160000,933.48,-1107.1265869140625,32
14.054,24.4705,1063.01,33,165000,1446.14,-1030.4569091796875,33
15.1897,26.0099,840.85,34,170000,882.73,-1117.32958984375,34
14.4053,25.6415,861.72,35,175000,905.99,-1145.7344970703125,35
14.9679,24.5785,1173.76,36,180000,1324.97,-1102.03125,36
14.6014,23.4135,1785.33,37,185000,1284.69,-1039.8802490234375,37
17.4142,26.3409,946.74,38,190000,953.37,-1307.8192138671875,38
18.8691,25.5483,932.85,39,195000,963.71,-1405.95556640625,39
18.0097,24.7967,1053.45,40,200000,1046.96,-1280.345703125,40
15.3497,23.8269,2132.45,41,205000,2918.84,-984.7147216796875,41
16.1489,24.2552,2293.43,42,210000,2907.3,-779.8145751953125,42
17.7061,23.5455,1158.99,43,215000,1600.92,-1278.1202392578125,43
14.6699,23.8206,2910.16,44,220000,2878.53,-545.2100830078125,44
14.1574,22.91,1563.1,45,225000,820.38,-529.2288208007812,45
14.6441,23.1517,2901.76,46,230000,2968.32,-421.8438720703125,46
14.0526,22.1176,2600.77,47,235000,3051.0,-672.7098388671875,47
15.7608,21.8173,2077.41,48,240000,3122.59,-621.9330444335938,48
13.4204,21.6502,2614.43,49,245000,3136.39,-613.0792846679688,49
14.255,21.9856,2524.09,50,250000,3077.85,-813.3851318359375,50
13.4776,22.0143,2744.11,51,255000,2726.28,-448.4747009277344,51
14.6318,23.1241,2561.37,52,260000,3151.71,-693.493896484375,52
13.6014,22.6833,2976.23,53,265000,2522.14,-342.0238037109375,53
18.3573,23.2679,2307.97,54,270000,3197.08,-1005.2847290039062,54
14.4118,22.2876,3077.02,55,275000,3088.54,-330.70062255859375,55
14.2375,22.37,2365.87,56,280000,2084.06,-628.0066528320312,56
20.9239,23.576,1879.12,57,285000,3173.98,-1253.1025390625,57
14.6896,22.0216,2782.74,58,290000,3181.55,-607.1399536132812,58
14.7775,22.1795,2833.23,59,295000,3162.25,-661.1930541992188,59
14.1103,21.5446,2999.69,60,300000,3200.8,-516.3558349609375,60
13.9471,20.9666,3202.28,61,305000,3199.29,-402.7300720214844,61
14.2688,21.484,3047.0,62,310000,3234.32,-525.1996459960938,62
14.0225,21.1992,3224.59,63,315000,3229.43,-467.8031311035156,63
13.6227,21.0509,3167.54,64,320000,3180.27,-534.4353637695312,64
15.4127,22.2146,3089.77,65,325000,3188.1,-731.8156127929688,65
14.3635,21.0229,2731.09,66,330000,3251.22,-732.963623046875,66
13.8406,20.9427,3199.65,67,335000,3201.99,-524.5807495117188,67
14.3046,21.164,3249.48,68,340000,3251.54,-474.16424560546875,68
13.5499,20.4549,3239.35,69,345000,3235.92,-495.25030517578125,69
13.4867,20.4479,3245.74,70,350000,3253.99,-488.16351318359375,70
14.2181,20.9642,3149.91,71,355000,3252.67,-466.4359436035156,71
13.974,21.5362,3276.62,72,360000,3285.23,-483.9460754394531,72
14.7488,21.2726,3269.72,73,365000,3276.47,-492.2301330566406,73
13.2621,19.9058,3252.59,74,370000,3269.79,-504.83575439453125,74
11.8768,19.5095,3207.7,75,375000,3258.5,-570.2462768554688,75
12.8965,20.5626,3259.72,76,380000,3267.96,-544.3116455078125,76
12.6538,19.9311,3288.03,77,385000,3308.91,-523.5579223632812,77
13.1743,20.6512,3258.6,78,390000,3280.09,-604.708984375,78
13.249,19.4066,3310.85,79,395000,3317.46,-528.1226196289062,79
13.7187,20.2003,3286.85,80,400000,3297.37,-534.9635009765625,80
13.3741,20.3161,3289.57,81,405000,3303.29,-573.8025512695312,81
12.6425,18.7671,3316.3,82,410000,3316.41,-517.6714477539062,82
13.0296,19.5071,3287.08,83,415000,3295.85,-587.8108520507812,83
13.3733,20.0856,3250.6,84,420000,3257.42,-612.8876953125,84
12.1799,19.5172,3243.82,85,425000,3270.67,-633.3993530273438,85
12.5256,18.9684,3306.07,86,430000,3343.96,-601.3977661132812,86
13.1882,19.7994,3281.9,87,435000,3297.42,-685.948974609375,87
12.5661,19.628,3231.38,88,440000,3340.53,-564.6840209960938,88
13.3879,19.3551,3341.49,89,445000,3335.97,-545.1494140625,89
14.4246,20.1416,3141.95,90,450000,3322.03,-737.6595458984375,90
12.5408,18.4614,3368.19,91,455000,3382.19,-501.01287841796875,91
11.6297,18.1558,3336.82,92,460000,3365.07,-621.0921020507812,92
11.7338,18.5026,3228.18,93,465000,3331.83,-603.1554565429688,93
12.237,18.6637,3345.73,94,470000,3382.3,-646.2816162109375,94
12.128,19.0251,3312.19,95,475000,3352.19,-688.0752563476562,95
12.5854,18.617,3307.85,96,480000,3339.79,-667.9461059570312,96
12.2333,18.2829,3324.87,97,485000,3355.3,-571.9541015625,97
12.6852,19.444,3307.42,98,490000,3333.88,-623.7726440429688,98
13.599,19.5671,3342.68,99,495000,3364.75,-631.9673461914062,99
13.6505,19.3335,3355.31,100,500000,3372.75,-629.7106323242188,100
13.6019,19.69,3356.3,101,505000,3381.93,-652.2796020507812,101
12.8131,18.7985,3319.19,102,510000,3320.05,-716.1328735351562,102
13.1844,19.0294,3341.98,103,515000,3363.41,-688.8340454101562,103
12.8166,19.7786,3371.25,104,520000,3404.1,-649.1337280273438,104
12.7251,19.258,3338.8,105,525000,3352.93,-719.8291015625,105
12.0199,18.1627,3332.48,106,530000,3344.48,-743.1222534179688,106
12.4833,19.2727,3347.57,107,535000,3376.04,-743.224853515625,107
11.5259,17.4918,3381.12,108,540000,3412.58,-589.7202758789062,108
13.1549,18.7793,3351.08,109,545000,3378.58,-719.968017578125,109
11.5965,18.355,3316.01,110,550000,3343.18,-692.075927734375,110
12.487,19.4033,3235.17,111,555000,3371.38,-750.1358642578125,111
13.7438,19.3016,3352.57,112,560000,3380.97,-615.015380859375,112
12.9902,19.5997,3048.99,113,565000,3401.35,-730.92919921875,113
12.5454,18.7633,3408.75,114,570000,3440.94,-626.713623046875,114
12.9246,19.0428,3404.58,115,575000,3440.47,-705.1382446289062,115
13.4826,20.2597,3369.93,116,580000,3407.09,-767.1648559570312,116
14.038,20.2149,3136.36,117,585000,3402.41,-925.8533325195312,117
14.3476,20.2382,3162.26,118,590000,3407.72,-854.0946044921875,118
13.0049,19.615,2894.39,119,595000,3440.72,-692.8794555664062,119
12.3353,18.9042,3344.95,120,600000,3415.63,-743.12939453125,120
24.3164,20.8584,1621.59,121,605000,1446.98,-1650.9739990234375,121
12.7761,19.2353,3287.82,122,610000,3410.03,-767.5642700195312,122
12.5443,18.6239,3375.63,123,615000,3413.35,-776.647705078125,123
13.1466,18.8707,3368.69,124,620000,3394.56,-824.0770263671875,124
12.1349,18.8853,3375.2,125,625000,3423.02,-781.5531616210938,125
12.7679,19.0429,3395.14,126,630000,3422.23,-872.1768798828125,126
18.3938,20.759,2502.96,127,635000,3381.29,-1451.138427734375,127
12.0173,18.8686,3300.54,128,640000,3438.39,-813.0816040039062,128
11.4559,18.2614,3334.26,129,645000,3425.74,-775.3841552734375,129
11.9727,18.812,3261.43,130,650000,3420.94,-826.6116333007812,130
13.4709,19.3942,2560.67,131,655000,3401.99,-1293.6763916015625,131
13.0697,19.1283,3396.99,132,660000,3424.9,-985.8101196289062,132
11.8254,19.0699,3337.94,133,665000,3380.61,-989.0538940429688,133
11.3866,18.1289,3350.83,134,670000,3408.85,-832.89306640625,134
11.4374,17.8043,3386.6,135,675000,3410.09,-817.0313720703125,135
11.9051,18.4072,3365.27,136,680000,3405.29,-933.6866455078125,136
11.5368,18.2328,3380.27,137,685000,3434.09,-759.9487915039062,137
12.7558,19.7163,3386.64,138,690000,3433.03,-929.3671264648438,138
10.7516,18.23,3367.49,139,695000,3426.26,-906.0089721679688,139
11.7597,18.4399,3304.77,140,700000,3412.92,-854.5845336914062,140
11.0938,18.0743,3386.43,141,705000,3437.73,-867.4169921875,141
11.4334,17.7435,3403.17,142,710000,3451.41,-766.290771484375,142
12.6589,18.6184,3283.78,143,715000,3399.23,-867.964111328125,143
12.5751,19.3892,2545.6,144,720000,3437.33,-946.9744262695312,144
10.7923,17.3988,3388.9,145,725000,3421.1,-1000.4029541015625,145
12.6706,18.7861,3379.08,146,730000,3403.26,-1121.565185546875,146
11.3821,17.9317,3119.22,147,735000,3398.34,-1013.2708740234375,147
11.1525,17.6878,3292.56,148,740000,3413.41,-995.5960083007812,148
12.2402,18.807,3375.21,149,745000,3416.71,-945.2703857421875,149
12.6324,19.4395,3357.94,150,750000,3439.38,-991.3447875976562,150
