Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
0,18.8305,38.4834,201.18,193.35
1,24.7005,38.9149,215.0,219.46
2,20.082,36.842,231.29,234.5
3,36.555,38.1042,309.51,308.18
4,18.8315,35.4419,349.23,346.79
5,16.7223,32.5344,363.9,375.5
6,19.7407,32.8311,393.49,393.64
7,32.4296,33.0409,587.44,672.16
8,37.9413,33.757,679.36,668.47
9,25.2126,31.6546,801.76,703.06
10,15.5136,30.715,2029.21,2631.72
11,22.5427,31.7171,888.0,1957.51
12,16.9503,30.237,1168.96,2999.5
13,25.3544,31.581,1013.31,1280.34
14,19.6452,32.6515,1394.03,788.74
15,15.1543,29.3236,2191.21,2965.34
16,15.4333,30.6088,2765.73,2992.94
17,15.8023,30.5441,1652.54,2975.18
18,18.1385,31.5798,1249.34,1157.24
19,29.0708,31.3386,1022.6,1268.92
20,24.2514,32.2059,2021.95,3052.37
21,18.6037,32.1287,2963.09,3054.98
22,17.9202,31.3388,2248.51,3075.06
23,20.2853,30.9143,1782.59,2736.2
24,19.0564,30.0359,2328.22,3073.54
25,15.5258,29.801,1816.55,1906.8
26,17.183,32.0249,939.97,1008.03
27,16.245,29.6063,2439.6,3125.19
28,31.7183,30.2903,1780.72,3027.32
29,18.4912,32.011,2994.92,3089.51
30,18.5494,31.7891,3106.15,3095.61
31,18.4858,31.4614,3068.0,3129.43
32,15.8097,29.5479,2833.39,3193.29
33,18.7316,32.0179,3035.95,3052.75
34,17.9451,30.2395,3140.03,3125.29
35,17.2804,30.2627,2878.16,3192.76
36,18.1574,30.4775,3137.74,3132.68
37,15.2493,28.8024,2863.4,3209.81
38,15.8082,29.0016,3151.5,3165.86
39,16.7041,29.6958,3101.28,3119.84
40,17.4912,29.9962,3213.88,3209.71
41,16.3227,29.9488,3100.28,3131.27
42,17.1137,29.4964,3036.99,3154.06
43,14.0925,27.9288,2909.33,3210.42
44,16.5299,29.3503,3156.56,3173.55
45,21.5686,29.3483,2936.9,3175.44
46,23.1001,30.0131,657.65,282.61
47,15.8399,29.8027,3190.26,3229.57
48,14.8311,28.3402,3140.04,3208.53
49,16.6279,29.4026,3103.8,3158.2
50,16.3557,30.2552,3175.28,3182.87
51,14.6475,28.1603,3077.95,3163.78
52,15.3961,29.454,3165.34,3217.93
53,16.8477,29.898,3194.96,3220.96
54,15.4125,28.6457,3206.01,3232.18
55,16.8321,29.7273,3184.15,3213.67
56,14.5862,28.9488,2966.04,3187.05
57,14.9129,28.0827,3199.57,3231.95
58,18.5553,29.6285,3178.48,3223.45
59,14.9159,28.4823,3028.15,3214.98
60,14.8979,27.9753,3106.07,3251.49
61,15.4621,28.5063,3173.98,3211.05
62,15.7564,29.2977,3178.76,3209.74
63,14.4812,28.5978,2955.34,3213.54
64,14.5234,27.131,3108.94,3215.45
65,15.7183,29.4273,2744.86,3245.05
66,15.1578,27.4368,3265.94,3280.49
67,14.3081,27.2964,3114.85,3247.27
68,14.7718,28.8534,2995.11,3255.72
69,15.5347,28.0255,3121.21,3280.1
70,14.7575,27.8415,3085.26,3250.07
71,15.1139,28.1325,3161.76,3272.28
72,14.2621,27.2842,2991.99,3257.82
73,14.4157,27.171,3191.64,3226.62
74,17.3363,28.21,3058.12,3234.08
75,12.7529,26.6593,2657.99,2946.84
76,14.6805,27.0831,3066.96,3236.45
77,16.0566,27.9051,2525.07,3237.75
78,15.3219,28.1701,3067.01,3269.94
79,16.6014,29.6471,3199.03,3242.72
80,15.8568,28.0793,3111.42,3206.14
81,15.1134,27.8601,3003.42,3261.31
82,15.6872,28.1457,2889.05,3246.99
83,14.6832,27.7087,2976.13,3253.85
84,14.1099,26.6151,3081.46,3253.14
85,12.9169,26.9263,2127.29,2903.88
86,15.7091,28.3146,2966.96,3232.1
87,15.2536,26.9057,3070.39,3298.7
88,14.2284,26.9314,2390.55,2716.93
89,16.1702,27.2837,3028.04,3245.51
90,13.2557,27.6523,2531.56,3265.12
91,13.4724,26.9476,3225.91,3233.48
92,14.3631,27.1341,3297.17,3313.92
93,14.6885,27.2435,3232.17,3282.06
94,13.8434,27.2585,3116.9,3257.86
95,14.3441,27.1241,2923.67,3298.81
96,12.9315,26.827,2986.97,3281.72
