Running Reverse KL,Real Sto Return,Itration,Real Det Return,Running Forward KL
13.7598,315.31,0,276.94,49.2873
13.8037,349.86,1,432.62,48.9157
31.2236,346.47,2,332.83,49.3825
34.6333,388.97,3,353.14,49.0604
54.9816,522.74,4,405.14,49.5975
34.4485,389.87,5,499.26,48.9748
57.6117,724.98,6,649.51,47.9933
47.5482,698.74,7,701.61,47.2242
23.6562,767.63,8,767.05,48.064
38.5197,780.77,9,838.64,48.1391
35.9133,715.9,10,732.16,47.4618
28.5263,887.43,11,1193.58,47.909
31.7466,1167.34,12,1062.99,48.2811
45.5205,1057.78,13,1926.25,46.8015
37.3476,927.09,14,1271.32,47.6941
34.5269,840.45,15,689.2,48.1615
28.0925,1105.65,16,1273.27,47.7245
