Real Det Return,Running Reverse KL,Reward Loss,Running Update Time,Running Env Steps,Itration,Real Sto Return,Running Forward KL
329.19,26.3236,13.6793851852417,0,0,0,-52.07,75.4841
312.56,25.996,0.8245781064033508,1,5000,1,-57.58,74.0523
448.3,26.6422,-5.703874111175537,2,10000,2,-11.72,75.44
558.8,27.8904,-18.41561508178711,3,15000,3,4.45,75.1071
476.17,28.4063,-25.65656280517578,4,20000,4,51.43,72.6335
345.31,28.335,-34.0355339050293,5,25000,5,30.11,73.1631
614.58,28.6859,-46.79813003540039,6,30000,6,38.23,74.0269
553.76,28.9048,-60.864097595214844,7,35000,7,51.01,73.0531
585.46,30.5114,-66.6489028930664,8,40000,8,101.63,73.8376
605.02,29.5825,-82.09860229492188,9,45000,9,92.11,72.1664
543.36,30.3163,-88.9313735961914,10,50000,10,133.06,74.4994
736.78,30.5941,-104.18131256103516,11,55000,11,140.92,73.417
635.0,30.6428,-117.32012176513672,12,60000,12,134.34,75.0481
675.54,30.875,-130.8206329345703,13,65000,13,159.44,74.7954
538.0,30.2964,-141.92079162597656,14,70000,14,119.33,74.2943
594.88,30.5407,-153.68994140625,15,75000,15,140.82,73.9054
451.86,30.7068,-165.98097229003906,16,80000,16,139.8,74.2758
747.78,30.0997,-177.5130615234375,17,85000,17,130.88,72.0266
696.54,31.1423,-192.80494689941406,18,90000,18,163.62,72.7722
647.66,31.1372,-199.0144500732422,19,95000,19,116.01,74.3606
713.55,30.4047,-213.292236328125,20,100000,20,147.33,72.0622
559.77,31.2304,-228.78128051757812,21,105000,21,170.87,73.3637
471.93,30.9806,-236.9481658935547,22,110000,22,100.41,73.906
473.23,30.8586,-252.3147430419922,23,115000,23,166.92,73.8696
404.1,30.8262,-267.1653747558594,24,120000,24,207.75,73.0679
629.06,31.5457,-276.1681213378906,25,125000,25,203.81,73.4874
739.29,31.4969,-291.9453125,26,130000,26,240.64,73.1705
858.9,31.6625,-301.7119140625,27,135000,27,191.85,72.7679
744.26,30.6827,-308.9532775878906,28,140000,28,221.96,69.2291
679.34,30.8317,-325.185546875,29,145000,29,162.77,73.7192
710.2,31.4923,-340.92620849609375,30,150000,30,185.83,73.9636
761.49,31.2021,-354.89678955078125,31,155000,31,111.16,74.0589
689.63,31.0835,-362.8893737792969,32,160000,32,214.37,72.8683
563.92,30.1629,-375.7275390625,33,165000,33,192.65,70.8749
769.95,30.6306,-388.5225830078125,34,170000,34,204.59,72.5985
836.01,31.2029,-406.8875732421875,35,175000,35,171.53,73.1783
719.49,31.138,-416.4199523925781,36,180000,36,214.43,72.739
849.46,32.0739,-427.6064453125,37,185000,37,254.93,72.5095
735.1,30.7969,-434.3755798339844,38,190000,38,144.3,71.3719
742.73,30.2513,-454.5321960449219,39,195000,39,238.64,70.7938
601.76,31.0818,-472.7474365234375,40,200000,40,179.01,73.1059
