Real Sto Return,Running Reverse KL,Running Env Steps,Itration,Reward Loss,Running Update Time,Running Forward KL,Real Det Return
180.66,21.0716,0,0,328.5042724609375,0,31.1192,181.87
312.47,17.4336,5000,1,325.0372314453125,1,30.3247,332.8
461.52,29.148,10000,2,263.2687072753906,2,38.8492,749.46
13.59,20.7283,15000,3,419.16082763671875,3,34.7312,13.65
37.68,99.0247,20000,4,43.88905715942383,4,37.9949,37.38
993.65,24.1257,25000,5,85.33226776123047,5,36.4747,994.69
1001.09,38.2855,30000,6,-30.657634735107422,6,37.7022,1001.63
75.46,32.7989,35000,7,-82.46318817138672,7,35.3005,74.16
241.71,62.7519,40000,8,-66.49529266357422,8,32.5595,201.63
576.68,13.421,45000,9,97.8593978881836,9,29.1678,511.61
204.56,16.9592,50000,10,404.55059814453125,10,30.8738,181.01
369.26,19.6325,55000,11,243.46090698242188,11,31.1822,411.17
969.5,48.7282,60000,12,-232.02725219726562,12,38.6701,970.81
1016.44,22.0498,65000,13,-336.6299133300781,13,35.9676,1010.55
686.24,112.8769,70000,14,-398.7064208984375,14,34.7757,1020.06
1002.18,35.5019,75000,15,-442.89715576171875,15,38.9368,1002.71
1038.74,33.8446,80000,16,-440.771240234375,16,35.6635,1037.67
601.85,108.174,85000,17,-496.6096496582031,17,31.1626,550.07
986.32,39.2885,90000,18,-530.6363525390625,18,36.9208,987.77
1003.75,30.3109,95000,19,-613.9597778320312,19,35.6721,995.69
1386.78,20.6579,100000,20,-434.3102722167969,20,32.1851,1355.67
382.33,16.6097,105000,21,-331.80419921875,21,31.029,386.22
410.51,18.381,110000,22,-542.5480346679688,22,29.7598,409.67
329.39,18.2924,115000,23,-476.7275695800781,23,29.4131,271.2
706.6,86.8713,120000,24,-891.8135375976562,24,34.1528,595.2
272.87,15.2676,125000,25,-653.7289428710938,25,30.0798,331.52
1166.95,23.3224,130000,26,-727.5248413085938,26,32.1206,1150.48
385.72,20.6032,135000,27,-675.2928466796875,27,30.3771,439.48
998.04,37.1743,140000,28,-1097.4423828125,28,39.0536,999.51
972.79,26.8528,145000,29,-1056.541748046875,29,34.9862,1056.06
622.73,42.8632,150000,30,-725.9263916015625,30,31.6798,486.62
430.49,25.0834,155000,31,-849.1454467773438,31,30.1512,430.23
531.08,31.5183,160000,32,-553.7340698242188,32,30.9725,589.59
1493.78,23.0971,165000,33,-866.0974731445312,33,32.4347,1517.87
1068.33,27.3622,170000,34,-1314.4190673828125,34,34.8567,1063.03
1043.22,36.7831,175000,35,-1373.9794921875,35,36.4712,1044.01
514.07,66.7496,180000,36,-845.2929077148438,36,31.2306,1055.38
970.79,49.5719,185000,37,-1439.6654052734375,37,38.7727,971.65
216.95,91.6663,190000,38,-1416.44287109375,38,33.8129,219.77
289.01,57.4649,195000,39,-971.1516723632812,39,31.7449,286.77
350.26,18.3881,200000,40,-654.8065795898438,40,29.0,355.74
1042.4,26.9443,205000,41,-1634.07763671875,41,34.5882,1043.06
1038.7,31.889,210000,42,-1695.7122802734375,42,36.6782,1037.87
1043.96,25.193,215000,43,-1747.058837890625,43,36.1773,1041.34
929.21,23.214,220000,44,-1801.209228515625,44,37.263,1006.23
287.77,51.422,225000,45,-2021.1741943359375,45,34.1977,288.12
1007.09,26.8485,230000,46,-1795.271484375,46,38.4438,1007.93
1012.93,24.5982,235000,47,-1990.590087890625,47,36.2492,1011.89
426.86,27.1885,240000,48,-1645.3226318359375,48,33.4521,428.32
1504.81,19.9288,245000,49,-1505.026123046875,49,32.6338,1503.29
1494.34,20.6028,250000,50,-1265.8192138671875,50,31.5429,1506.1
356.66,14.3141,255000,51,-1318.4808349609375,51,31.1576,408.51
606.46,24.5305,260000,52,-1713.50244140625,52,31.5886,638.56
1489.57,22.3358,265000,53,-1509.9566650390625,53,32.3613,1493.47
1010.79,39.5914,270000,54,-2328.9892578125,54,39.1769,1010.71
1321.31,17.3594,275000,55,-1548.5146484375,55,30.7149,1481.25
1096.14,14.5615,280000,56,-1702.13671875,56,30.7122,1091.29
1011.31,29.2188,285000,57,-2242.82470703125,57,33.9288,1172.37
1586.07,20.0441,290000,58,-1508.738037109375,58,30.6018,1588.49
676.63,14.5753,295000,59,-1698.36962890625,59,30.3003,650.62
806.6,19.9912,300000,60,-2088.797607421875,60,30.5972,369.75
481.54,20.7287,305000,61,-2100.898193359375,61,29.6062,441.98
945.55,21.4539,310000,62,-1985.9566650390625,62,27.3291,669.98
24.7,49.0245,315000,63,-2878.881103515625,63,35.2643,24.29
485.67,27.6293,320000,64,-1902.494140625,64,29.4262,458.54
529.71,20.2498,325000,65,-1886.72705078125,65,29.1202,531.96
378.04,26.239,330000,66,-2170.232421875,66,29.4871,498.25
487.65,35.0999,335000,67,-2550.97216796875,67,30.7178,505.23
581.03,16.9418,340000,68,-1392.47216796875,68,27.7698,534.79
1545.74,18.9849,345000,69,-1599.160888671875,69,31.8707,1576.7
1193.36,19.0478,350000,70,-1978.66943359375,70,30.1942,1342.23
617.31,17.1099,355000,71,-1616.4598388671875,71,27.4212,670.23
68.49,22.6233,360000,72,-2112.598388671875,72,31.5788,69.08
406.94,17.5975,365000,73,-1708.4881591796875,73,30.4332,511.82
1450.56,18.3479,370000,74,-2284.99462890625,74,32.3026,1446.23
1020.13,35.6442,375000,75,-3415.326416015625,75,38.8688,1020.7
1016.84,31.7951,380000,76,-3318.31005859375,76,39.402,1016.7
1343.2,19.0131,385000,77,-2257.36865234375,77,30.5261,1171.66
1433.16,17.0842,390000,78,-1977.0623779296875,78,28.5435,1475.42
1429.21,19.344,395000,79,-2007.517578125,79,30.0151,1517.53
405.98,18.9796,400000,80,-2520.712158203125,80,30.4355,330.12
1001.26,32.4913,405000,81,-2584.905517578125,81,31.0114,966.29
463.99,20.4253,410000,82,-2435.583984375,82,29.4651,489.05
874.09,18.5351,415000,83,-2225.8671875,83,30.1923,837.93
413.24,19.8224,420000,84,-2202.17919921875,84,31.2883,379.34
1538.33,23.5197,425000,85,-1994.339599609375,85,32.1101,1536.09
1383.17,26.7789,430000,86,-2042.850830078125,86,32.1768,1530.12
1014.26,38.0656,435000,87,-3748.2001953125,87,38.473,1014.43
1021.52,34.4383,440000,88,-3784.35888671875,88,38.2142,1022.18
162.61,17.7685,445000,89,-3077.1044921875,89,30.4621,158.71
573.23,18.7436,450000,90,-2650.497314453125,90,27.1144,634.37
309.42,45.9416,455000,91,-3729.91845703125,91,31.3315,324.53
1463.37,25.372,460000,92,-2364.868896484375,92,32.8252,1463.14
567.58,25.9085,465000,93,-3344.2587890625,93,31.2356,548.55
551.61,22.2197,470000,94,-3065.631103515625,94,31.233,1005.23
1450.33,28.7836,475000,95,-2817.520751953125,95,30.9425,1513.47
1332.14,21.3666,480000,96,-3272.365966796875,96,32.7938,1346.73
1129.5,27.3963,485000,97,-2871.876220703125,97,28.1704,1266.98
791.7,49.8567,490000,98,-4045.49462890625,98,32.3129,1002.22
1004.89,32.7488,495000,99,-3184.033203125,99,30.0263,949.73
212.27,22.2701,500000,100,-2280.06494140625,100,31.7896,163.15
1011.21,39.7258,505000,101,-4329.96484375,101,36.3499,1011.16
612.35,24.6211,510000,102,-3627.2880859375,102,28.3422,590.81
