Running Update Time,Itration,Real Det Return,Running Reverse KL,Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return
0,0,224.7,26.3076,-35.175838470458984,0,40.5504,225.07
1,1,243.05,28.2029,-46.620994567871094,5000,39.5773,231.21
2,2,256.38,37.9134,-103.08765411376953,10000,36.9532,263.5
3,3,194.41,37.7947,-96.51444244384766,15000,39.7476,182.44
4,4,313.55,18.1454,-68.65338897705078,20000,35.3307,303.75
5,5,271.19,28.3954,16.059680938720703,25000,35.6434,255.42
6,6,235.4,34.288,-88.51739501953125,30000,39.3747,233.86
7,7,1011.67,50.7678,-128.68569946289062,35000,44.6918,1011.25
8,8,980.25,46.6107,-132.23617553710938,40000,45.3949,980.45
9,9,80.11,60.9832,-52.259647369384766,45000,39.7996,79.9
10,10,219.57,156.5405,-152.81842041015625,50000,38.5165,220.07
11,11,977.93,52.1741,-153.828125,55000,44.9771,977.87
12,12,275.0,36.8277,-130.9752960205078,60000,40.1463,277.98
13,13,247.75,21.612,-108.01993560791016,65000,38.0318,247.45
14,14,298.84,27.4354,-135.94293212890625,70000,36.5868,306.72
15,15,382.31,76.5264,-151.39842224121094,75000,36.7203,383.98
16,16,1007.25,26.5,-165.7077178955078,80000,42.91,1006.65
17,17,196.67,32.8983,-138.07810974121094,85000,38.7959,209.98
18,18,86.48,54.1347,-144.1534423828125,90000,41.0622,86.88
19,19,1000.16,30.3128,-231.26805114746094,95000,44.1706,1002.2
20,20,233.35,27.6568,-244.12893676757812,100000,40.2093,232.82
21,21,952.53,34.4138,-232.52572631835938,105000,44.8643,910.81
22,22,1016.21,35.5447,-247.6414031982422,110000,43.7274,1015.85
23,23,632.86,87.9226,-76.41393280029297,115000,36.4061,543.09
24,24,282.64,69.8806,-241.63099670410156,120000,38.5752,285.19
25,25,394.73,60.9809,-263.94305419921875,125000,35.971,394.3
26,26,670.99,27.2141,-208.46414184570312,130000,33.9425,784.96
27,27,413.2,82.4912,-166.66265869140625,135000,34.7904,367.29
28,28,491.2,37.8306,-186.35557556152344,140000,35.8545,495.19
29,29,1195.69,21.0329,-180.3931121826172,145000,34.994,992.78
30,30,149.77,44.2793,-271.1824645996094,150000,35.6766,142.17
31,31,137.46,81.6456,-288.0165710449219,155000,38.2131,138.06
32,32,173.8,131.9813,-353.18182373046875,160000,37.7774,156.51
33,33,97.37,204.8161,-412.7691345214844,165000,39.1097,105.85
34,34,830.11,25.5991,-324.79638671875,170000,39.6395,807.18
35,35,1048.76,22.525,-251.72486877441406,175000,39.8834,1102.66
36,36,201.54,170.1624,-301.30535888671875,180000,37.864,224.98
37,37,447.65,141.1414,-231.41586303710938,185000,37.4426,606.28
38,38,471.19,15.2574,-179.7434539794922,190000,35.289,483.59
39,39,534.86,37.1643,-195.00164794921875,195000,34.9193,557.89
40,40,396.5,30.2842,-316.9267883300781,200000,35.6566,373.61
41,41,480.84,20.847,-326.5249328613281,205000,38.2195,573.95
42,42,311.95,15.83,-246.0667266845703,210000,36.1607,296.88
43,43,280.62,18.2743,-375.4844665527344,215000,36.4066,279.39
44,44,345.46,16.25,-223.75877380371094,220000,35.7244,330.65
45,45,551.42,16.1437,-133.0763397216797,225000,34.5337,414.22
46,46,680.56,24.5345,-227.8482666015625,230000,34.2388,777.92
47,47,1001.71,23.372,-442.436279296875,235000,44.4393,1002.08
48,48,1052.09,20.9838,-428.8083801269531,240000,40.5072,1051.37
49,49,1141.64,17.7038,-381.37725830078125,245000,38.3343,1151.52
50,50,1031.96,24.1366,-458.2136535644531,250000,41.0934,1032.43
51,51,1118.06,20.1231,-434.79205322265625,255000,40.2666,1115.31
52,52,1400.99,17.2522,-359.4435119628906,260000,36.105,1318.6
53,53,1417.6,17.8975,-381.2685546875,265000,37.1551,1175.76
54,54,531.69,72.0326,-353.17266845703125,270000,36.317,427.14
55,55,1080.36,22.9764,-335.9819641113281,275000,35.9101,1112.14
56,56,1248.47,15.0952,-278.065185546875,280000,33.1426,1191.15
57,57,1625.37,27.0384,-340.78533935546875,285000,34.3306,1519.45
58,58,339.45,90.4009,-363.8450927734375,290000,34.1868,250.47
59,59,971.39,93.442,-312.6517333984375,295000,33.2455,790.79
60,60,769.18,46.5982,-323.4215393066406,300000,33.1737,766.98
61,61,496.19,134.2873,-364.99481201171875,305000,34.8537,410.08
62,62,883.8,97.3576,-366.11474609375,310000,34.4881,1057.01
63,63,1083.58,22.7698,-506.8782043457031,315000,35.9446,1105.95
64,64,981.64,92.8547,-556.8064575195312,320000,44.1199,981.65
65,65,981.27,42.6478,-594.095947265625,325000,43.3961,981.37
66,66,978.69,60.0396,-581.0722045898438,330000,42.8277,978.86
67,67,973.94,30.9123,-581.4112548828125,335000,41.5293,974.11
68,68,976.73,24.3583,-586.7220458984375,340000,41.34,976.21
69,69,1104.98,19.8537,-486.1206359863281,345000,37.2485,1021.33
70,70,730.46,27.5322,-484.6988525390625,350000,37.2801,616.08
71,71,1144.42,16.1217,-486.1136779785156,355000,37.2507,1238.62
72,72,1424.03,17.6812,-422.8627624511719,360000,36.3043,1390.59
73,73,1078.42,32.9858,-626.6895141601562,365000,38.6507,1034.12
74,74,479.94,36.1661,-429.1115417480469,370000,35.89,578.85
