Itration,Running Reverse KL,Real Det Return,Running Forward KL,Real Sto Return
0,12.8221,395.58,49.7378,412.44
1,15.5626,256.77,49.8978,308.13
2,16.4354,360.47,49.5043,352.51
3,14.1985,909.95,49.5639,448.55
4,19.1461,417.15,49.4672,383.63
5,13.1091,530.41,48.8928,479.96
6,12.6661,432.42,49.4593,402.33
7,14.0036,396.18,49.2854,401.48
8,14.4215,467.76,48.7915,442.4
9,12.3719,385.31,49.2017,416.08
10,12.3592,396.32,49.3675,402.16
11,12.0655,520.25,48.1405,509.48
12,11.8701,520.67,49.08,472.26
13,12.1358,555.24,48.7424,505.34
14,12.4145,762.52,48.5221,626.4
15,12.851,848.76,48.6049,644.56
16,15.5238,679.83,48.2206,609.78
17,15.919,935.09,47.8758,710.24
18,15.1175,1113.86,47.7194,864.16
19,13.5711,1052.85,47.651,887.59
20,13.6627,2165.47,47.2847,1147.22
21,12.6363,1818.79,47.8057,962.74
22,14.1322,953.08,47.1605,859.98
23,15.5674,914.16,47.2679,862.86
24,20.9054,808.85,47.6943,795.27
25,24.7947,895.35,47.5236,845.08
26,19.3761,992.18,48.0487,889.73
27,19.4523,1094.19,47.3596,859.92
28,17.1807,1064.57,46.9548,1025.06
29,17.5731,1662.77,47.2261,971.62
30,20.7472,986.99,47.1315,864.63
31,16.3383,1161.04,47.1967,958.9
32,14.8639,1284.61,46.7277,979.45
33,14.8676,1091.14,47.1016,942.28
34,14.395,1138.37,47.0009,996.03
35,15.1279,1021.75,46.9875,913.58
36,15.4505,1158.4,46.9625,939.06
37,14.6905,1098.81,47.3562,962.26
38,17.2553,1027.43,47.2831,932.15
39,16.499,1117.6,47.2084,934.79
40,16.4881,1026.2,47.0408,916.1
41,16.9388,1087.74,46.9917,906.32
42,20.0032,773.69,47.2917,972.8
43,16.9582,1073.57,46.7836,956.93
44,19.3143,906.63,46.8542,914.03
45,16.2747,939.14,47.1819,923.43
46,15.1118,927.27,47.4232,998.28
47,23.9136,1103.63,47.1629,933.06
48,15.0763,971.63,47.2637,879.45
49,20.8253,1175.72,46.629,966.88
50,20.466,1064.45,47.1679,940.05
51,19.5267,877.87,46.6793,945.44
52,16.8724,674.71,47.3673,935.6
53,17.902,895.67,47.4959,910.04
54,17.6403,813.18,46.8217,1106.19
55,17.5828,1013.28,46.8536,1051.18
56,17.0525,1011.19,46.866,1040.41
57,20.4381,935.28,47.1022,1032.15
58,19.1358,675.58,47.1235,979.44
59,16.8494,871.02,46.924,1009.23
60,20.4697,1031.69,46.8318,1130.41
61,16.7158,1748.53,46.6285,1267.94
62,16.7808,741.67,47.2399,977.96
63,15.717,859.58,46.943,1110.68
64,18.9894,740.27,46.9804,1017.02
65,31.1836,992.05,47.2479,1017.15
66,15.3295,1316.59,46.805,1142.37
67,23.5372,862.18,46.5222,1147.53
68,26.9575,918.35,46.9013,1058.56
69,14.361,1037.57,46.1253,1272.26
70,12.7078,1412.86,45.869,1163.46
71,13.1542,1281.32,46.0856,1129.34
72,13.5946,1570.59,46.0185,1188.08
73,13.2273,1466.52,45.9078,1213.55
74,16.1286,1188.34,46.3177,1179.21
75,13.2381,1614.6,45.2575,1490.13
76,15.7628,1672.85,45.3977,1704.25
77,13.0751,1481.96,45.3091,1229.97
78,18.0331,1396.48,46.0383,1200.78
79,12.9291,1875.12,45.5916,1493.84
80,13.0401,1704.26,45.0688,1458.97
81,13.1111,2065.02,44.9058,1986.41
