Running Reverse KL,Running Forward KL,Reward Loss,Real Det Return,Real Sto Return,Running Env Steps,Itration,Running Update Time
277.3571,440.6967,-1107.85595703125,318.75,352.87,0,0,0
261.6859,463.0813,-1225.8653564453125,296.14,360.31,5000,1,1
286.1565,459.255,-1737.5306396484375,299.62,338.53,10000,2,2
255.1606,444.2769,-1386.676513671875,247.55,330.89,15000,3,3
252.2078,434.6869,-2803.018310546875,296.24,364.54,20000,4,4
275.1432,445.1002,-3426.16650390625,497.46,376.62,25000,5,5
273.1834,451.533,-3163.825439453125,421.46,355.8,30000,6,6
268.3842,438.348,-3374.344482421875,359.74,428.8,35000,7,7
266.743,428.5026,-3107.5078125,501.81,480.19,40000,8,8
290.1993,428.3598,-3678.50390625,550.73,484.78,45000,9,9
276.3623,418.4002,-3122.805908203125,635.06,508.14,50000,10,10
292.4822,416.2718,-3018.58154296875,409.42,449.59,55000,11,11
265.9221,436.3983,-3495.098388671875,431.47,460.26,60000,12,12
309.0098,443.3366,-4684.94189453125,414.48,452.06,65000,13,13
281.8945,426.484,-4136.09375,421.4,451.0,70000,14,14
275.7154,426.1058,-4605.0732421875,629.42,570.17,75000,15,15
252.4067,403.7796,-5176.1220703125,641.1,655.72,80000,16,16
258.7325,410.3479,-4393.103515625,494.89,539.5,85000,17,17
238.7406,412.0103,-5907.72509765625,613.65,575.82,90000,18,18
260.8567,405.1611,-5911.53955078125,606.98,609.98,95000,19,19
266.4168,413.2774,-6388.5283203125,552.02,531.35,100000,20,20
298.4514,410.7383,-6437.48974609375,395.98,492.7,105000,21,21
265.0297,423.1826,-6799.646484375,475.3,547.08,110000,22,22
268.8864,414.4013,-6945.24658203125,631.15,615.21,115000,23,23
274.2005,400.6347,-6864.05859375,426.34,512.08,120000,24,24
254.1002,394.8932,-6955.82275390625,508.48,539.25,125000,25,25
246.459,390.6041,-7357.81982421875,552.48,565.38,130000,26,26
285.23,426.0381,-7929.9375,625.8,607.27,135000,27,27
272.0034,388.8825,-7925.59375,440.03,534.35,140000,28,28
254.7478,389.3322,-7610.69287109375,708.48,634.91,145000,29,29
256.3188,385.6128,-7870.546875,709.71,654.82,150000,30,30
244.2396,391.3658,-8151.45947265625,583.74,745.53,155000,31,31
256.7268,392.0919,-8581.515625,842.27,805.22,160000,32,32
236.7311,370.0086,-8001.88330078125,640.05,732.48,165000,33,33
251.4595,376.0535,-8477.9873046875,763.3,752.71,170000,34,34
229.2184,364.3088,-8447.9775390625,615.96,899.88,175000,35,35
226.317,375.5087,-8796.4326171875,712.0,836.06,180000,36,36
275.9565,378.7692,-9345.0234375,678.98,742.82,185000,37,37
256.1965,382.5098,-9227.1611328125,863.0,770.12,190000,38,38
247.1956,372.6434,-9333.896484375,876.74,738.75,195000,39,39
237.0117,373.0829,-9306.486328125,812.54,984.03,200000,40,40
225.8549,357.2415,-9359.33984375,855.19,1136.43,205000,41,41
230.8976,366.5098,-9694.63671875,936.48,1071.1,210000,42,42
229.0527,361.7055,-9561.638671875,847.34,811.21,215000,43,43
204.7247,350.1366,-8939.0224609375,812.0,1224.98,220000,44,44
230.2323,357.7789,-9784.65234375,845.69,934.5,225000,45,45
225.8096,372.1855,-10033.2900390625,649.41,732.67,230000,46,46
207.79,355.0729,-9644.6220703125,1033.11,1095.48,235000,47,47
214.6966,361.5733,-9741.9599609375,1105.82,1397.13,240000,48,48
229.5613,365.94,-10403.0146484375,745.92,1148.97,245000,49,49
230.547,372.6561,-10334.1357421875,769.78,1214.44,250000,50,50
232.8538,377.77,-10049.69140625,554.1,790.67,255000,51,51
233.7497,380.1219,-10923.16796875,643.63,825.9,260000,52,52
245.329,401.0815,-10790.68359375,869.44,973.71,265000,53,53
230.9976,383.8295,-10952.7294921875,1056.69,1090.29,270000,54,54
225.1292,373.584,-10846.0615234375,959.15,1044.67,275000,55,55
225.8935,376.1357,-10884.8544921875,888.99,1040.25,280000,56,56
234.745,398.7681,-11770.380859375,753.68,827.59,285000,57,57
233.8883,383.4849,-11420.0009765625,438.59,810.01,290000,58,58
243.0251,395.5799,-11632.6796875,688.75,776.59,295000,59,59
192.3863,361.1058,-9768.5791015625,948.64,1717.1,300000,60,60
219.9858,378.8054,-11067.7734375,1141.56,1600.12,305000,61,61
153.0949,336.9686,-7553.94970703125,1106.99,2924.97,310000,62,62
179.3635,347.8229,-9433.4013671875,690.07,2072.52,315000,63,63
198.3816,364.3553,-10424.34765625,1178.97,1958.94,320000,64,64
204.5226,362.8719,-10615.25390625,1251.11,1500.76,325000,65,65
197.305,353.6361,-10411.20703125,792.1,2161.28,330000,66,66
173.8391,341.4966,-9197.6337890625,1076.08,2385.06,335000,67,67
186.8397,351.7279,-10142.6318359375,1106.26,2379.96,340000,68,68
161.2137,343.455,-8302.2666015625,1450.35,2681.24,345000,69,69
166.7077,341.0606,-9001.0146484375,1499.53,2594.43,350000,70,70
151.9745,337.4232,-6996.6953125,1050.18,2701.23,355000,71,71
174.0035,344.532,-8970.9365234375,2196.98,3286.54,360000,72,72
168.6438,333.7899,-9407.7001953125,1427.69,2481.36,365000,73,73
155.7108,349.1752,-7671.6201171875,1466.66,3361.58,370000,74,74
160.0569,341.5087,-8500.6806640625,1238.26,2477.81,375000,75,75
159.6149,346.2379,-8758.9892578125,1829.37,2683.41,380000,76,76
187.1546,352.7878,-11068.623046875,1496.28,2650.74,385000,77,77
164.2976,350.2905,-9647.7578125,2729.79,2035.02,390000,78,78
183.2988,360.55,-10809.478515625,889.17,2734.52,395000,79,79
159.1338,346.6119,-9801.4658203125,1429.26,2318.28,400000,80,80
187.9294,346.4172,-10175.22265625,1044.32,2425.29,405000,81,81
183.0742,363.0118,-12018.7265625,1402.31,1802.82,410000,82,82
177.6344,358.4723,-10935.3349609375,1876.08,2527.44,415000,83,83
194.4924,356.2747,-11594.087890625,1148.32,1852.47,420000,84,84
163.913,346.2715,-10671.107421875,1591.34,2785.08,425000,85,85
147.7897,340.8527,-9751.576171875,1577.99,2628.72,430000,86,86
164.6627,348.9147,-11101.8330078125,1725.23,2563.02,435000,87,87
147.4332,353.3067,-10584.1162109375,1384.29,2126.16,440000,88,88
136.622,332.2153,-9886.673828125,2040.4,2848.28,445000,89,89
151.8033,352.358,-10805.1376953125,1304.78,3283.05,450000,90,90
163.2338,345.3962,-11223.6552734375,1565.61,2732.68,455000,91,91
145.9125,335.5314,-10529.6689453125,1096.03,2865.1,460000,92,92
162.7519,354.284,-11507.6865234375,1074.51,1829.26,465000,93,93
139.2223,333.0113,-10606.94140625,1403.61,3620.44,470000,94,94
174.7936,348.3045,-12420.568359375,1466.48,3277.74,475000,95,95
156.5122,344.0616,-10829.41796875,2625.69,3833.7,480000,96,96
140.4339,328.3178,-10780.2236328125,2658.87,3768.45,485000,97,97
170.7268,350.7242,-11452.31640625,2489.52,4075.72,490000,98,98
148.6174,334.916,-11034.3369140625,2032.36,4535.84,495000,99,99
160.9194,346.0716,-12017.06640625,872.6,3137.15,500000,100,100
150.8867,336.3021,-11661.7099609375,2292.93,4339.54,505000,101,101
162.6226,335.9108,-11743.07421875,2005.4,4486.66,510000,102,102
108.7229,318.0784,-9931.4208984375,1616.84,4578.59,515000,103,103
147.0374,338.7824,-11875.9345703125,1809.6,4174.59,520000,104,104
133.1497,329.2033,-11675.56640625,1649.08,4623.13,525000,105,105
186.4084,345.1749,-13455.578125,985.5,3868.14,530000,106,106
177.1101,335.568,-13273.5419921875,1462.38,3512.22,535000,107,107
200.8047,343.7946,-13937.7119140625,962.18,2888.2,540000,108,108
173.6797,342.2001,-13311.9091796875,2115.16,2775.39,545000,109,109
236.3471,363.9556,-14009.341796875,1625.77,1565.23,550000,110,110
196.169,344.8236,-13877.9013671875,984.95,1713.05,555000,111,111
117.2634,313.9343,-11351.9814453125,1663.79,4299.63,560000,112,112
225.3115,369.9341,-14562.384765625,1030.9,1507.09,565000,113,113
186.5078,344.7436,-14107.572265625,2266.48,2450.41,570000,114,114
113.0228,318.4195,-10784.509765625,2031.67,4181.28,575000,115,115
201.2325,353.9692,-14316.96875,2298.87,1780.85,580000,116,116
157.1453,330.6452,-13644.3955078125,1749.92,3240.5,585000,117,117
146.497,333.9691,-13669.1298828125,1337.06,3602.37,590000,118,118
117.2065,312.2978,-10889.79296875,4210.63,4194.36,595000,119,119
144.6609,321.5242,-13270.34765625,1424.15,3244.35,600000,120,120
106.7061,308.1448,-12297.05859375,933.69,4378.48,605000,121,121
97.2459,310.0194,-9880.9814453125,1667.93,4292.43,610000,122,122
94.3153,308.3466,-11933.6142578125,1893.23,4433.06,615000,123,123
105.5519,311.133,-12755.056640625,4467.98,4731.31,620000,124,124
109.1078,315.5997,-11409.0419921875,4194.29,4420.06,625000,125,125
116.0519,314.5011,-12803.3203125,1184.98,4272.16,630000,126,126
102.1988,309.7535,-10420.552734375,3480.27,4139.36,635000,127,127
139.7152,323.2301,-14278.9580078125,3681.52,4081.92,640000,128,128
91.9575,302.9793,-11306.9599609375,3220.21,4684.84,645000,129,129
157.8653,328.5244,-14559.3798828125,1762.88,4001.46,650000,130,130
129.2843,321.1497,-13230.0302734375,2392.88,3964.83,655000,131,131
149.9339,327.4087,-14765.3310546875,1702.83,4269.23,660000,132,132
122.053,313.9583,-14023.986328125,1680.07,4189.23,665000,133,133
93.3153,304.254,-12985.3828125,1700.7,4175.97,670000,134,134
102.3112,306.4935,-12416.5380859375,892.84,4054.3,675000,135,135
137.7178,321.2574,-14382.3505859375,1445.25,3470.22,680000,136,136
122.4848,315.6342,-14922.69140625,2317.28,4150.13,685000,137,137
182.8452,334.2592,-15669.6474609375,951.39,2861.58,690000,138,138
114.7948,305.9433,-14264.8125,1658.44,4096.21,695000,139,139
144.4553,319.8716,-15156.1279296875,925.93,3556.63,700000,140,140
124.3272,319.6937,-14629.5283203125,1509.71,4244.5,705000,141,141
145.9013,323.9721,-15761.375,1734.11,3986.88,710000,142,142
142.5516,325.9357,-15119.9580078125,1403.25,3250.58,715000,143,143
131.9347,320.0281,-15292.060546875,1426.96,2706.66,720000,144,144
168.1759,324.6523,-15101.091796875,1046.01,2543.99,725000,145,145
129.4042,318.0845,-15461.1259765625,1295.49,4646.53,730000,146,146
143.9489,327.9745,-14952.4169921875,1055.09,3994.52,735000,147,147
129.0388,316.5771,-14595.19921875,1490.02,3800.86,740000,148,148
124.7775,316.2615,-15134.3798828125,997.85,3827.93,745000,149,149
132.8873,321.5532,-14552.0458984375,2574.68,4415.29,750000,150,150
120.0565,313.7088,-15518.8828125,2843.81,4613.94,755000,151,151
131.9221,315.1052,-15643.869140625,1839.63,4152.53,760000,152,152
121.2899,313.9442,-15715.732421875,2212.97,4278.85,765000,153,153
124.8075,310.0578,-15514.490234375,1281.11,4377.67,770000,154,154
113.7207,310.9079,-15776.9267578125,1798.47,4228.63,775000,155,155
116.2121,312.235,-15869.5908203125,3652.0,4494.21,780000,156,156
119.5666,312.2327,-15965.5380859375,1326.21,4681.43,785000,157,157
115.083,310.7451,-16370.3193359375,1339.0,4504.34,790000,158,158
129.4231,315.7547,-16045.55859375,4072.91,4761.88,795000,159,159
112.9658,310.503,-16007.6083984375,4807.83,4666.2,800000,160,160
131.3806,317.9894,-16094.625,2420.67,3849.22,805000,161,161
111.2594,297.3606,-15749.435546875,2570.35,4569.61,810000,162,162
103.0462,299.4784,-16215.8203125,3416.46,4752.67,815000,163,163
143.2502,313.8097,-16124.9619140625,996.43,2889.66,820000,164,164
116.7136,316.9088,-16115.556640625,1283.92,4266.76,825000,165,165
124.6306,315.0521,-16162.603515625,3818.08,4640.78,830000,166,166
168.9908,333.316,-16727.7421875,2137.45,3082.2,835000,167,167
140.5001,319.0644,-16917.0,2476.13,3232.63,840000,168,168
123.4125,310.4712,-16346.29296875,2417.62,4222.97,845000,169,169
128.2339,314.4012,-16574.001953125,3624.4,4061.67,850000,170,170
144.7091,324.1392,-16779.84375,1218.45,3918.1,855000,171,171
123.492,311.1396,-17019.923828125,2208.64,4762.77,860000,172,172
117.2363,308.8216,-16541.318359375,2858.21,4451.86,865000,173,173
140.8053,318.6468,-16799.7265625,3221.28,4493.96,870000,174,174
147.715,322.573,-16684.494140625,3633.42,3330.42,875000,175,175
106.0025,297.1548,-16285.9990234375,4036.23,4643.22,880000,176,176
121.918,323.6649,-16061.7392578125,3460.14,4166.65,885000,177,177
116.047,306.0525,-16865.54296875,1916.74,4926.89,890000,178,178
149.7265,323.5464,-17098.212890625,2090.46,4644.53,895000,179,179
124.843,306.4223,-16518.369140625,4683.24,4243.59,900000,180,180
109.3189,305.2599,-16456.36328125,3889.74,4403.08,905000,181,181
117.764,299.2421,-16944.6953125,1609.24,4675.45,910000,182,182
93.4428,296.159,-16337.9482421875,2572.48,4665.76,915000,183,183
