Running Reverse KL,Reward Loss,Real Det Return,Itration,Running Forward KL,Running Update Time,Running Env Steps,Real Sto Return
11.5136,24.901390075683594,-140.62,0,158.5538,0,0,-232.43
11.9912,-40.96525955200195,25.16,1,158.5971,1,5000,-71.03
12.5437,-98.30340576171875,750.24,2,158.1708,2,10000,133.38
13.4095,-138.3858642578125,883.6,3,158.0107,3,15000,360.16
14.3739,-191.27328491210938,943.71,4,158.0801,4,20000,547.79
14.2442,-239.01898193359375,1054.66,5,157.9091,5,25000,645.24
14.2924,-296.07647705078125,1047.72,6,157.8721,6,30000,672.77
14.3004,-333.6912841796875,962.87,7,157.947,7,35000,713.42
14.8817,-382.74615478515625,989.5,8,157.9803,8,40000,776.34
15.0696,-417.4325256347656,1156.87,9,157.9438,9,45000,934.02
15.4413,-428.58062744140625,1404.52,10,157.8953,10,50000,1032.36
16.2909,-478.7051086425781,1554.19,11,157.9566,11,55000,1121.88
16.0721,-516.7705078125,1577.61,12,157.857,12,60000,1172.68
16.3345,-555.2656860351562,1639.96,13,157.5917,13,65000,1217.96
16.3752,-603.9006958007812,1660.35,14,157.8204,14,70000,1259.64
16.4303,-637.8676147460938,1670.32,15,157.9101,15,75000,1293.62
16.2856,-673.9638671875,1749.88,16,157.7855,16,80000,1355.88
16.3253,-721.5377807617188,1818.04,17,157.8906,17,85000,1415.77
16.3891,-754.3436889648438,1797.44,18,157.8791,18,90000,1398.78
16.3741,-792.4410400390625,1866.33,19,157.7008,19,95000,1492.46
16.4542,-834.6356201171875,1934.86,20,157.5608,20,100000,1512.98
16.6532,-868.7964477539062,1894.96,21,157.8537,21,105000,1537.75
16.58,-899.2625732421875,1963.63,22,157.4683,22,110000,1579.81
16.3022,-933.29150390625,1936.78,23,157.5376,23,115000,1563.11
16.8338,-977.3485107421875,1972.34,24,157.7052,24,120000,1619.01
16.3812,-1004.1024780273438,1995.26,25,157.4592,25,125000,1586.99
16.4948,-1039.0782470703125,2002.61,26,157.4784,26,130000,1636.15
16.7075,-1095.6795654296875,1959.37,27,157.592,27,135000,1644.22
16.7055,-1117.8443603515625,1979.45,28,157.5536,28,140000,1657.07
16.3972,-1158.213134765625,2018.84,29,157.3805,29,145000,1675.14
16.2951,-1187.456787109375,1992.08,30,157.4352,30,150000,1658.06
16.3479,-1218.3582763671875,2031.86,31,157.1354,31,155000,1682.19
16.0508,-1267.3189697265625,1942.84,32,157.2986,32,160000,1639.72
16.6227,-1290.0318603515625,2048.11,33,157.3815,33,165000,1705.97
16.2426,-1334.2921142578125,1981.08,34,157.2325,34,170000,1656.1
16.2672,-1370.9063720703125,2050.52,35,157.3562,35,175000,1690.96
15.8088,-1404.6304931640625,1995.73,36,157.1684,36,180000,1671.16
16.4866,-1461.3160400390625,2070.77,37,157.2013,37,185000,1733.57
16.6233,-1491.70703125,2061.06,38,157.3793,38,190000,1710.92
16.3554,-1529.411865234375,2083.0,39,157.3107,39,195000,1718.98
16.0078,-1563.9127197265625,2053.19,40,157.2216,40,200000,1718.14
16.4296,-1593.0325927734375,2110.18,41,157.2601,41,205000,1733.76
16.2282,-1647.3128662109375,2062.42,42,156.9602,42,210000,1726.5
16.1513,-1680.1817626953125,2075.61,43,157.0381,43,215000,1728.37
16.3376,-1719.115966796875,2055.35,44,157.0973,44,220000,1733.83
16.5492,-1755.885986328125,2066.86,45,157.4133,45,225000,1724.6
16.3319,-1784.6568603515625,2070.6,46,157.078,46,230000,1720.78
16.3115,-1824.191650390625,2080.26,47,157.1967,47,235000,1752.57
16.1077,-1857.1373291015625,2105.83,48,157.0401,48,240000,1735.61
16.2159,-1885.6282958984375,2098.32,49,157.1315,49,245000,1736.51
16.137,-1929.26806640625,2050.05,50,157.0007,50,250000,1751.63
16.2781,-1992.63916015625,2117.14,51,156.9845,51,255000,1746.69
16.0193,-2024.9881591796875,2058.99,52,157.0603,52,260000,1713.26
16.4352,-2075.45751953125,2121.73,53,157.2588,53,265000,1763.42
16.0591,-2119.76416015625,2038.38,54,156.9997,54,270000,1727.7
15.6777,-2146.35107421875,2047.09,55,157.049,55,275000,1730.56
16.5168,-2192.172607421875,2158.79,56,157.2016,56,280000,1777.16
15.9848,-2213.176513671875,2108.54,57,156.9363,57,285000,1786.02
16.123,-2267.65771484375,2094.89,58,157.095,58,290000,1750.33
16.0161,-2302.289306640625,2113.61,59,157.1058,59,295000,1758.42
15.8908,-2334.147705078125,2092.48,60,157.0425,60,300000,1791.41
16.1708,-2369.7275390625,2100.05,61,156.9762,61,305000,1748.44
16.2362,-2416.015869140625,2111.02,62,157.0328,62,310000,1823.93
15.736,-2441.716064453125,2112.45,63,156.9532,63,315000,1789.18
15.6579,-2484.259033203125,2070.63,64,156.83,64,320000,1783.31
16.2909,-2543.1123046875,2148.33,65,157.0049,65,325000,1801.56
16.2399,-2563.50732421875,2141.86,66,156.8574,66,330000,1806.48
15.9152,-2611.453857421875,2106.13,67,157.0335,67,335000,1783.16
16.1795,-2652.845703125,2156.01,68,156.903,68,340000,1811.01
15.9019,-2682.7333984375,2117.34,69,156.9224,69,345000,1783.56
15.807,-2716.749755859375,2150.53,70,156.8846,70,350000,1782.92
15.8168,-2757.994140625,2108.15,71,156.8622,71,355000,1797.21
15.9223,-2810.62890625,2125.36,72,157.0766,72,360000,1781.21
15.6419,-2846.537841796875,2069.86,73,157.001,73,365000,1773.05
16.1026,-2902.27734375,2171.54,74,157.0079,74,370000,1822.22
15.9557,-2915.426025390625,2153.77,75,156.8951,75,375000,1813.83
15.9148,-2954.97900390625,2149.22,76,156.8955,76,380000,1806.21
15.853,-3007.582275390625,2131.02,77,156.9146,77,385000,1817.78
15.937,-3037.549072265625,2176.45,78,156.8424,78,390000,1822.05
16.1131,-3095.812744140625,2155.75,79,157.0287,79,395000,1808.55
15.9172,-3135.741455078125,2172.55,80,156.9642,80,400000,1828.0
15.7077,-3169.6318359375,2169.39,81,156.9637,81,405000,1808.59
16.0608,-3214.814208984375,2208.6,82,156.71,82,410000,1857.21
16.0249,-3260.779296875,2190.97,83,156.7981,83,415000,1849.01
15.739,-3289.072509765625,2110.41,84,156.9442,84,420000,1824.8
15.8173,-3321.0693359375,2200.53,85,156.8339,85,425000,1846.83
15.8652,-3377.06689453125,2128.62,86,156.9994,86,430000,1838.84
15.5708,-3427.98779296875,2155.93,87,156.8909,87,435000,1796.15
15.8749,-3475.7041015625,2213.66,88,156.8775,88,440000,1841.93
15.7472,-3501.394287109375,2197.87,89,156.8636,89,445000,1834.61
16.0552,-3558.509765625,2205.29,90,157.0807,90,450000,1839.02
15.7377,-3597.068359375,2105.29,91,156.923,91,455000,1816.41
15.4748,-3628.8212890625,2086.85,92,156.7738,92,460000,1784.79
15.7901,-3690.89306640625,2168.3,93,156.9481,93,465000,1819.41
15.8081,-3739.990966796875,2171.31,94,156.7846,94,470000,1833.64
16.0968,-3795.058837890625,2218.91,95,156.9935,95,475000,1877.24
15.715,-3819.57958984375,2153.04,96,156.8243,96,480000,1811.99
15.683,-3837.501708984375,2157.55,97,156.7763,97,485000,1825.02
15.6198,-3886.6044921875,2109.14,98,156.8942,98,490000,1800.75
15.8478,-3957.5673828125,2220.25,99,157.0184,99,495000,1863.98
15.8888,-4005.30859375,2198.62,100,156.8725,100,500000,1842.47
15.6626,-4012.343505859375,2219.88,101,156.6771,101,505000,1852.86
16.1159,-4070.9267578125,2211.47,102,156.8867,102,510000,1852.9
15.9522,-4153.935546875,2243.04,103,156.9059,103,515000,1880.22
15.5539,-4187.6328125,2161.28,104,156.9691,104,520000,1814.24
15.9135,-4245.5,2197.06,105,156.9852,105,525000,1854.39
15.6673,-4248.88427734375,2146.11,106,156.858,106,530000,1843.91
15.8786,-4305.2646484375,2207.75,107,156.8348,107,535000,1882.66
15.9422,-4359.22216796875,2176.75,108,157.0075,108,540000,1853.77
15.8201,-4430.36181640625,2165.04,109,156.988,109,545000,1837.9
15.8215,-4457.88818359375,2199.1,110,156.8543,110,550000,1863.04
15.7827,-4499.96142578125,2158.84,111,156.749,111,555000,1847.81
15.6339,-4505.7275390625,2174.67,112,156.8438,112,560000,1847.82
15.5078,-4586.66015625,2184.8,113,156.7028,113,565000,1853.14
15.722,-4669.72607421875,2226.65,114,156.8755,114,570000,1867.05
15.6572,-4669.33056640625,2157.09,115,156.7927,115,575000,1818.59
15.618,-4773.9443359375,2192.3,116,156.8475,116,580000,1841.64
15.6212,-4785.119140625,2228.47,117,156.7469,117,585000,1870.36
15.5386,-4855.89453125,2165.56,118,156.7765,118,590000,1829.12
15.6628,-4879.8701171875,2146.41,119,156.9611,119,595000,1847.13
15.6443,-4952.978515625,2234.51,120,157.1161,120,600000,1873.03
15.2142,-5010.67529296875,2167.89,121,156.9603,121,605000,1835.7
15.4715,-5048.154296875,2205.7,122,156.7655,122,610000,1857.08
15.6356,-5108.927734375,2209.99,123,156.8511,123,615000,1865.74
15.8156,-5159.49365234375,2223.32,124,156.9467,124,620000,1872.73
15.4283,-5192.7666015625,2183.54,125,156.9305,125,625000,1851.45
15.6315,-5237.78125,2209.67,126,156.8955,126,630000,1883.83
15.7694,-5291.4287109375,2249.27,127,156.8878,127,635000,1884.2
15.7369,-5325.87646484375,2231.8,128,156.8736,128,640000,1870.47
15.9845,-5372.5341796875,2219.32,129,156.7994,129,645000,1869.75
15.7312,-5463.6572265625,2194.75,130,156.8519,130,650000,1860.87
15.2372,-5495.9619140625,2207.39,131,156.8718,131,655000,1870.41
15.6211,-5560.89306640625,2230.57,132,156.6589,132,660000,1897.8
15.7116,-5567.3623046875,2270.55,133,156.613,133,665000,1907.29
