Real Det Return,Running Update Time,Running Env Steps,Reward Loss,Real Sto Return,Itration,Running Forward KL,Running Reverse KL
206.19,0,0,362.6084899902344,215.13,0,32.8946,31.2024
211.1,1,5000,130.25563049316406,223.87,1,31.086,29.1848
292.18,2,10000,248.46266174316406,287.13,2,30.0453,16.7032
317.42,3,15000,317.9111328125,306.59,3,29.5899,22.7008
292.48,4,20000,333.6248779296875,297.2,4,27.8938,21.322
383.54,5,25000,67.42046356201172,362.29,5,28.626,25.3003
548.29,6,30000,146.70440673828125,561.32,6,27.0848,20.5552
2887.17,7,35000,361.6718444824219,1025.35,7,25.1026,25.0085
603.42,8,40000,335.0104675292969,600.27,8,25.9947,21.1653
596.34,9,45000,357.3989562988281,570.57,9,27.2462,21.5228
2388.29,10,50000,92.96037292480469,2122.62,10,26.6428,25.055
1299.88,11,55000,27.782733917236328,2117.63,11,25.4887,23.2776
290.87,12,60000,-3.2104506492614746,289.83,12,25.4261,14.8178
973.43,13,65000,-568.0942993164062,972.84,13,39.0678,40.7195
32.66,14,70000,-617.3998413085938,33.61,14,38.1493,115.9451
990.06,15,75000,-617.4969482421875,991.57,15,38.713,40.2512
935.62,16,80000,-651.01611328125,804.16,16,36.1201,67.6143
1039.83,17,85000,-607.0414428710938,1041.78,17,36.3815,27.3364
1026.78,18,90000,-653.5973510742188,985.06,18,33.6016,29.5086
434.63,19,95000,-241.31747436523438,587.53,19,32.62,31.8897
1583.47,20,100000,-410.5314636230469,1324.48,20,31.3973,16.6906
1047.24,21,105000,-736.0834350585938,633.41,21,32.1659,106.1307
2095.57,22,110000,-408.832763671875,1689.85,22,28.0311,15.8023
2527.84,23,115000,-202.96653747558594,2530.49,23,26.9788,16.942
2642.41,24,120000,-136.86773681640625,2730.92,24,25.8357,17.4222
2699.39,25,125000,-240.0880889892578,2083.53,25,25.7304,25.6495
3014.05,26,130000,-78.9295883178711,2920.8,26,25.3244,16.4306
3107.41,27,135000,-101.33731079101562,3070.75,27,25.7894,19.5031
2926.7,28,140000,-219.1000518798828,2826.97,28,24.9393,15.5743
2799.25,29,145000,-211.9266815185547,2843.35,29,25.4969,17.1431
2922.55,30,150000,-249.86289978027344,2824.05,30,25.1174,14.3594
3027.74,31,155000,-196.79782104492188,2954.2,31,25.283,17.0633
2902.38,32,160000,-214.1807861328125,2792.95,32,24.8135,16.2127
3167.34,33,165000,-196.57659912109375,2718.02,33,25.4921,16.4131
1523.66,34,170000,-318.1421813964844,1266.32,34,26.2411,21.9288
1408.16,35,175000,-179.63658142089844,1654.98,35,25.6241,16.3504
953.8,36,180000,-302.6639709472656,933.82,36,26.4839,17.8737
2856.69,37,185000,-467.2797546386719,1951.08,37,25.8622,21.6742
3038.33,38,190000,-224.4109649658203,2529.92,38,25.3794,15.4937
747.81,39,195000,-347.9256591796875,2123.82,39,25.6187,13.5977
3151.75,40,200000,-314.529052734375,2894.71,40,25.3147,17.666
990.61,41,205000,-495.3966369628906,989.28,41,25.643,40.8904
3163.12,42,210000,-257.03656005859375,2901.78,42,24.8536,16.7916
3159.0,43,215000,-254.94973754882812,2876.67,43,25.1244,17.1959
2521.75,44,220000,-296.47747802734375,2434.51,44,24.8019,18.7436
2850.62,45,225000,-376.27899169921875,2308.86,45,25.2379,16.6664
3257.16,46,230000,-265.48895263671875,1875.54,46,23.5478,16.6202
961.81,47,235000,-477.308837890625,2810.11,47,25.4293,17.2488
2911.44,48,240000,-526.2673950195312,2850.54,48,25.1556,16.6693
3307.57,49,245000,-402.2742004394531,2118.02,49,24.1075,31.4136
1148.27,50,250000,-819.3961791992188,973.33,50,26.543,21.1388
2673.19,51,255000,-492.5777282714844,1392.81,51,23.5853,14.9875
3198.97,52,260000,-393.97564697265625,3097.95,52,23.42,15.891
3221.92,53,265000,-372.0241394042969,2949.94,53,23.5167,15.6569
2950.42,54,270000,-586.6890258789062,3092.75,54,25.0566,15.5111
991.11,55,275000,-483.2520446777344,2726.28,55,23.7188,14.9604
3146.84,56,280000,-501.9468688964844,3166.19,56,23.6364,22.5158
3132.27,57,285000,-467.1314392089844,3155.28,57,24.5036,18.9719
3203.11,58,290000,-477.27691650390625,3226.72,58,23.6993,17.8377
3190.32,59,295000,-576.30029296875,3001.75,59,25.0698,17.9746
3121.49,60,300000,-505.84088134765625,3127.11,60,25.1151,17.0021
3209.38,61,305000,-537.8668212890625,3227.8,61,24.5204,18.427
2967.28,62,310000,-625.9473266601562,2971.88,62,23.206,12.4349
3268.8,63,315000,-493.61578369140625,3109.05,63,23.7654,17.9015
3176.28,64,320000,-572.0673217773438,3190.35,64,23.6382,17.0644
3281.56,65,325000,-603.1629638671875,3259.72,65,23.6229,22.3135
3295.39,66,330000,-578.0474243164062,3282.16,66,23.8337,17.4229
3344.93,67,335000,-572.8917846679688,3335.35,67,23.6919,16.6967
3346.65,68,340000,-566.711669921875,2377.42,68,23.3801,16.7305
2907.59,69,345000,-564.005859375,2831.97,69,22.8752,17.8782
3225.67,70,350000,-584.4039306640625,3225.44,70,23.1875,16.3591
3187.56,71,355000,-646.2647094726562,3176.71,71,23.8711,17.6412
2975.94,72,360000,-668.983642578125,2993.33,72,23.361,13.8936
2334.47,73,365000,-1299.2138671875,2172.3,73,25.4959,28.5288
634.02,74,370000,-1102.29443359375,1680.52,74,26.4622,16.922
586.36,75,375000,-1437.0086669921875,530.41,75,26.8433,36.749
563.49,76,380000,-1609.802734375,555.53,76,34.0748,43.5872
997.99,77,385000,-1931.6947021484375,997.95,77,40.1977,62.8468
989.6,78,390000,-1884.7720947265625,989.93,78,39.5698,55.6882
1003.65,79,395000,-1964.1024169921875,1003.62,79,38.5093,61.7454
999.72,80,400000,-2002.4747314453125,999.82,80,39.6074,49.1086
1004.93,81,405000,-2013.259521484375,1004.84,81,38.0626,56.3266
963.57,82,410000,-1914.2520751953125,918.38,82,36.1947,31.9222
38.56,83,415000,-2215.294189453125,39.0,83,32.0925,64.5559
165.96,84,420000,-1409.4766845703125,163.85,84,30.5366,20.4391
161.35,85,425000,-1756.1292724609375,161.13,85,32.7118,21.1558
942.26,86,430000,-2274.80126953125,881.6,86,35.0046,59.864
292.19,87,435000,-1696.5020751953125,297.52,87,30.231,67.3109
1523.65,88,440000,-1230.2027587890625,1355.21,88,27.7027,25.4683
200.11,89,445000,-2121.464599609375,200.66,89,31.435,128.0579
1332.63,90,450000,-1977.203369140625,1273.09,90,29.0944,29.8212
1047.61,91,455000,-2410.08740234375,1047.67,91,36.7698,50.8292
1013.45,92,460000,-2566.652099609375,1013.95,92,37.9893,52.2811
1018.08,93,465000,-2628.633544921875,1018.8,93,37.2486,45.2792
1008.14,94,470000,-2659.58740234375,1007.97,94,36.7474,30.3595
1018.99,95,475000,-2746.971923828125,1019.74,95,37.6283,31.1398
1017.48,96,480000,-2844.233642578125,1016.73,96,36.4137,43.4053
1029.28,97,485000,-2850.87939453125,1029.07,97,38.2648,49.4341
1042.44,98,490000,-2681.55810546875,1105.34,98,31.1573,32.8905
984.31,99,495000,-1808.293701171875,1214.23,99,27.8559,22.9137
542.76,100,500000,-2055.27685546875,521.33,100,27.3158,41.5914
998.65,101,505000,-3149.6220703125,997.45,101,38.5127,32.177
995.12,102,510000,-3201.01806640625,994.32,102,38.9956,36.846
1051.38,103,515000,-2694.549560546875,1037.83,103,33.1904,26.4029
416.91,104,520000,-2583.3974609375,453.38,104,32.7213,59.7347
1035.77,105,525000,-3062.959716796875,1036.74,105,35.664,29.882
984.89,106,530000,-3566.70947265625,985.13,106,38.9899,71.104
389.62,107,535000,-3549.916015625,385.55,107,37.639,56.4876
983.23,108,540000,-3654.798583984375,983.26,108,39.6324,62.6111
981.76,109,545000,-3702.55322265625,981.99,109,38.8877,61.2786
-2.34,110,550000,-3107.5634765625,-2.34,110,39.4111,238.4597
55.38,111,555000,-3478.504150390625,73.38,111,34.7138,200.692
38.46,112,560000,-2569.453857421875,34.85,112,33.9425,77.374
1050.2,113,565000,-3790.533203125,1050.03,113,39.7385,58.5902
101.1,114,570000,-2531.894775390625,100.85,114,30.213,124.6393
102.32,115,575000,-2277.42041015625,102.87,115,28.9347,72.8469
324.84,116,580000,-2515.126708984375,319.03,116,30.3631,198.2219
278.74,117,585000,-2721.318115234375,258.68,117,30.6833,161.7793
478.06,118,590000,-2246.78857421875,456.97,118,30.4769,41.1114
990.72,119,595000,-4350.419921875,990.94,119,39.5715,141.7149
997.78,120,600000,-4364.7529296875,997.77,120,40.91,94.0234
1005.56,121,605000,-4427.78759765625,1005.53,121,39.3974,146.6333
1012.5,122,610000,-4452.92626953125,1012.62,122,38.5859,122.0634
1028.53,123,615000,-4346.9814453125,1026.03,123,36.7536,38.5509
1038.81,124,620000,-4280.40673828125,1039.26,124,37.0898,40.2111
1069.16,125,625000,-4236.04736328125,1070.55,125,36.1251,30.1383
1045.3,126,630000,-4238.36962890625,1046.08,126,35.9525,26.287
434.7,127,635000,-2459.171142578125,434.34,127,28.971,32.254
1484.13,128,640000,-2173.493896484375,1532.28,128,27.7648,33.5917
918.92,129,645000,-2993.392333984375,978.54,129,28.3394,114.1272
1053.85,130,650000,-4776.1103515625,1053.96,130,37.2459,37.3488
1031.67,131,655000,-4830.4482421875,1031.31,131,36.8149,26.4551
1023.67,132,660000,-4981.10888671875,1023.29,132,36.9447,75.3791
1015.17,133,665000,-5068.3671875,1015.12,133,36.007,40.1347
1017.69,134,670000,-4665.7626953125,1018.4,134,34.9333,22.7298
1000.66,135,675000,-4262.201171875,1000.69,135,35.3582,24.6955
435.48,136,680000,-3193.84130859375,432.66,136,28.5202,132.9825
681.09,137,685000,-3240.618896484375,706.99,137,28.2512,141.2179
1638.25,138,690000,-3236.9248046875,1709.87,138,29.0729,75.4299
1751.86,139,695000,-3139.383056640625,1583.87,139,29.1227,23.147
1559.65,140,700000,-2883.54296875,1673.11,140,27.0895,39.9509
1755.63,141,705000,-3572.969482421875,1760.13,141,30.0126,26.6718
2058.92,142,710000,-2143.899658203125,2075.98,142,30.0092,25.0107
1555.15,143,715000,-2611.59619140625,1450.94,143,29.1118,18.7229
1802.97,144,720000,-2764.167236328125,1712.62,144,29.4626,20.5389
1003.64,145,725000,-5140.41259765625,1003.26,145,36.5273,25.074
927.85,146,730000,-5235.2578125,852.01,146,32.3881,36.4926
740.69,147,735000,-4017.51220703125,628.03,147,30.2724,24.6767
1002.23,148,740000,-4284.51708984375,814.88,148,31.3386,26.7402
784.52,149,745000,-5029.84814453125,827.19,149,31.0175,64.6038
847.64,150,750000,-5357.35205078125,849.79,150,33.9049,60.7527
1061.41,151,755000,-5772.27587890625,1061.56,151,37.6978,31.827
1084.76,152,760000,-5249.48779296875,1083.29,152,34.9219,22.9345
1063.45,153,765000,-5528.86328125,1062.79,153,34.6176,23.0806
1029.07,154,770000,-5928.330078125,1030.42,154,35.8254,21.9898
1020.51,155,775000,-5859.37255859375,1020.53,155,35.7944,26.7906
388.16,156,780000,-5566.77587890625,390.01,156,35.7119,141.1851
4.88,157,785000,-5084.48046875,4.9,157,36.0324,211.0942
5.23,158,790000,-5475.5986328125,5.32,158,37.8492,52.468
-2.42,159,795000,-5862.24462890625,-2.26,159,39.4566,238.6828
228.65,160,800000,-5288.70703125,226.16,160,31.8437,217.5354
186.16,161,805000,-5396.9990234375,186.65,161,32.6611,231.7087
212.2,162,810000,-5482.09716796875,221.91,162,32.491,152.0239
187.5,163,815000,-3654.166015625,188.69,163,32.3124,25.9721
