Running Env Steps,Real Det Return,Running Forward KL,Real Sto Return,Running Update Time,Itration,Reward Loss,Running Reverse KL
0,162.95,33.0604,189.45,0,0,243.18728637695312,20.0389
5000,350.82,27.0297,353.1,1,1,122.23007202148438,15.5584
10000,320.61,27.8315,326.48,2,2,150.4615020751953,18.8176
15000,106.65,25.7866,382.55,3,3,118.62195587158203,14.2057
20000,540.12,26.3959,506.51,4,4,133.1200408935547,14.8195
25000,627.68,28.1065,620.68,5,5,28.344301223754883,18.0063
30000,693.99,24.5187,689.64,6,6,12.484179496765137,27.0285
35000,963.96,25.8571,830.02,7,7,-10.602041244506836,25.0395
40000,868.14,25.4726,935.86,8,8,-39.21889877319336,29.4197
45000,1203.47,24.6831,956.81,9,9,-109.12205505371094,22.3464
50000,561.78,25.678,584.73,10,10,-105.36044311523438,28.0164
55000,1169.25,25.1979,965.75,11,11,-131.7491455078125,24.7193
60000,1157.34,24.8521,1230.73,12,12,-161.2290802001953,23.9156
65000,1173.75,24.7164,1088.13,13,13,-177.30001831054688,20.6565
70000,1681.61,24.1034,1250.1,14,14,-218.03018188476562,21.6256
75000,3189.17,23.6294,1561.65,15,15,-244.1622314453125,21.1822
80000,1945.65,24.1295,1240.61,16,16,-258.5389099121094,21.2265
85000,1679.3,25.3159,1081.44,17,17,-318.9036560058594,24.4863
90000,2343.13,24.1851,1127.51,18,18,-357.3789367675781,22.8539
95000,1697.66,23.981,1664.74,19,19,-336.084228515625,20.4988
100000,1707.18,24.0166,1623.8,20,20,-365.20751953125,20.235
105000,2962.82,25.2758,3026.55,21,21,-120.89906311035156,17.9227
110000,3137.07,24.0152,2023.74,22,22,-271.2729797363281,19.1534
115000,3184.81,23.6151,2122.84,23,23,-305.64306640625,20.2675
120000,2339.24,24.6016,997.06,24,24,-439.61663818359375,20.0131
125000,3130.69,24.3927,1932.86,25,25,-239.6997833251953,17.9924
130000,3108.09,24.7133,1967.01,26,26,-268.83563232421875,17.5453
135000,2226.55,24.0203,1336.69,27,27,-318.6618957519531,15.2208
140000,3115.35,23.6072,1987.39,28,28,-265.3270263671875,15.4477
145000,3053.83,24.2688,2311.48,29,29,-279.3192443847656,16.4701
150000,3052.08,24.0913,2935.82,30,30,-269.09515380859375,17.1548
155000,3173.73,23.9545,1201.49,31,31,-400.787841796875,16.604
160000,3036.25,24.2002,1653.22,32,32,-382.0218811035156,17.4002
165000,3139.78,24.4659,1256.66,33,33,-573.8786010742188,20.1966
170000,3087.71,24.2492,2383.47,34,34,-312.8271484375,17.9652
175000,3126.87,23.6508,1941.04,35,35,-351.68597412109375,15.5319
180000,2919.9,24.0247,1379.78,36,36,-543.4583740234375,18.6237
185000,3040.47,23.6554,2356.46,37,37,-402.6982421875,17.1118
190000,3056.49,24.4817,2713.52,38,38,-352.61370849609375,17.2769
195000,3175.0,23.2656,2214.8,39,39,-372.8590087890625,16.3621
200000,3060.54,24.2149,2800.69,40,40,-404.8863220214844,16.8334
