Running Env Steps,Running Reverse KL,Real Sto Return,Running Forward KL,Reward Loss,Running Update Time,Itration,Real Det Return
0,13.7344,428.36,49.1301,83.09555053710938,0,0,478.45
5000,17.5507,337.17,49.8481,62.594154357910156,1,1,160.27
10000,34.7026,332.47,49.6249,52.092960357666016,2,2,425.61
15000,22.2254,383.79,49.3592,25.870986938476562,3,3,418.94
20000,13.1699,399.05,49.1609,40.437767028808594,4,4,419.17
25000,13.2188,489.61,48.0546,11.511921882629395,5,5,507.24
30000,28.637,393.82,48.6642,-36.83463668823242,6,6,442.49
35000,26.2361,366.08,49.4518,-75.127197265625,7,7,339.52
40000,30.4059,451.29,48.6323,-31.183317184448242,8,8,367.32
45000,18.1847,513.53,48.1921,-23.012914657592773,9,9,613.38
50000,16.2399,458.15,48.2281,-44.56492233276367,10,10,432.9
55000,24.5028,712.64,47.3205,-61.77812957763672,11,11,777.52
60000,41.0551,753.24,47.1232,-110.3251724243164,12,12,754.01
65000,54.875,796.87,47.0171,-123.49839782714844,13,13,799.6
70000,42.7276,732.39,47.9138,-140.20091247558594,14,14,757.08
75000,22.6388,778.08,47.6588,-142.35781860351562,15,15,886.74
80000,30.7579,824.32,47.3281,-151.0386505126953,16,16,848.93
85000,20.4998,649.98,47.8774,-183.44578552246094,17,17,403.9
90000,14.368,627.5,47.5809,-127.9867172241211,18,18,564.67
95000,21.0089,791.99,46.6339,-139.86048889160156,19,19,1126.78
100000,26.2631,940.81,47.102,-71.17241668701172,20,20,1121.32
105000,25.3151,932.32,48.054,-92.1709213256836,21,21,1009.29
110000,22.472,1047.44,46.4733,-104.41851806640625,22,22,1156.16
115000,23.5047,882.01,47.4768,-108.16876983642578,23,23,942.41
120000,23.6229,741.46,47.8178,-144.95643615722656,24,24,742.42
125000,17.8421,832.07,46.6907,-132.71731567382812,25,25,939.12
130000,15.1143,1125.52,46.6279,-141.84542846679688,26,26,1262.41
135000,16.3115,1094.83,47.5307,-150.12789916992188,27,27,1168.64
140000,24.8491,963.56,46.9514,-164.97821044921875,28,28,1104.02
145000,27.9113,953.08,46.8155,-187.23147583007812,29,29,1165.15
150000,33.5126,811.36,46.5605,-186.43026733398438,30,30,1163.41
155000,26.1034,986.18,47.3914,-188.09803771972656,31,31,1185.15
160000,17.0268,822.43,47.81,-235.20565795898438,32,32,992.43
165000,25.8916,853.04,47.9153,-236.46258544921875,33,33,872.24
170000,16.3351,910.94,47.0688,-259.22857666015625,34,34,933.28
175000,19.8557,941.4,47.1563,-268.7588806152344,35,35,942.26
180000,18.5247,1002.23,47.3704,-323.748779296875,36,36,1000.76
