Real Sto Return,Running Env Steps,Running Reverse KL,Itration,Real Det Return,Reward Loss,Running Update Time,Running Forward KL
332.83,0,258.6766,0,306.75,-693.34130859375,0,437.4089
388.34,5000,281.6844,1,288.46,-1820.9273681640625,1,426.9304
315.15,10000,310.2533,2,290.64,-5770.1806640625,2,438.7218
305.48,15000,270.479,3,206.87,-1189.0184326171875,3,429.2854
368.75,20000,314.9062,4,615.96,-7634.677734375,4,449.1784
387.49,25000,310.001,5,432.22,-10393.7412109375,5,425.443
446.23,30000,291.3763,6,446.37,-9478.2939453125,6,407.9279
455.75,35000,317.3564,7,443.94,-11179.4130859375,7,413.8504
509.18,40000,325.4039,8,594.56,-11622.677734375,8,417.4656
446.61,45000,294.4447,9,481.12,-12568.2919921875,9,407.5561
525.27,50000,307.7138,10,458.16,-13720.732421875,10,425.9117
494.02,55000,282.712,11,572.03,-13845.3564453125,11,418.9704
585.97,60000,301.2256,12,521.53,-16785.8828125,12,418.6854
536.82,65000,273.3588,13,425.2,-16897.400390625,13,412.6265
488.62,70000,279.7214,14,393.36,-19872.60546875,14,425.8471
529.98,75000,277.7119,15,460.12,-19775.46875,15,410.8304
573.74,80000,253.8546,16,546.09,-19711.509765625,16,404.8864
542.71,85000,276.2448,17,539.41,-22397.498046875,17,405.8367
583.72,90000,255.5515,18,471.13,-21906.4375,18,416.0781
506.03,95000,296.8475,19,379.49,-23215.908203125,19,408.9612
558.37,100000,278.6636,20,491.16,-26818.99609375,20,428.3955
626.11,105000,261.2055,21,480.91,-26042.197265625,21,409.256
666.34,110000,280.5944,22,542.25,-28551.525390625,22,408.8993
828.65,115000,254.4595,23,961.21,-25833.287109375,23,390.0751
740.26,120000,249.4883,24,724.33,-28589.818359375,24,379.6014
811.31,125000,303.4881,25,868.74,-29996.5234375,25,387.6203
682.09,130000,278.1897,26,467.75,-28954.568359375,26,388.6081
729.14,135000,258.5683,27,537.07,-30486.3046875,27,397.2542
677.59,140000,237.2999,28,625.4,-30290.126953125,28,373.2923
949.36,145000,244.9538,29,682.14,-29237.224609375,29,375.3062
796.15,150000,244.7858,30,712.21,-33006.29296875,30,375.7743
966.5,155000,285.1076,31,710.72,-34174.08984375,31,383.085
1075.01,160000,267.1719,32,629.17,-34364.50390625,32,386.9636
714.71,165000,272.2549,33,719.33,-37719.1171875,33,387.2994
840.49,170000,253.3511,34,736.4,-37645.8671875,34,380.6312
1300.9,175000,219.4634,35,979.88,-32798.19140625,35,358.6133
1246.94,180000,228.507,36,782.3,-36216.73828125,36,372.0903
1188.27,185000,241.488,37,713.38,-38064.3671875,37,385.6824
1269.22,190000,239.8824,38,713.26,-39552.2890625,38,377.6433
1166.97,195000,230.633,39,709.77,-37017.0625,39,392.7085
1327.36,200000,222.6242,40,661.26,-37730.6796875,40,370.9764
1036.38,205000,234.9058,41,766.51,-40067.12109375,41,380.476
1237.93,210000,216.7977,42,728.09,-37971.54296875,42,373.2547
1187.02,215000,251.8673,43,609.74,-45245.77734375,43,391.1908
1120.94,220000,230.2573,44,672.78,-38538.96484375,44,389.0679
1373.62,225000,214.8821,45,1543.76,-30199.689453125,45,366.8234
1608.81,230000,223.8055,46,1189.22,-42357.31640625,46,364.476
1261.04,235000,207.2292,47,1258.65,-37241.1484375,47,365.5888
1783.51,240000,196.1432,48,1414.62,-37033.09765625,48,360.4979
2278.8,245000,173.5126,49,1517.91,-31019.65234375,49,347.5779
2033.15,250000,163.0546,50,3259.7,-30664.26953125,50,338.7131
1993.65,255000,167.2115,51,3124.26,-30246.703125,51,343.6636
1545.26,260000,244.958,52,1370.29,-47049.91015625,52,388.4477
2096.07,265000,196.2119,53,1663.04,-39506.94140625,53,355.129
2751.87,270000,179.4212,54,4096.12,-33456.5,54,354.6939
2432.5,275000,207.1178,55,3354.31,-36288.640625,55,359.7589
1992.68,280000,194.4549,56,1567.93,-37422.6640625,56,359.5843
2169.26,285000,185.8908,57,1639.95,-37397.31640625,57,358.6285
1759.55,290000,197.2417,58,1095.81,-39667.8203125,58,361.0658
1429.73,295000,228.7969,59,1204.61,-46372.60546875,59,367.8449
1455.12,300000,248.3434,60,1074.23,-50473.703125,60,379.1897
1533.0,305000,252.7144,61,1271.68,-47057.98046875,61,358.2335
1838.35,310000,202.5434,62,1622.16,-41143.2265625,62,356.9553
1789.7,315000,235.1732,63,937.75,-50607.87890625,63,380.1422
1212.74,320000,285.0952,64,648.29,-55857.765625,64,390.474
1777.03,325000,222.4703,65,909.6,-45802.7734375,65,363.2793
1903.67,330000,212.425,66,1569.53,-42853.5390625,66,360.9886
1552.36,335000,213.4818,67,1047.49,-47973.29296875,67,376.5988
2732.14,340000,209.9228,68,1683.03,-43413.65234375,68,361.9061
2050.07,345000,197.8195,69,2570.11,-43419.05859375,69,366.9073
2080.85,350000,215.4447,70,1457.62,-49251.06640625,70,375.4823
2509.84,355000,206.6986,71,3390.13,-43701.71875,71,365.5999
1668.07,360000,194.2416,72,1097.42,-43551.6171875,72,358.9034
1968.73,365000,217.9024,73,1469.03,-51142.13671875,73,375.7694
1409.91,370000,189.0891,74,555.21,-44966.08984375,74,360.1218
1213.35,375000,214.513,75,1019.95,-50997.26171875,75,378.6025
1404.98,380000,230.443,76,1146.25,-54093.9140625,76,386.2017
2176.12,385000,204.6103,77,1711.1,-48136.4921875,77,366.1661
4426.0,390000,158.0085,78,3555.63,-26722.697265625,78,341.4746
3661.29,395000,158.4492,79,3270.74,-22634.75,79,342.1203
4301.37,400000,150.8964,80,4493.29,-23181.5546875,80,341.9411
2877.29,405000,178.4306,81,1767.01,-34623.84765625,81,352.6443
4103.05,410000,152.5725,82,5131.95,-16909.775390625,82,334.982
4142.33,415000,149.2586,83,4164.51,-22736.94140625,83,341.6459
3143.68,420000,181.0724,84,4223.6,-40130.9296875,84,352.0713
4325.9,425000,166.8416,85,4614.28,-27576.798828125,85,343.8418
4219.0,430000,155.1544,86,4648.79,-21522.7578125,86,337.626
4318.41,435000,168.1026,87,4954.18,-26834.953125,87,340.4167
