Running Update Time,Reward Loss,Real Sto Return,Running Env Steps,Running Forward KL,Running Reverse KL,Itration,Real Det Return
78,-514.9631958007812,2831.34,390000,19.2129,14.251,78,3350.96
79,-974.70068359375,2212.81,395000,20.7774,16.8587,79,2668.25
80,-671.9044799804688,2468.49,400000,19.8339,14.4196,80,3394.22
81,-411.68011474609375,3263.2,405000,18.7523,13.535,81,3365.19
82,-714.641357421875,2790.83,410000,20.483,15.4381,82,3401.14
83,-713.1060180664062,2654.37,415000,19.9237,17.086,83,3403.34
84,-698.39990234375,2609.76,420000,19.505,16.1122,84,3416.45
85,-827.7848510742188,2534.07,425000,19.9088,19.1612,85,3397.92
86,-861.7807006835938,1999.28,430000,19.5473,18.2872,86,3386.01
87,-476.4959411621094,2850.99,435000,18.6329,14.218,87,3368.59
88,-1012.4229125976562,2333.36,440000,20.2414,21.5005,88,3440.51
89,-715.8766479492188,2687.1,445000,19.7667,16.7372,89,3404.36
90,-1170.32568359375,2178.07,450000,21.4706,21.4761,90,3433.33
91,-562.7054443359375,2876.48,455000,19.1209,13.4092,91,3409.63
92,-474.7432556152344,3134.4,460000,19.4739,13.0962,92,3418.14
93,-767.1647338867188,2696.68,465000,19.4323,17.1696,93,3398.4
94,-1083.648193359375,2709.85,470000,21.8307,20.8094,94,3435.74
95,-1075.2958984375,2241.65,475000,20.9093,18.5713,95,3435.42
96,-815.6578979492188,2746.29,480000,19.3536,17.5322,96,3401.09
97,-617.5512084960938,2628.85,485000,18.4159,14.001,97,3407.75
98,-1623.18310546875,1371.45,490000,22.199,27.645,98,2646.33
99,-1062.0899658203125,2418.51,495000,20.2776,17.819,99,3440.03
100,-757.3261108398438,2114.48,500000,19.0142,14.3657,100,303.36
101,-1472.341796875,1530.43,505000,20.9396,24.8021,101,2880.57
102,-1023.4503173828125,2474.76,510000,19.9172,20.0364,102,3404.48
103,-1282.951171875,1705.68,515000,21.2407,23.8528,103,3268.74
104,-704.3341674804688,2830.34,520000,19.776,15.297,104,3445.0
105,-1671.626708984375,1959.68,525000,21.2288,28.527,105,3322.95
106,-1475.5416259765625,1745.42,530000,20.3577,23.6504,106,3399.95
107,-1425.3759765625,2726.72,535000,19.9249,22.1912,107,3443.43
108,-1265.697509765625,2483.71,540000,19.5155,20.085,108,3412.53
109,-265.2856140136719,3100.08,545000,17.8728,11.4167,109,3406.03
110,-251.30140686035156,3436.75,550000,17.8286,11.0514,110,3427.34
111,-1113.2777099609375,2641.57,555000,19.2546,17.7771,111,3411.52
112,-1423.0675048828125,2361.26,560000,19.7915,20.6211,112,3421.33
113,-1217.7432861328125,2757.58,565000,19.0477,18.7882,113,3412.97
114,-422.09381103515625,3315.33,570000,17.3741,12.1372,114,3430.75
115,-641.4826049804688,3052.7,575000,17.8586,13.3644,115,3410.24
116,-1284.4183349609375,2543.76,580000,19.1854,19.1774,116,3435.16
117,-540.2522583007812,2891.19,585000,17.8507,12.6481,117,3358.4
118,-1180.0655517578125,2194.22,590000,19.0787,16.4825,118,3391.2
119,-424.9623718261719,2668.74,595000,17.1617,11.0131,119,3391.15
120,-957.0068969726562,2843.2,600000,17.7588,14.6919,120,3436.53
121,-531.530517578125,3035.68,605000,17.3015,11.938,121,3385.0
122,-853.9488525390625,2874.54,610000,18.196,13.5869,122,3424.82
123,-1399.5672607421875,2026.87,615000,20.1395,16.3477,123,3416.89
124,-1417.90380859375,2502.25,620000,19.3514,15.1623,124,3431.65
125,-326.7224426269531,3061.6,625000,16.5431,10.9891,125,3398.21
126,-1521.2769775390625,2373.91,630000,19.1004,18.6109,126,3418.94
127,-1159.7757568359375,2151.21,635000,19.0943,16.6539,127,3047.05
128,-1275.5950927734375,2800.77,640000,18.3566,19.3574,128,3421.34
129,-410.08575439453125,3252.89,645000,17.1518,11.8517,129,3418.12
130,-1086.3125,2995.7,650000,18.8399,15.3332,130,3430.36
131,-265.51678466796875,3187.99,655000,17.3666,10.7333,131,3391.83
132,-1449.87548828125,2589.4,660000,20.2888,18.0862,132,3436.78
133,-1897.5059814453125,2132.13,665000,20.1402,22.9043,133,3441.4
134,-1681.53271484375,2218.78,670000,19.3067,22.1565,134,3442.88
135,-384.34326171875,3265.65,675000,17.72,10.8578,135,3459.75
136,-2053.105712890625,1832.16,680000,20.0375,22.6726,136,3408.88
137,-1817.752197265625,2317.17,685000,19.8872,20.6219,137,3390.82
138,-895.6753540039062,2839.62,690000,18.4964,14.4898,138,3468.35
139,-1419.4132080078125,2534.14,695000,18.7997,19.7044,139,3436.5
140,-1111.79345703125,2668.58,700000,18.8279,16.2492,140,3434.88
141,-1055.5135498046875,2102.68,705000,18.1492,14.0593,141,3419.14
142,-472.2620544433594,2864.83,710000,16.9135,10.9802,142,3392.48
143,-1153.6160888671875,3000.23,715000,18.3914,15.8182,143,3391.01
144,-1006.3384399414062,2557.29,720000,18.8747,15.8986,144,3453.91
145,-1060.675048828125,2917.53,725000,18.6978,15.7097,145,3393.81
146,-1912.0794677734375,2733.25,730000,19.2714,20.1547,146,3461.47
147,-1809.6820068359375,2857.71,735000,20.0352,19.292,147,3464.6
148,-271.8580627441406,3085.16,740000,17.5278,11.0316,148,3392.31
149,-565.498291015625,2873.99,745000,17.8252,11.9054,149,3400.83
150,-1038.46630859375,2920.63,750000,18.3282,14.2906,150,3416.85
151,-1987.236083984375,2265.79,755000,20.024,19.9619,151,3428.49
152,-1753.377197265625,2752.17,760000,19.1341,18.8305,152,3440.03
153,-2233.51708984375,2608.19,765000,20.4426,21.304,153,3431.94
154,-1973.9854736328125,2565.05,770000,19.9226,18.4862,154,3427.8
155,-2121.82373046875,1974.79,775000,19.4123,19.6257,155,3114.77
156,-2032.765625,2439.1,780000,19.5831,19.0884,156,3414.05
157,-2311.243896484375,1946.87,785000,20.3818,20.9579,157,3313.13
158,-352.42236328125,3244.6,790000,18.407,10.6099,158,3433.36
159,-2348.05224609375,2508.67,795000,19.3785,18.35,159,3462.57
160,-2283.093017578125,2191.43,800000,19.9822,18.873,160,3455.29
161,-1757.0469970703125,2562.58,805000,19.4623,14.3928,161,3432.48
162,-1277.7552490234375,3040.18,810000,18.2731,14.3581,162,3415.57
