Real Sto Return,Running Reverse KL,Running Forward KL,Real Det Return,Itration,q,clip,folder,episode,environment,seed
204.52,19.925,32.9265,210.45,0,1,1.0,logs/Hopper-v5/exp-4/cisl/2024_12_08_08_17_36_q1_seed0_qstd1.0,0,Hopper-v5,0
232.97,25.0286,32.4695,211.69,1,1,1.0,logs/Hopper-v5/exp-4/cisl/2024_12_08_08_17_36_q1_seed0_qstd1.0,5000,Hopper-v5,0
283.0,28.7847,31.795,288.04,2,1,1.0,logs/Hopper-v5/exp-4/cisl/2024_12_08_08_17_36_q1_seed0_qstd1.0,10000,Hopper-v5,0
220.81,41.4726,31.2996,240.37,3,1,1.0,logs/Hopper-v5/exp-4/cisl/2024_12_08_08_17_36_q1_seed0_qstd1.0,15000,Hopper-v5,0
266.9,47.7415,31.1409,289.41,4,1,1.0,logs/Hopper-v5/exp-4/cisl/2024_12_08_08_17_36_q1_seed0_qstd1.0,20000,Hopper-v5,0
316.11,33.0962,32.2242,304.38,5,1,1.0,logs/Hopper-v5/exp-4/cisl/2024_12_08_08_17_36_q1_seed0_qstd1.0,25000,Hopper-v5,0
