Real Det Return,Running Env Steps,Running Forward KL,Real Sto Return,Reward Loss,Running Update Time,Itration,Running Reverse KL
-44.21,0,158.4221,-208.98,-298.5131530761719,0,0,11.5179
20.32,5000,158.3627,-104.25,-348.70538330078125,1,1,11.4402
681.03,10000,158.2887,12.68,-434.9568786621094,2,2,11.7688
770.33,15000,158.1621,233.99,-543.661865234375,3,3,12.7619
806.91,20000,158.0037,414.82,-658.39892578125,4,4,13.446
1096.41,25000,158.04,628.23,-721.5167236328125,5,5,14.024
1079.79,30000,157.8579,678.92,-740.3780517578125,6,6,14.2866
1115.58,35000,157.8711,679.01,-758.7456665039062,7,7,14.3615
1253.18,40000,158.0954,825.37,-826.9983520507812,8,8,15.1974
1345.01,45000,158.011,889.98,-848.7030029296875,9,9,15.4141
1269.86,50000,157.9854,988.23,-883.7117919921875,10,10,15.8997
1535.16,55000,157.7842,1102.38,-936.2763061523438,11,11,16.0139
1577.95,60000,157.6621,1191.1,-971.7394409179688,12,12,16.3493
1590.34,65000,158.1438,1197.79,-1010.671875,13,13,16.6712
1596.87,70000,158.1983,1216.46,-1038.607177734375,14,14,16.8435
1716.35,75000,157.7383,1293.11,-1091.166015625,15,15,16.6877
1723.18,80000,158.0314,1317.35,-1117.064453125,16,16,16.8472
1773.06,85000,157.6871,1375.69,-1154.657958984375,17,17,16.6607
1765.28,90000,158.0134,1376.33,-1199.9176025390625,18,18,16.8838
1837.65,95000,157.6484,1409.64,-1238.4173583984375,19,19,16.6266
1781.61,100000,157.6444,1431.19,-1259.0372314453125,20,20,16.3304
1811.24,105000,157.5606,1448.48,-1281.24658203125,21,21,16.0979
1853.84,110000,157.6697,1488.7,-1334.0098876953125,22,22,16.27
1827.36,115000,157.5994,1511.68,-1375.823974609375,23,23,16.1314
1893.12,120000,157.6164,1552.24,-1397.9185791015625,24,24,16.6134
1907.58,125000,157.5466,1554.87,-1429.3685302734375,25,25,16.0689
1844.63,130000,157.6855,1550.22,-1465.310546875,26,26,16.1948
1913.25,135000,157.3844,1562.64,-1511.3699951171875,27,27,16.2814
1987.4,140000,157.4538,1594.5,-1569.12744140625,28,28,16.5781
1890.89,145000,157.3662,1566.82,-1570.4422607421875,29,29,15.9981
1947.83,150000,157.3957,1619.6,-1591.3258056640625,30,30,16.0988
1998.5,155000,157.3828,1623.34,-1657.215576171875,31,31,16.5122
1996.91,160000,157.3158,1665.63,-1684.5233154296875,32,32,16.5004
1946.46,165000,157.3928,1633.37,-1716.554931640625,33,33,16.0542
2059.87,170000,157.2946,1696.91,-1770.171875,34,34,16.7235
1990.24,175000,157.318,1637.84,-1805.646240234375,35,35,16.245
2023.75,180000,157.3576,1666.65,-1853.7886962890625,36,36,16.1099
2090.98,185000,157.1793,1694.09,-1884.441650390625,37,37,16.3462
2064.02,190000,157.1706,1696.31,-1905.139892578125,38,38,16.4066
2064.52,195000,157.2232,1710.38,-1951.354736328125,39,39,16.1722
2015.11,200000,157.0867,1692.75,-1981.5616455078125,40,40,16.0136
2045.74,205000,157.1189,1701.89,-2058.961181640625,41,41,15.9309
2048.54,210000,157.3511,1700.92,-2103.145751953125,42,42,16.4562
2097.34,215000,157.0083,1731.9,-2134.814697265625,43,43,16.1602
2066.43,220000,157.1082,1697.53,-2147.521240234375,44,44,16.1968
2077.82,225000,157.0984,1725.01,-2188.67333984375,45,45,16.3884
2046.82,230000,156.9003,1704.15,-2234.840576171875,46,46,15.9241
2107.63,235000,157.0734,1730.42,-2280.573486328125,47,47,16.0011
2089.93,240000,157.0603,1734.68,-2321.376708984375,48,48,16.0753
2018.65,245000,156.9904,1691.83,-2372.011962890625,49,49,15.6927
2071.51,250000,156.9518,1729.88,-2386.551513671875,50,50,16.0586
2047.62,255000,156.855,1697.98,-2446.726318359375,51,51,15.6147
2054.27,260000,156.9873,1735.19,-2465.85595703125,52,52,16.081
2053.07,265000,156.742,1745.84,-2532.462646484375,53,53,15.8783
2108.89,270000,156.9197,1766.65,-2567.265869140625,54,54,16.1003
2076.77,275000,157.0685,1754.56,-2614.4873046875,55,55,15.9187
2140.76,280000,156.916,1785.61,-2663.561767578125,56,56,16.3303
2060.46,285000,156.9762,1764.2,-2666.2529296875,57,57,15.8133
2004.85,290000,156.8595,1712.51,-2715.815185546875,58,58,15.5346
2105.52,295000,156.9687,1747.8,-2766.86865234375,59,59,15.9317
2136.92,300000,156.9701,1752.18,-2821.218994140625,60,60,15.892
2119.0,305000,156.8905,1755.99,-2842.86669921875,61,61,15.9302
2120.6,310000,156.9099,1779.23,-2891.494384765625,62,62,16.1629
2103.71,315000,156.963,1765.61,-2931.619140625,63,63,15.9128
2149.88,320000,156.9142,1786.68,-2977.6376953125,64,64,15.9166
2148.15,325000,157.0533,1770.1,-3023.17578125,65,65,16.2155
2142.67,330000,156.9466,1784.11,-3067.540771484375,66,66,15.9736
2066.94,335000,157.0412,1765.76,-3095.73046875,67,67,15.5985
2095.37,340000,156.9704,1771.16,-3143.2392578125,68,68,16.1176
2084.45,345000,156.718,1770.34,-3176.992919921875,69,69,15.6559
2087.04,350000,156.7039,1782.05,-3225.59130859375,70,70,15.6063
2106.94,355000,156.804,1807.69,-3269.562255859375,71,71,15.9784
2173.23,360000,156.9088,1797.42,-3309.887939453125,72,72,15.8224
2132.69,365000,156.7732,1803.02,-3368.18115234375,73,73,15.9481
2154.01,370000,156.9021,1807.23,-3418.03662109375,74,74,15.7264
2153.64,375000,156.8075,1799.97,-3440.202880859375,75,75,15.5947
2073.09,380000,156.848,1768.39,-3485.899169921875,76,76,15.4977
2127.12,385000,156.7892,1805.17,-3534.41748046875,77,77,15.6062
2127.34,390000,156.7111,1813.28,-3584.4052734375,78,78,15.5242
2175.32,395000,156.6209,1821.89,-3629.277587890625,79,79,15.6068
2189.52,400000,156.8187,1839.96,-3707.149169921875,80,80,15.9095
2198.83,405000,156.8638,1840.21,-3745.215087890625,81,81,15.9691
2118.82,410000,156.6547,1814.19,-3770.155517578125,82,82,15.444
2123.76,415000,156.7582,1829.69,-3820.8125,83,83,15.7789
2137.56,420000,156.6512,1830.52,-3871.402099609375,84,84,15.6876
2090.2,425000,156.8022,1807.0,-3893.3896484375,85,85,15.5023
2141.16,430000,156.7213,1799.83,-3935.4658203125,86,86,15.7257
2173.95,435000,156.8436,1812.66,-3986.864013671875,87,87,15.7667
2190.65,440000,156.655,1849.5,-4040.959716796875,88,88,15.9117
2204.9,445000,156.8192,1853.05,-4110.80517578125,89,89,15.9038
