Reward Loss,Real Det Return,Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Running Env Steps,Running Update Time
384.2625732421875,87.12,27.9759,-192.69,0,74.2914,0,0
309.6128234863281,103.96,26.2336,-31.74,1,74.3291,5000,1
243.4376678466797,392.94,25.6005,-53.29,2,75.0,10000,2
190.82797241210938,371.81,25.6884,-10.24,3,72.245,15000,3
112.23138427734375,348.19,27.5293,15.92,4,74.2582,20000,4
49.13040542602539,446.17,28.2631,15.66,5,73.0492,25000,5
-33.66619873046875,511.91,28.0369,43.75,6,73.8162,30000,6
-106.53081512451172,458.65,28.5482,96.12,7,70.5138,35000,7
-209.84268188476562,611.31,29.3148,82.85,8,72.3424,40000,8
-260.4782409667969,560.55,28.2745,88.44,9,71.5993,45000,9
-304.69287109375,625.88,27.5742,90.09,10,68.9419,50000,10
-353.5226135253906,926.22,26.7421,150.77,11,66.6608,55000,11
-459.8173522949219,819.1,28.661,66.17,12,69.3657,60000,12
-516.0234985351562,965.75,28.3716,234.37,13,69.7629,65000,13
-584.2800903320312,819.47,27.6981,195.2,14,68.5427,70000,14
-638.881591796875,725.21,28.9908,192.86,15,69.7159,75000,15
-710.1818237304688,911.5,27.2077,188.94,16,67.0436,80000,16
-798.7965087890625,824.81,27.9015,191.46,17,67.639,85000,17
-873.1107177734375,743.31,28.4455,157.61,18,70.0987,90000,18
-954.4703369140625,618.9,28.8717,166.05,19,69.265,95000,19
-957.09375,962.71,26.9835,304.11,20,65.3314,100000,20
-1011.6790771484375,1204.97,26.6947,277.49,21,65.3329,105000,21
-1124.5616455078125,819.74,28.0439,184.3,22,66.4548,110000,22
-1195.56982421875,748.27,28.1374,259.33,23,67.3231,115000,23
-1236.6041259765625,729.14,26.5661,242.04,24,65.9308,120000,24
-1329.5009765625,749.2,28.1117,253.57,25,66.4588,125000,25
-1312.1209716796875,1474.14,26.6587,540.19,26,63.6386,130000,26
-1449.2899169921875,1182.67,27.6891,440.56,27,66.1375,135000,27
-1339.427490234375,1419.45,26.4382,706.44,28,59.0404,140000,28
-1599.433349609375,1422.42,27.6084,490.04,29,65.9741,145000,29
-1663.0888671875,940.19,27.6634,273.64,30,66.4785,150000,30
-1607.0311279296875,918.52,24.2983,309.94,31,61.5551,155000,31
-1809.6614990234375,932.14,26.7122,194.0,32,66.2891,160000,32
-1929.22509765625,769.4,28.3208,189.01,33,69.0219,165000,33
-1760.989013671875,1054.47,24.7103,635.86,34,62.3571,170000,34
-1862.4443359375,1582.85,24.438,475.78,35,61.3617,175000,35
-1956.1461181640625,1568.74,25.7045,479.21,36,63.9095,180000,36
-1967.531005859375,1009.82,23.4966,386.65,37,60.9849,185000,37
-1969.431884765625,1484.77,26.0387,573.02,38,63.0937,190000,38
-1920.0718994140625,1862.44,24.0885,907.18,39,58.954,195000,39
-2258.506591796875,1008.18,25.2617,616.5,40,61.9465,200000,40
