Reward Loss,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return,Running Forward KL,Running Update Time,Itration
279.92572021484375,206.85,0,22.5007,206.38,38.3821,0,0
255.04458618164062,256.16,5000,22.6127,252.48,37.6942,1,1
106.56202697753906,391.03,10000,17.7094,380.51,33.8416,2,2
85.73816680908203,175.47,15000,79.346,379.43,33.6928,3,3
102.68513488769531,610.56,20000,16.6269,518.54,33.3109,4,4
190.82147216796875,601.52,25000,32.3798,520.86,33.1836,5,5
123.44560241699219,687.62,30000,16.8337,676.97,32.793,6,6
115.12274169921875,2760.61,35000,27.82,1340.17,32.0625,7,7
157.06915283203125,1115.6,40000,37.4786,1102.18,32.0935,8,8
175.80972290039062,870.32,45000,51.5302,856.87,32.08,9,9
135.3848419189453,974.5,50000,39.7505,1128.81,31.874,10,10
124.90361785888672,1170.81,55000,34.7246,1001.23,32.0262,11,11
125.1181640625,890.93,60000,41.5459,964.24,32.9034,12,12
127.18585205078125,963.25,65000,54.4859,991.47,32.2856,13,13
115.45899200439453,955.06,70000,46.2657,946.53,32.8647,14,14
105.90592193603516,916.57,75000,74.819,901.83,32.5026,15,15
90.10330963134766,1361.88,80000,59.143,1152.8,32.5876,16,16
70.96299743652344,3088.19,85000,39.015,1352.43,32.0046,17,17
73.83596801757812,1248.62,90000,52.6406,1150.08,32.2159,18,18
54.01431655883789,1663.33,95000,51.6379,1162.49,32.1686,19,19
-8.016959190368652,3083.29,100000,25.0346,1949.5,31.709,20,20
-8.060025215148926,3158.46,105000,32.2853,1558.59,31.378,21,21
29.055156707763672,1317.43,110000,52.2987,995.52,32.2975,22,22
3.936344861984253,2967.6,115000,50.3615,1578.02,31.6135,23,23
-3.111987829208374,3105.57,120000,32.087,1697.69,31.5937,24,24
-11.098292350769043,2793.22,125000,41.925,1290.15,30.6894,25,25
-8.715014457702637,1329.31,130000,61.9105,1086.24,31.8508,26,26
-26.175268173217773,2952.16,135000,49.9189,1518.95,31.8702,27,27
-35.30520248413086,3000.82,140000,25.6065,2351.95,31.018,28,28
-29.24639320373535,1787.1,145000,48.2135,1160.91,31.7106,29,29
-35.1181640625,2339.7,150000,33.1449,1380.74,31.077,30,30
-40.65180587768555,2045.87,155000,49.8518,1155.82,31.9563,31,31
-45.492645263671875,2902.74,160000,20.1584,3004.03,31.8187,32,32
-50.62742233276367,3010.23,165000,25.1803,2226.92,31.2996,33,33
