Running Forward KL,Real Sto Return,Reward Loss,Running Env Steps,Running Update Time,Itration,Real Det Return,Running Reverse KL
36.9379,37.39,5.080204963684082,0,0,0,48.73,7.5691
37.1067,37.5,4.055946350097656,90,1,1,49.23,7.8133
36.733,35.37,4.468125820159912,180,2,2,49.32,7.9813
36.3681,40.34,4.058004856109619,270,3,3,47.49,7.5545
36.5134,41.37,3.7066307067871094,360,4,4,49.24,7.9185
36.3925,45.54,3.3505747318267822,450,5,5,47.66,7.2222
36.9892,48.74,2.3272461891174316,540,6,6,52.79,9.7698
36.6779,49.43,1.7902889251708984,630,7,7,52.12,9.9863
36.6506,45.05,0.8075214624404907,720,8,8,51.02,9.6755
36.9805,47.63,-0.8868831396102905,810,9,9,50.37,10.7365
