Real Det Return,Running Update Time,Reward Loss,Real Sto Return,Running Env Steps,Running Forward KL,Running Reverse KL,Itration
263.34,0,387.12774658203125,217.52,0,32.457,15.5346,0
347.97,1,569.8826904296875,339.43,5000,32.527,48.8601,1
273.89,2,178.14352416992188,278.33,10000,31.9228,25.4825,2
51.13,3,49.22185134887695,272.0,15000,30.3269,31.1102,3
325.88,4,4.7952985763549805,346.19,20000,32.5172,31.9357,4
455.19,5,-57.66946029663086,440.78,25000,29.9323,28.3831,5
540.74,6,-86.56087493896484,508.69,30000,28.5339,27.6361,6
513.83,7,-145.82846069335938,481.33,35000,28.8232,31.8229,7
2461.86,8,36.67338562011719,1861.3,40000,25.3572,14.7071,8
1997.57,9,-69.83030700683594,1703.53,45000,26.7042,15.9837,9
528.51,10,-214.47955322265625,536.61,50000,27.0832,23.8513,10
698.79,11,-273.739990234375,672.47,55000,27.0842,27.2882,11
817.0,12,-282.1209716796875,777.22,60000,25.5397,29.2543,12
640.83,13,-289.85015869140625,615.71,65000,26.0383,22.139,13
1025.54,14,-392.8089294433594,934.74,70000,24.6374,25.0084,14
984.8,15,-406.6005554199219,980.14,75000,24.9277,30.6056,15
2576.32,16,-105.31663513183594,2636.28,80000,25.5713,15.2017,16
989.26,17,-348.804443359375,929.51,85000,24.1273,24.0622,17
2889.22,18,-38.27299880981445,2910.07,90000,24.6267,16.8805,18
3142.41,19,111.81497955322266,3155.96,95000,20.59,14.7918,19
3061.19,20,119.79254913330078,2987.61,100000,21.3485,13.4524,20
1487.2,21,215.58619689941406,1431.24,105000,21.5453,12.717,21
1324.88,22,101.79315948486328,1084.21,110000,22.5975,13.4616,22
3071.01,23,-39.343528747558594,2305.35,115000,21.9862,13.8845,23
3201.31,24,17.774202346801758,2922.94,120000,20.7868,13.248,24
3294.44,25,99.84446716308594,3178.0,125000,20.2689,14.2706,25
3284.38,26,-91.14302062988281,1597.24,130000,20.9635,14.5825,26
3273.91,27,-302.7308349609375,2109.7,135000,21.5609,15.7144,27
3211.83,28,-140.5353240966797,2642.21,140000,20.9698,12.7578,28
3267.96,29,16.400367736816406,3003.52,145000,19.327,13.0739,29
3322.1,30,-31.281484603881836,2475.15,150000,19.9416,13.5521,30
3156.79,31,-68.18669128417969,3174.27,155000,20.5696,14.6958,31
3224.23,32,-45.175777435302734,2606.6,160000,22.2612,12.3819,32
3197.68,33,-60.380619049072266,3181.71,165000,20.3869,14.1052,33
3216.7,34,-42.50347137451172,3221.96,170000,20.1445,14.4259,34
3226.37,35,-41.350128173828125,3242.5,175000,20.3003,13.4169,35
3274.59,36,-270.5867919921875,1930.76,180000,20.2758,12.6086,36
3182.87,37,-195.52700805664062,2175.57,185000,20.8175,12.1368,37
3200.49,38,-106.84371185302734,3209.92,190000,20.7018,13.9509,38
3356.79,39,-106.52521514892578,1942.07,195000,19.2592,10.8291,39
3283.86,40,-86.25404357910156,3241.05,200000,19.6053,13.4179,40
3230.87,41,-34.89347839355469,3148.57,205000,19.7874,13.0705,41
2703.96,42,-205.81016540527344,2128.9,210000,20.319,11.7879,42
3276.49,43,-44.115047454833984,2858.01,215000,18.1003,11.8344,43
3258.1,44,-191.82077026367188,2445.44,220000,19.7738,11.5914,44
3314.33,45,-165.1894989013672,2924.2,225000,19.1739,11.4949,45
3260.25,46,-104.02523803710938,3287.39,230000,19.8511,13.5908,46
3120.88,47,-486.8406066894531,1874.97,235000,22.1335,12.0323,47
3309.74,48,-270.7891845703125,2488.45,240000,18.5907,11.3474,48
1924.9,49,-547.1348266601562,1141.53,245000,21.8803,13.6707,49
3340.07,50,-268.4617919921875,2296.37,250000,19.048,11.4444,50
3304.19,51,-94.74878692626953,3232.38,255000,16.994,10.8541,51
3313.4,52,-125.2177963256836,2926.32,260000,18.8364,13.1239,52
3298.25,53,-142.0710906982422,3268.55,265000,19.2992,13.0568,53
3332.55,54,-121.9448471069336,3325.17,270000,18.9078,13.0743,54
3321.77,55,-162.05686950683594,3194.57,275000,18.7274,12.6403,55
3287.99,56,-190.12452697753906,3134.02,280000,20.4033,12.9058,56
3373.81,57,-143.37310791015625,3311.45,285000,18.2271,12.4848,57
