Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Reverse KL,Itration,Running Env Steps,Running Update Time
139.7,34.7987,-99.91478729248047,24.35,24.3048,0,0,0
295.26,31.5998,-248.05906677246094,283.64,22.8701,1,5000,1
250.3,31.1337,-134.3939208984375,246.83,19.5957,2,10000,2
290.37,31.4865,-333.73492431640625,296.73,19.2469,3,15000,3
322.65,31.0188,-347.66741943359375,322.15,18.5795,4,20000,4
322.26,31.2405,-387.145751953125,325.47,20.2839,5,25000,5
314.06,31.5263,-447.747314453125,318.82,19.5816,6,30000,6
298.43,31.2851,-415.6140441894531,297.96,20.0952,7,35000,7
266.76,29.7314,-473.56341552734375,251.92,20.0474,8,40000,8
357.69,29.5873,-488.2943115234375,353.85,18.1448,9,45000,9
350.41,29.377,-488.9319763183594,344.8,19.9403,10,50000,10
356.38,29.13,-516.640869140625,343.81,18.2708,11,55000,11
368.57,30.4988,-534.648193359375,376.81,17.0055,12,60000,12
382.65,30.4252,-559.8551025390625,392.48,17.7412,13,65000,13
383.24,30.4364,-587.6537475585938,377.8,15.85,14,70000,14
400.87,30.18,-643.709228515625,405.95,15.6096,15,75000,15
450.93,28.2627,-781.248291015625,514.14,18.4531,16,80000,16
484.17,28.1503,-803.9306030273438,498.45,16.7544,17,85000,17
604.75,27.0227,-1282.5408935546875,643.91,32.5497,18,90000,18
505.69,27.0985,-868.4945678710938,488.63,17.2326,19,95000,19
587.6,27.5642,-1527.4727783203125,609.35,59.7426,20,100000,20
606.3,27.0986,-1574.80029296875,580.39,74.2584,21,105000,21
680.29,27.0733,-1439.114013671875,616.24,72.3764,22,110000,22
560.57,27.2058,-1534.5035400390625,519.93,75.1233,23,115000,23
546.91,27.5249,-1525.591064453125,578.85,61.1425,24,120000,24
611.25,26.726,-1510.2645263671875,591.89,53.7688,25,125000,25
873.5,26.4018,-1834.0269775390625,755.4,94.2319,26,130000,26
1267.82,24.8725,-1860.2469482421875,1105.28,94.3842,27,135000,27
910.44,25.279,-1589.911376953125,866.78,63.3417,28,140000,28
857.89,24.8528,-1587.542724609375,1077.02,51.7955,29,145000,29
1772.26,24.4619,-1284.2138671875,1269.59,28.1575,30,150000,30
2376.28,23.809,-773.009765625,2668.08,16.9546,31,155000,31
1391.15,23.2115,-999.849853515625,1154.41,24.6756,32,160000,32
2424.08,22.839,-679.4568481445312,2597.27,14.1428,33,165000,33
2453.73,22.7835,-965.4354858398438,3014.9,17.6652,34,170000,34
2017.71,22.301,-998.0364379882812,3073.6,21.9411,35,175000,35
2077.37,22.888,-1101.91845703125,3239.48,19.4692,36,180000,36
1525.19,23.7452,-1645.4886474609375,1175.57,36.5611,37,185000,37
3256.91,21.9126,-248.71153259277344,3367.07,15.2925,38,190000,38
2737.61,20.9938,-503.2172546386719,3479.78,19.6365,39,195000,39
3182.53,21.2613,-301.2117614746094,3380.12,15.0389,40,200000,40
3365.5,20.5164,-293.04437255859375,3358.94,14.9935,41,205000,41
3380.67,21.5995,-290.8902282714844,3387.99,15.9013,42,210000,42
3413.73,19.2727,-267.0283508300781,3427.1,13.6221,43,215000,43
3403.93,18.056,-293.8514404296875,3427.73,12.0134,44,220000,44
3447.11,19.0089,-268.6028137207031,3449.37,13.0925,45,225000,45
3415.81,18.5152,-265.1573181152344,3455.01,12.095,46,230000,46
3424.85,17.3332,-290.05572509765625,3463.74,11.4043,47,235000,47
2509.23,19.0837,-320.12493896484375,3485.61,12.5691,48,240000,48
3370.95,19.8903,-282.9591369628906,3492.3,13.2405,49,245000,49
