Itration,Running Env Steps,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Running Update Time
0,0,21.65473175048828,26.2086,75.9346,533.47,-64.13,0
1,5000,7.509909629821777,25.5818,74.6618,273.26,-96.04,1
2,10000,-8.609920501708984,25.0094,73.1638,467.6,-13.56,2
3,15000,-23.318498611450195,26.6015,72.7991,729.01,-2.59,3
4,20000,-34.93559265136719,25.9342,71.2029,597.73,24.06,4
5,25000,-48.120567321777344,27.2528,71.2588,643.77,58.03,5
6,30000,-62.080257415771484,28.6691,72.7178,605.61,55.64,6
7,35000,-79.50331115722656,29.9573,72.2924,646.2,102.6,7
8,40000,-89.495849609375,30.432,70.6858,833.49,130.72,8
9,45000,-102.09048461914062,29.794,71.0458,713.81,118.09,9
10,50000,-118.0799331665039,32.3317,72.0084,835.5,160.41,10
11,55000,-126.4480972290039,30.5372,69.1077,925.27,139.01,11
12,60000,-140.53233337402344,30.4557,70.7674,829.4,165.81,12
13,65000,-148.653564453125,30.893,72.2435,767.13,105.57,13
14,70000,-155.6427764892578,28.5761,64.4782,797.78,164.41,14
15,75000,-175.9220428466797,29.7508,70.1481,735.83,132.24,15
16,80000,-185.87997436523438,30.8532,70.6035,833.74,175.62,16
17,85000,-201.96693420410156,30.0902,70.0748,760.09,163.37,17
18,90000,-209.32835388183594,29.7533,67.1493,976.77,181.67,18
19,95000,-231.08389282226562,31.1431,73.7881,650.55,189.91,19
20,100000,-233.4209747314453,30.034,67.1406,908.59,187.26,20
21,105000,-252.2733154296875,30.174,69.4753,831.29,203.23,21
22,110000,-263.13726806640625,29.8119,70.3561,771.25,172.33,22
23,115000,-278.4715270996094,30.7435,71.6734,793.94,254.61,23
24,120000,-287.71185302734375,29.2512,68.4217,864.69,253.88,24
25,125000,-290.3800964355469,28.549,64.9218,838.81,168.38,25
26,130000,-312.636474609375,29.5979,68.341,868.1,234.56,26
27,135000,-325.6304016113281,30.4917,68.8437,810.84,109.98,27
28,140000,-331.0914306640625,31.0197,65.9921,900.99,190.09,28
29,145000,-357.5163879394531,32.5341,74.8267,337.3,32.66,29
30,150000,-390.61395263671875,57.5869,82.2085,-391.36,-620.43,30
31,155000,-393.88177490234375,93.8397,83.0938,-409.77,-349.19,31
32,160000,-451.7696533203125,148.5966,93.175,-372.3,-481.07,32
33,165000,-397.5614318847656,41.9226,78.6784,-937.66,-763.67,33
34,170000,-427.8453063964844,41.9489,78.2846,-551.78,-552.09,34
35,175000,-415.0583190917969,29.4807,76.2568,-499.09,-656.48,35
36,180000,-432.2928161621094,30.0944,79.3316,-277.18,-490.09,36
37,185000,-450.1437072753906,90.5256,78.9289,-1148.93,-1369.95,37
38,190000,-485.53204345703125,42.5429,79.5021,-562.55,-403.51,38
39,195000,-480.38238525390625,37.5622,78.44,-300.36,-893.36,39
40,200000,-521.7354736328125,53.83,80.4506,-374.0,-464.82,40
41,205000,-513.18896484375,35.6895,77.9344,-427.01,-450.02,41
42,210000,-503.14630126953125,48.2102,76.8909,-1249.53,-1218.56,42
43,215000,-516.6476440429688,33.6446,74.8687,-543.65,-264.16,43
44,220000,-556.7695922851562,37.2348,78.3866,-1139.52,-723.7,44
45,225000,-586.5798950195312,44.2857,80.813,-612.67,-302.84,45
46,230000,-601.6874389648438,42.7435,77.3597,-739.74,-440.3,46
47,235000,-617.3667602539062,65.184,78.6338,-955.4,-748.45,47
48,240000,-615.7118530273438,82.8765,78.0158,-1239.76,-1142.61,48
49,245000,-650.189453125,89.526,81.1751,-1603.5,-1413.78,49
50,250000,-662.3236694335938,33.6182,78.5735,-895.82,-813.58,50
51,255000,-652.2455444335938,163.8291,84.3993,-1551.58,-1635.38,51
52,260000,-675.1593017578125,42.1154,78.4889,-1011.93,-895.41,52
53,265000,-720.5451049804688,37.8714,79.3637,-602.87,-681.49,53
54,270000,-714.8544311523438,33.5547,78.5198,-550.08,-680.81,54
55,275000,-748.2503662109375,75.959,78.2168,-683.97,-827.68,55
56,280000,-750.6785888671875,33.7829,77.1218,-1016.25,-393.72,56
57,285000,-744.0032348632812,80.807,78.6617,-1177.4,-842.66,57
58,290000,-764.8015747070312,28.9414,78.3825,-460.07,-1240.58,58
59,295000,-798.31103515625,41.2394,79.5673,-1117.48,-339.73,59
60,300000,-832.257080078125,45.6323,80.856,-631.1,-713.79,60
61,305000,-881.4261474609375,88.1641,86.0896,-910.6,-955.38,61
62,310000,-824.475830078125,34.4828,77.8709,-1324.32,-1054.97,62
63,315000,-831.4108276367188,34.6557,77.1184,-568.88,-580.54,63
64,320000,-912.0120849609375,316.1551,84.8748,-1851.54,-1647.47,64
65,325000,-905.9105834960938,58.6684,79.3654,-1095.6,-1271.98,65
66,330000,-945.694580078125,54.8373,80.0854,-1268.2,-1148.76,66
67,335000,-920.130126953125,268.1423,82.8437,-1780.6,-1475.73,67
68,340000,-945.962158203125,43.3706,77.4783,-1116.03,-1010.51,68
69,345000,-994.3077392578125,204.2008,80.9487,-1550.06,-1306.22,69
70,350000,-1004.7208251953125,82.5378,78.9825,-1182.36,-850.48,70
71,355000,-1043.9708251953125,43.0979,79.7711,-1283.59,-1232.99,71
72,360000,-1026.708984375,77.5926,79.7471,-1095.97,-1056.28,72
73,365000,-1068.1485595703125,47.6128,78.6995,-868.72,-905.07,73
74,370000,-1049.8499755859375,34.7162,77.6476,-486.25,-636.83,74
75,375000,-1105.832763671875,76.6063,80.3229,-903.71,-644.97,75
76,380000,-1094.23388671875,41.8093,77.3871,-655.21,-784.53,76
77,385000,-1155.485595703125,49.9218,82.3193,-1437.33,-1289.74,77
78,390000,-1139.819091796875,38.5239,78.104,-1043.38,-624.48,78
79,395000,-1212.597412109375,78.115,80.4264,-729.86,-762.38,79
80,400000,-1214.5693359375,52.5727,77.195,-1252.91,-1251.32,80
81,405000,-1259.3328857421875,64.6539,83.9855,-1536.5,-1904.54,81
82,410000,-1231.7274169921875,42.5953,79.3139,-690.97,-625.67,82
83,415000,-1273.298583984375,83.0864,77.5378,-856.14,-1061.59,83
84,420000,-1313.6175537109375,38.0856,79.5447,-781.15,-768.83,84
85,425000,-1319.185302734375,55.5961,81.9182,-1684.14,-1494.4,85
86,430000,-1336.0352783203125,43.733,77.3672,-1140.35,-968.36,86
87,435000,-1323.62744140625,41.6057,78.5075,-1224.55,-701.65,87
88,440000,-1364.3802490234375,34.2664,76.4636,-1096.72,-959.59,88
89,445000,-1283.0880126953125,445.2894,89.5927,-1942.29,-1988.03,89
90,450000,-1418.634033203125,111.8617,78.6528,-1765.9,-1373.1,90
91,455000,-1456.8634033203125,37.3082,78.636,-980.35,-1190.81,91
92,460000,-1450.684814453125,31.0296,77.8269,-1189.06,-822.37,92
93,465000,-1460.09521484375,53.3188,78.9316,-1317.84,-1347.66,93
94,470000,-1502.677490234375,37.7399,77.9813,-856.04,-919.66,94
95,475000,-1539.29296875,55.6353,78.4776,-682.56,-956.54,95
96,480000,-1597.425537109375,76.2568,79.5424,-756.1,-998.61,96
97,485000,-1619.9119873046875,81.0042,79.4586,-1491.79,-1103.38,97
98,490000,-1605.8468017578125,41.2037,77.8318,-941.66,-499.06,98
99,495000,-1633.75537109375,35.1136,77.9669,-909.17,-863.16,99
100,500000,-1632.78125,32.3125,76.1707,-661.28,-1159.71,100
101,505000,-1623.28662109375,42.7001,75.0209,-840.65,-831.89,101
102,510000,-1656.4620361328125,30.1626,75.6615,-782.37,-430.08,102
103,515000,-1687.31396484375,30.007,75.9005,-997.87,-797.05,103
104,520000,-1755.8050537109375,184.5058,78.653,-1292.22,-888.28,104
105,525000,-1772.18359375,38.9307,77.3549,-845.07,-935.37,105
106,530000,-1832.6019287109375,33.8895,76.0122,-686.2,-671.46,106
107,535000,-1872.6876220703125,136.3951,79.0844,-1488.64,-1130.29,107
108,540000,-1843.765380859375,32.4113,75.5371,-423.49,-596.28,108
109,545000,-1851.2083740234375,33.1543,77.7326,-877.45,-854.27,109
110,550000,-1900.4635009765625,32.8666,75.9993,-630.84,-663.13,110
111,555000,-1945.943603515625,47.5879,80.9477,-1378.06,-705.63,111
112,560000,-1976.1990966796875,40.6987,77.65,-883.79,-739.38,112
113,565000,-2000.287353515625,35.7174,77.2842,-876.03,-901.17,113
114,570000,-2017.637939453125,42.8962,78.2725,-646.82,-757.62,114
115,575000,-2122.802001953125,50.8098,79.9592,-709.78,-609.13,115
116,580000,-2064.084228515625,30.3801,76.1502,-672.39,-494.66,116
117,585000,-2184.659912109375,49.4097,79.0423,-1120.59,-934.93,117
118,590000,-2191.21337890625,66.9418,79.4728,-1156.06,-916.98,118
119,595000,-2154.25537109375,31.846,76.9968,-593.62,-513.65,119
120,600000,-2189.743896484375,41.7922,77.5463,-715.92,-649.7,120
121,605000,-2229.8046875,39.4516,76.5774,-321.63,-527.75,121
122,610000,-2264.031005859375,58.244,78.7024,-1154.49,-727.77,122
123,615000,-2337.2109375,65.7873,77.2686,-699.32,-1136.79,123
124,620000,-2333.050537109375,26.2949,76.1299,-799.1,-689.63,124
125,625000,-2334.26416015625,28.7251,74.4418,-715.84,-411.16,125
126,630000,-2335.8779296875,26.2472,75.6713,-517.41,-617.17,126
127,635000,-2429.896728515625,27.5963,76.7164,-523.98,-628.46,127
128,640000,-2502.632568359375,38.1661,77.2568,-975.04,-1011.96,128
129,645000,-2515.854736328125,30.7238,76.73,-833.13,-727.89,129
130,650000,-2603.5849609375,36.8345,77.8138,-622.18,-720.24,130
131,655000,-2564.12548828125,33.9691,76.1143,-573.28,-926.04,131
132,660000,-2543.65283203125,33.7293,74.8349,-578.2,-867.98,132
133,665000,-2650.46240234375,27.9688,75.3321,-335.3,-995.55,133
134,670000,-2718.856689453125,34.9629,76.5606,-390.21,-642.61,134
135,675000,-2769.43701171875,37.9995,76.7505,-907.11,-987.48,135
136,680000,-2805.322998046875,30.6124,75.3576,-1141.91,-590.53,136
137,685000,-2828.911376953125,26.872,75.8296,-786.84,-569.16,137
138,690000,-2789.013916015625,37.8882,77.3585,-945.49,-894.88,138
139,695000,-2899.4443359375,26.5619,75.6968,-840.08,-535.47,139
140,700000,-2924.71240234375,27.1135,75.1964,-895.51,-684.53,140
141,705000,-3055.39794921875,33.4467,78.1412,-711.25,-672.84,141
142,710000,-3032.96875,29.5377,76.623,-656.78,-476.49,142
143,715000,-3122.404052734375,36.6164,77.0763,-924.5,-764.78,143
144,720000,-3082.97607421875,31.5115,77.0139,-1346.21,-742.57,144
145,725000,-3200.894775390625,114.713,79.4719,-1027.26,-508.66,145
146,730000,-3229.9453125,39.944,76.3877,-842.04,-719.62,146
147,735000,-3267.552001953125,56.0239,77.2775,-1041.96,-821.77,147
148,740000,-3305.54541015625,26.7569,75.9954,-1021.14,-546.32,148
149,745000,-3328.6650390625,34.712,76.8864,-911.22,-707.24,149
150,750000,-3403.154296875,42.9358,77.1151,-1145.41,-1076.47,150
151,755000,-3427.39013671875,28.1047,75.3202,-927.66,-760.64,151
152,760000,-3554.019287109375,37.0073,78.2074,-1027.14,-1032.04,152
153,765000,-3572.47412109375,41.4536,77.4932,-1427.44,-1132.79,153
154,770000,-3599.163818359375,38.8868,79.175,-1343.69,-1042.95,154
155,775000,-3622.66455078125,30.0762,75.4548,-1091.8,-801.44,155
156,780000,-3680.3623046875,30.8169,74.5456,-1049.72,-1032.18,156
157,785000,-3739.303466796875,28.1853,76.7724,-642.48,-528.64,157
158,790000,-3801.83740234375,36.797,78.4615,-865.65,-717.57,158
159,795000,-3840.401123046875,32.4668,76.9141,-668.71,-809.64,159
160,800000,-3927.396728515625,28.1842,75.4862,-801.39,-774.78,160
161,805000,-3797.113525390625,29.2928,75.1502,-474.29,-1078.25,161
162,810000,-4092.942138671875,27.9746,76.7015,-985.69,-746.96,162
163,815000,-4017.75634765625,35.5844,76.1547,-833.67,-561.16,163
164,820000,-4020.2470703125,36.2376,75.9755,-637.24,-532.28,164
165,825000,-4092.600830078125,27.8093,74.0749,-559.64,-861.47,165
166,830000,-4231.28173828125,27.141,75.4052,-744.29,-785.91,166
167,835000,-4261.86376953125,40.2196,76.0545,-958.9,-745.32,167
168,840000,-4259.41357421875,25.157,75.9143,-522.69,-724.75,168
169,845000,-4411.31494140625,26.6326,75.8783,-449.03,-446.45,169
170,850000,-4284.03173828125,24.6163,74.7025,-591.5,-609.58,170
171,855000,-4414.9853515625,25.808,74.3947,-672.53,-872.92,171
172,860000,-4291.3603515625,156.1175,76.87,-534.57,-604.21,172
173,865000,-4471.87060546875,27.0226,76.1556,-600.61,-725.38,173
174,870000,-4438.3671875,39.6192,74.8893,-564.28,-578.16,174
175,875000,-4715.07763671875,26.6055,75.4651,-300.52,-660.03,175
176,880000,-4700.19921875,24.8002,73.5028,-670.9,-475.14,176
177,885000,-4717.56689453125,22.7331,74.8681,-317.96,-360.1,177
178,890000,-5010.63427734375,28.4178,76.6352,-769.69,-709.83,178
179,895000,-4917.56201171875,22.2984,75.0629,-313.13,-218.66,179
