Running Forward KL,Real Sto Return,Itration,Running Reverse KL,Real Det Return
49.4057,306.27,0,13.9594,366.91
50.2056,331.3,1,29.7545,386.0
50.6561,343.16,2,28.1772,348.92
50.1457,436.63,3,21.1893,405.83
49.9502,379.21,4,51.6794,423.93
49.6386,401.27,5,46.9376,408.61
49.4485,447.08,6,46.2789,416.83
48.6792,579.15,7,48.5102,572.06
49.708,416.29,8,67.0875,407.91
48.5948,513.69,9,46.936,573.18
48.3225,579.88,10,49.8282,666.49
47.7742,659.69,11,36.5733,617.62
48.0482,607.15,12,89.0007,681.85
46.7247,709.03,13,27.7875,707.76
45.9798,889.98,14,34.3801,894.53
46.9156,739.68,15,37.8486,706.37
47.4344,630.67,16,39.4464,629.46
46.7864,688.61,17,43.894,807.0
46.9751,796.71,18,25.1173,741.85
45.3087,846.81,19,25.0447,629.93
46.0665,986.02,20,24.1303,821.75
46.4436,909.13,21,17.0864,883.93
46.2682,887.18,22,18.5694,871.14
45.9841,1804.82,23,17.0568,2104.14
46.1705,1291.62,24,17.7287,2761.39
45.1626,2158.55,25,15.7354,2642.77
44.2233,2279.32,26,14.9576,2974.66
44.8001,2206.57,27,16.6641,3093.69
44.5903,3064.1,28,17.7454,2872.31
44.2936,3179.84,29,16.5166,2856.78
44.6901,3218.94,30,15.8507,3080.32
44.8905,3033.84,31,16.3213,3287.44
44.1161,2766.28,32,14.7422,3496.97
44.1876,3247.81,33,16.6335,3312.23
44.2392,2806.48,34,15.3433,3237.32
44.8748,3339.58,35,16.3738,3306.31
43.9974,3232.48,36,15.8878,3332.62
43.9514,2524.34,37,15.8985,3171.03
42.5774,3106.28,38,16.4652,3433.13
43.6805,2828.67,39,16.5107,3160.43
44.6503,3212.72,40,18.7719,3367.54
43.5357,3498.26,41,16.4712,3571.36
43.8239,3432.25,42,15.8963,3343.45
43.8838,3476.42,43,17.3648,3314.22
42.7845,3164.83,44,15.3366,3397.56
43.0764,3506.21,45,16.2329,3630.98
43.4624,3487.62,46,16.4564,3535.46
43.4857,3622.76,47,17.0248,3562.71
43.7522,3513.9,48,15.8683,3402.78
43.667,3529.43,49,16.3418,3495.49
42.8261,3604.25,50,16.7497,3667.84
