Running Reverse KL,Real Det Return,Running Env Steps,Reward Loss,Running Forward KL,Running Update Time,Itration,Real Sto Return
26.6975,230.97,0,69.55964660644531,38.8525,0,0,234.15
42.5049,272.8,5000,36.74092483520508,38.4268,1,1,273.64
31.6118,299.88,10000,43.249149322509766,38.0319,2,2,287.75
24.7193,308.15,15000,29.631778717041016,38.4728,3,3,311.48
30.6643,347.28,20000,25.689237594604492,37.6402,4,4,346.93
46.0731,324.08,25000,17.039030075073242,37.9195,5,5,324.85
35.7767,286.06,30000,2.876073122024536,37.4697,6,6,298.05
26.0924,358.73,35000,-19.029743194580078,37.5192,7,7,361.33
29.9766,381.18,40000,-22.56365203857422,36.97,8,8,371.56
30.5127,521.92,45000,-34.10301971435547,35.6988,9,9,505.14
25.631,565.52,50000,-35.75140380859375,35.7739,10,10,607.57
33.3574,505.71,55000,-53.3569221496582,35.0731,11,11,531.03
32.0313,617.22,60000,-58.17617416381836,34.8394,12,12,660.23
27.3425,707.6,65000,-73.77255249023438,33.5431,13,13,802.1
28.507,551.73,70000,-82.33702850341797,34.7414,14,14,551.23
29.976,873.76,75000,-85.90235900878906,36.0201,15,15,710.58
26.9504,1314.65,80000,-76.45198822021484,32.5148,16,16,1752.68
34.6706,750.07,85000,-114.82401275634766,34.7995,17,17,787.22
30.966,806.36,90000,-115.62358856201172,33.145,18,18,792.73
33.2308,914.56,95000,-124.97746276855469,33.4036,19,19,948.3
35.2085,698.34,100000,-148.39768981933594,33.6488,20,20,737.27
32.8189,1178.62,105000,-149.11338806152344,32.7951,21,21,955.13
19.7989,2773.84,110000,-66.7866439819336,31.0747,22,22,2056.86
33.7618,987.97,115000,-170.39747619628906,33.2444,23,23,888.54
33.1213,1263.05,120000,-156.42588806152344,32.2025,24,24,1241.58
35.7455,1358.75,125000,-167.8642578125,31.5566,25,25,1235.18
38.0982,1001.55,130000,-192.87815856933594,33.9981,26,26,996.06
21.3202,2751.16,135000,-95.37403106689453,31.0779,27,27,2127.23
21.2491,3041.02,140000,-102.88849639892578,30.7929,28,28,2293.73
20.6484,2685.31,145000,-83.92520141601562,32.6324,29,29,2113.48
35.4192,1388.98,150000,-198.71005249023438,32.5518,30,30,1315.43
29.3273,2369.78,155000,-165.57272338867188,31.8728,31,31,1567.39
42.3158,870.54,160000,-256.67816162109375,33.0334,32,32,813.76
27.6205,2930.21,165000,-160.95639038085938,31.731,33,33,1723.4
33.5426,1160.25,170000,-233.24530029296875,31.242,34,34,1236.12
39.1452,985.17,175000,-269.85589599609375,33.135,35,35,892.29
27.2212,3006.29,180000,-174.28460693359375,31.2442,36,36,1928.55
34.0997,1305.08,185000,-241.0404052734375,31.3086,37,37,1239.42
35.9523,2968.25,190000,-254.33644104003906,31.6137,38,38,1415.83
30.1063,3031.77,195000,-206.90902709960938,31.3229,39,39,2035.61
34.7522,1877.17,200000,-267.351318359375,32.1115,40,40,1162.35
32.6329,3116.76,205000,-248.71400451660156,31.9384,41,41,1488.31
33.3884,3071.02,210000,-256.803466796875,30.9256,42,42,1918.63
18.1449,2981.53,215000,-106.95487213134766,30.1601,43,43,2524.38
28.1912,2907.58,220000,-250.8093719482422,30.5597,44,44,1684.66
29.1473,3112.9,225000,-233.57467651367188,31.1378,45,45,2322.08
27.1599,3065.6,230000,-237.59719848632812,31.3459,46,46,1705.45
14.3403,3064.68,235000,-80.08614349365234,30.2308,47,47,2957.68
16.0205,3066.72,240000,-106.93121337890625,30.2573,48,48,2087.99
14.0068,3046.75,245000,-68.17501831054688,30.5191,49,49,2836.02
17.7565,1828.61,250000,-143.62353515625,30.8383,50,50,2669.6
18.6064,3116.86,255000,-223.32858276367188,31.2667,51,51,1793.61
18.7673,3103.15,260000,-255.5467529296875,31.0401,52,52,2287.01
14.4175,3193.5,265000,-114.63004302978516,30.5463,53,53,3100.29
14.5417,2320.17,270000,-102.11205291748047,30.5762,54,54,2742.96
16.9941,2058.76,275000,-248.79502868652344,31.1883,55,55,1422.54
14.7386,3050.3,280000,-122.32637023925781,30.6727,56,56,2690.88
15.3213,3111.36,285000,-166.7817840576172,29.7078,57,57,2412.3
17.6906,3203.86,290000,-243.50645446777344,31.1408,58,58,1424.67
23.2462,1162.6,295000,-409.9591064453125,32.9523,59,59,999.42
16.517,3126.94,300000,-184.77261352539062,30.0841,60,60,2633.72
19.6416,3167.14,305000,-292.38226318359375,30.9159,61,61,1212.53
15.0291,3176.77,310000,-179.19161987304688,29.9751,62,62,2570.02
17.7774,3146.01,315000,-293.890869140625,30.4394,63,63,1722.15
21.7128,3115.43,320000,-365.2992858886719,30.5964,64,64,1588.06
