Running Reverse KL,Running Env Steps,Running Update Time,Itration,Real Det Return,Reward Loss,Real Sto Return,Running Forward KL
13.8393,0,0,0,610.6,1505.849853515625,434.46,49.0945
12.8349,5000,1,1,358.69,1106.158203125,361.5,49.2073
13.5032,10000,2,2,365.17,1055.139404296875,390.09,49.7372
14.1343,15000,3,3,356.0,1162.211669921875,374.67,49.7203
15.1403,20000,4,4,406.42,1316.4464111328125,410.53,49.3077
31.4695,25000,5,5,472.19,740.3414916992188,570.71,49.3405
27.9431,30000,6,6,437.45,748.881591796875,455.98,49.0162
17.0402,35000,7,7,503.09,1847.8297119140625,509.66,48.8446
23.0111,40000,8,8,526.48,767.9392700195312,449.33,48.8073
21.261,45000,9,9,649.11,740.02490234375,555.5,48.207
55.1221,50000,10,10,564.76,620.244140625,580.27,48.0089
23.3762,55000,11,11,583.64,564.2531127929688,607.54,48.0066
31.2917,60000,12,12,942.63,260.8247985839844,1227.82,47.0807
49.7827,65000,13,13,635.7,247.70159912109375,612.3,48.211
22.4409,70000,14,14,1017.97,225.00762939453125,1062.12,47.6902
31.5668,75000,15,15,892.37,-115.40094757080078,1168.37,47.8198
38.0477,80000,16,16,1140.6,-182.383056640625,916.86,48.2457
25.0971,85000,17,17,768.02,-209.1182403564453,1034.7,48.2793
23.4706,90000,18,18,867.5,-214.9499969482422,864.05,47.8092
21.3103,95000,19,19,981.31,-430.2207336425781,1183.05,47.8746
32.9947,100000,20,20,1218.3,-421.6451416015625,1074.3,47.6495
29.3663,105000,21,21,957.72,-206.25473022460938,972.72,47.9727
20.1963,110000,22,22,1702.37,-55.15670394897461,1414.87,46.9939
21.3217,115000,23,23,1792.2,-280.46685791015625,1244.11,46.9546
20.3004,120000,24,24,2707.68,-269.76934814453125,1988.31,46.2255
15.1055,125000,25,25,620.51,-66.82759857177734,1832.92,47.3865
27.4443,130000,26,26,1795.63,-282.5557556152344,1586.93,46.2525
36.241,135000,27,27,1948.42,-495.27410888671875,1584.43,46.4575
28.4442,140000,28,28,2225.48,-403.55047607421875,1864.55,46.5209
40.0775,145000,29,29,1996.87,-593.3317260742188,1177.57,46.7536
42.942,150000,30,30,1522.1,-683.2511596679688,1350.31,46.4254
53.9524,155000,31,31,1167.57,-786.1629638671875,1230.89,47.0817
51.4869,160000,32,32,1042.3,-884.9601440429688,1087.58,46.6082
57.8552,165000,33,33,1083.31,-953.7498779296875,1144.39,46.9632
