Running Forward KL,Running Env Steps,Itration,Real Sto Return,Running Update Time,Reward Loss,Real Det Return,Running Reverse KL
49.0653,0,0,390.13,0,556.3330688476562,295.95,12.1477
49.376,5000,1,285.15,1,384.7872009277344,285.63,18.9056
49.6021,10000,2,430.61,2,1201.3175048828125,378.04,15.8482
49.3319,15000,3,435.08,3,590.4330444335938,403.21,12.9873
48.8044,20000,4,412.22,4,530.9127197265625,420.42,12.6694
48.4292,25000,5,601.28,5,159.52810668945312,484.92,13.0282
47.8022,30000,6,779.04,6,323.2660217285156,1056.64,14.8188
47.1023,35000,7,599.21,7,203.98851013183594,609.16,23.074
47.2961,40000,8,601.25,8,334.4558410644531,697.95,18.2664
47.1871,45000,9,627.55,9,458.8968200683594,1121.83,13.8352
46.8146,50000,10,762.12,10,420.80902099609375,1452.19,19.5462
47.8007,55000,11,526.66,11,-71.35867309570312,438.61,14.6695
47.2096,60000,12,578.18,12,126.0479965209961,583.46,15.5986
45.4465,65000,13,599.65,13,-186.66709899902344,786.54,13.9029
45.1379,70000,14,1287.76,14,-213.59030151367188,1660.36,12.0437
48.3833,75000,15,863.99,15,-988.7579956054688,574.07,19.6534
45.5667,80000,16,2273.02,16,-895.18310546875,2404.95,13.7605
44.4176,85000,17,2535.67,17,-524.3042602539062,3133.68,11.6411
43.9633,90000,18,1182.78,18,57.24927520751953,1854.81,11.6967
44.7014,95000,19,1172.13,19,33.619102478027344,1722.38,12.082
42.4986,100000,20,2557.15,20,-282.0525817871094,2487.46,11.6664
43.2455,105000,21,1883.65,21,-1.5439180135726929,2226.04,11.5354
43.65,110000,22,1517.52,22,-24.966022491455078,1791.59,11.2865
42.6936,115000,23,2574.85,23,-677.777587890625,3155.38,12.3951
42.4447,120000,24,3528.44,24,-759.2167358398438,3453.43,13.4084
43.0463,125000,25,3283.61,25,-855.3327026367188,3158.54,13.7791
42.7552,130000,26,3064.5,26,-725.2186279296875,3130.8,13.4192
42.9506,135000,27,3269.81,27,-875.0651245117188,3371.39,13.8062
42.6962,140000,28,2964.16,28,-748.7149047851562,3574.13,12.437
42.7761,145000,29,3540.16,29,-877.407470703125,3649.24,14.9291
42.9433,150000,30,3319.64,30,-937.8585205078125,3535.72,14.4041
42.724,155000,31,3493.84,31,-934.2784423828125,3632.57,13.9763
42.9003,160000,32,3595.93,32,-936.8793334960938,3657.24,15.1092
42.5513,165000,33,3399.94,33,-1019.733154296875,3413.79,12.6843
42.1431,170000,34,3677.74,34,-973.6455078125,3719.06,16.3192
42.5301,175000,35,3557.1,35,-821.0370483398438,3686.99,14.2894
41.5264,180000,36,3662.89,36,-978.3873291015625,3799.06,14.1687
42.6955,185000,37,3630.46,37,-1111.8251953125,3724.69,15.0144
42.1748,190000,38,3700.83,38,-1064.913818359375,3830.08,16.2259
41.3389,195000,39,3782.11,39,-1018.663330078125,3815.42,15.6463
41.3194,200000,40,3652.14,40,-1084.650390625,3809.1,14.9769
41.7645,205000,41,3664.44,41,-928.333984375,3869.07,14.0934
41.7768,210000,42,3473.36,42,-1027.7894287109375,3888.46,13.378
42.3453,215000,43,3086.76,43,-1048.6651611328125,2028.22,12.5722
41.9033,220000,44,3836.44,44,-1077.9178466796875,3894.91,14.6218
41.4564,225000,45,3947.04,45,-1222.7869873046875,3946.96,15.2288
42.625,230000,46,3821.89,46,-1082.4761962890625,3899.19,15.7486
41.9346,235000,47,3852.85,47,-1166.9208984375,3955.38,15.8963
42.066,240000,48,3727.06,48,-1302.880615234375,3773.07,16.3602
42.6413,245000,49,3751.48,49,-1154.5625,3782.64,16.9817
42.1257,250000,50,3890.59,50,-1186.647216796875,3925.22,14.0634
41.6399,255000,51,4038.88,51,-1209.928955078125,4052.37,16.7915
40.7608,260000,52,4063.24,52,-1222.9788818359375,4190.82,16.3742
41.2978,265000,53,3839.64,53,-1233.0274658203125,3874.74,15.0889
41.5023,270000,54,3774.13,54,-1174.0718994140625,4012.19,14.4941
41.0566,275000,55,3972.85,55,-1227.45458984375,4157.24,16.9704
41.3129,280000,56,3974.87,56,-1326.87890625,4018.71,15.0988
43.7369,285000,57,2304.82,57,-1498.3994140625,126.17,14.44
41.7849,290000,58,3655.0,58,-1172.167236328125,4086.95,14.5956
40.5668,295000,59,3986.14,59,-1252.14794921875,4115.09,13.7131
40.6964,300000,60,4073.22,60,-1207.055908203125,4051.29,14.5858
40.8955,305000,61,3604.52,61,-1194.3824462890625,4241.21,12.5414
39.9694,310000,62,4154.89,62,-1222.3885498046875,4289.81,15.1249
40.208,315000,63,4161.7,63,-1264.618896484375,4271.11,15.4716
40.6012,320000,64,4084.28,64,-1328.9171142578125,4183.84,15.1764
41.6774,325000,65,3493.73,65,-1325.4560546875,4112.35,15.3725
41.0025,330000,66,4188.48,66,-1378.62548828125,4301.82,16.9175
40.0555,335000,67,4133.89,67,-1448.33056640625,4141.44,15.3068
